Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source,Protein name,Gene names,Protein length,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB, 
NOD2,791-1032,ENSG00000167207,Q9HC29,"18511561,UniProt",1040,CARD,26-218,Uniprot,ENST00000300589,Uniprot,Nucleotide-binding oligomerization domain-containing protein 2 (Caspase recruitment domain-containing protein 15) (Inflammatory bowel disease protein 1),NOD2 CARD15 IBD1,1040,Homo sapiens (Human),833-874(Autoinhibitory loop),10329664,"Nitric oxide synthase produces nitric oxide (NO) which is implicated in vascular smooth muscle relaxation through a cGMP-mediated signal transduction pathway. The primary sequences of the three mammalian nitric oxide synthase (NOS) isoforms differ by the insertion of a 52-55-amino acid loop into the reductase domains of the endothelial (eNOS) and neuronal (nNOS), but not inducible (iNOS). The loop mediates the autoinhibition in eNOS and nNOS. Deletion of the autoinhibitory loop in bovine eNOS increases its catalytic acitivity. The autoinhibitory region was inferred by sequence similarity with the bovine eNOS (P29473).",Annotated by sequence similarity,,,
OTUD7B,187-193,ENSG00000264522,Q6GQQ9,UniProt,843,OTU,194-365,Uniprot,ENST00000581312,Uniprot,OTU domain-containing protein 7B (EC 3.4.19.12) (Cellular zinc finger anti-NF-kappa-B protein) (Cezanne) (Zinc finger A20 domain-containing protein 1) (Zinc finger protein Cezanne),OTUD7B ZA20D1,843,Homo sapiens (Human),203-209(Cys-loop),27732584,"Deubiquitinating enzymes of the ovarian tumour (OTU) family regulate cellular signalling by targeting distinct linkage types within polyubiquitin. OTUD7B regulates inflammation and NK-kB signaling, T-cell activation, and EGFR trafficking. A human homolog OTUD7B is autoinhibited by the Cys-loop that occupies the channel that binds the C-terminal tail of distal ubiquitin.",Annotated by sequence similarity,,,
PACSIN2,344-486,ENSG00000100266,Q9UNF0,Uniprot/20188097,486,F-BAR,11-282,Uniprot,ENST00000263246,Uniprot,Protein kinase C and casein kinase substrate in neurons protein 2 (Syndapin-2) (Syndapin-II) (SdpII),PACSIN2,486,Homo sapiens (Human),426-486(SH3 domain),20188097,PACSINs plays a central role in synaptic vesicle recycling and receptor-mediated endocytosis and controlling the cell surface expression of transmembrane proteins. The C-terminal SH3 of human homologous PACSIN2 (Q9UNF0) is an autoinhibitory domain affecting activation of the F-BAR domain. The competing binding of protein ligands to the SH3 or linker domain or posttranslational modifications of PACSIN2 permits activation of the F-BAR domain. ,Annotated by sequence similarity,,,
PAK1,83-149,ENSG00000149269,Q13153,27135163/Uniprot,545,Kinase,270-521,Uniprot,ENST00000356341,Uniprot,Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK),PAK1,545,Homo sapiens (Human),70-149(IS domain),"10975528, 17898078","The p21-activated kinases (PAKs) controls cytoskeletal actin assembly and activate MAP-kinase pathways. In a study with PAK1 (Q13153), the kinase domain in the C terminus of PAK1 is inhibited by the IS domain via the C lobe, in which the kinase inhibitory segment hinders a part of the kinase domain and stabilizes a disabled catalytic site.",Annotated by sequence similarity,,,
PAK2,83-110,ENSG00000180370,Q13177,27135163/Uniprot,524,Kinase,249-499,Uniprot,ENST00000327134,Uniprot,Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)],PAK2,524,Homo sapiens (Human),69-146(IS domain),"10975528, 17898078","The p21-activated kinases (PAKs) controls cytoskeletal actin assembly and activate MAP-kinase pathways. In a study with PAK1 (Q13153), the kinase domain in the C terminus of PAK1 is inhibited by the IS domain via the C lobe, in which the kinase inhibitory segment hinders a part of the kinase domain and stabilizes a disabled catalytic site.",Annotated by sequence similarity,,,
PASK,183-200,ENSG00000115687,Q96RG2,27135163,1323,Kinase,999-1251,Uniprot,ENST00000234040,Uniprot,PAS domain-containing serine/threonine-protein kinase (PAS-kinase) (PASKIN) (hPASK) (EC 2.7.11.1),PASK KIAA0135,1323,Homo sapiens (Human),31-60(Part of predomain),27896130,"At cell surface, proprotein convertase subtilisin/kexin type 9 (PCSK9) binds to the LDLR and is internalized as a complex with the LDLR. PCSK9 remains bound to the LDLR and prevents the LDLR from folding over itself to adopt a closed conformation. As a consequence, the LDLR fails to recycle back to the cell membrane. PCSK9 has a function to reduce the number of LDLRs and is a key regulator of plasma LDL cholesterol levels. Accorind to a study with human PCSK9 (Q8NBP7), residues 31–60 negatively affect the ability of PCSK9 to bind to the LDLR and fine-tune the activity of PCSK9 towards the LDLR.",Annotated by sequence similarity,,,
PDGFRB,525-567,ENSG00000113721,P09619,15173825,1106,Kinase,600-962,Uniprot,ENST00000261799,Uniprot,Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b),PDGFRB PDGFR PDGFR1,1106,Homo sapiens (Human),462-553(PH domain),20978239,"3-Phosphoinositide-dependent protein kinase-1 (PDPK1) plays a central role in activating the protein kinase A, G, and C subfamily. In particular, PDK1 plays an important role in regulating the Akt survival pathway. Human PDPK1 (O15530) forms a homodimer via its PH domain, which is an autoinhibited conformation. The ATP-binding site is buried in the structure and the PIF pocket in the kinase domain of one monomer is not accessible because of its occupancy by the ?G helix of the other monomer. Thus, though the PH domain in PDPK1 does not mediate intramolecular interactions, it mediates the homodimerization by PH-PH interaction and results in autoinhibition. Deletion of the PH domain increases the interaction between PDPK1 and PKB.",Annotated by sequence similarity,,,
PLCD3,483-527,ENSG00000161714,Q8N3E9,18691970,789,"PI-PLC X-box, PI-PLC Y-box","337-482,528-644",Uniprot,ENST00000619929,Uniprot,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-3) (Phospholipase C-delta-3) (PLC-delta-3)",PLCD3 KIAA1964,789,Homo sapiens (Human),483-527(X/Y linker),18691970,"PLCD3 hydrolyzes the phosphatidylinositol 4,5-bisphosphate (PIP2) to generate 2 second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3). Autoinhibitory region is a portion of the linker that separates the conserved X and Y boxes comprising the catalytic TIM barrel, at residues 483-527. The active site of a PLC isozyme toward phospholipid membranes should force the negatively charged X/Y linker away from the active site, therein relieving autoinhibition of the enzyme. The autoinhibitory region in PLCD3 was annotated by sequence similarity of PLCD1 (P51178).",Annotated by sequence similarity,,,
PLCD4,436-492,ENSG00000115556,Q9BRC7,18691970,762,"PI-PLC X-box, PI-PLC Y-box","290-435,493-609",Uniprot,ENST00000417849,Uniprot,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 (hPLCD4) (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-4) (Phospholipase C-delta-4) (PLC-delta-4)",PLCD4,762,Homo sapiens (Human),436-492(X/Y linker),18691970,"PLCD4 hydrolyzes the phosphatidylinositol 4,5-bisphosphate (PIP2) to generate 2 second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3). Autoinhibitory region is a portion of the linker that separates the conserved X and Y boxes comprising the catalytic TIM barrel, at residues 436-492. The active site of a PLC isozyme toward phospholipid membranes should force the negatively charged X/Y linker away from the active site, therein relieving autoinhibition of the enzyme. The autoinhibitory region in PLCD3 was annotated by sequence similarity of PLCD1 (P51178).",Annotated by sequence similarity,,,
PLXNA3,"1324-1449,1651-1871",ENSG00000130827,P51805,19717441,1871,IPT/TIG,840-1211,Uniprot,ENST00000369682,Uniprot,Plexin-A3 (Plexin-4) (Semaphorin receptor SEX),PLXNA3 PLXN4 SEX,1871,Homo sapiens (Human),35-469(Sema domain);1324-1449(Segment preceding C1 domain); 1651-1871(RBD domain),"19717441, 11239433","Plexin cell surface receptors bind to semaphorin ligands and transduce signals for regulating neuronal axon guidance. In mouse Plexin-A3 (P70208), the autoinhibitory regions including an Rho GTPase-binding domain (RBD) and a segment preceding C1 domain make extensive interactions with the GAP domain (C1 and C2 domains), which may enable it to regulate the GAP conformation in response to semaphorin binding. ",Annotated by sequence similarity,,,
PRKAA2,291-376,ENSG00000162409,P54646,Uniprot,552,Kinase,16-268,Uniprot,ENST00000371244,Uniprot,5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31),PRKAA2 AMPK AMPK2,552,Homo sapiens (Human),302-324(Autoinhibitory region),"17088252, 23102217","AMP-activated protein kinase acts as an energy sensor, being activated by metabolic stresses and regulating cellular metabolism. AMPK alpha subunit (PRKAA1, Q13131), a homolog of PRKAA2, contained an autoinhibitory region that inhibits the N-terminal kinase domain.The autoinhibitory region of AMPK alpha not only are responsible for the kinase autoinhibitory function but may also be responsible for full-length kinase degradation.",Annotated by sequence similarity,,,
PRKCB,19-37,ENSG00000166501,P05771,27135163,671,Kinase,601-671,Uniprot,ENST00000321728,Uniprot,Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13),PRKCB PKCB PRKCB1,671,Homo sapiens (Human),19-36(Pseudosubstrate site),"https://link.springer.com/article/10.1007/BF02703836, 28049730, 1883933","PRKCB encodes for Protein kinase C (PKC) beta type belongs to the PCKs family, is involved in various cellular processes, including cell growth, immune response, muscle contraction, and synaptic plasticity. The well-known autoinhibitory region of PKC family is the pseudosubstrate sequence at around residues 19-36, which directly interacts and blocks catalytic activity of the kinase domain. Subsequence to the pseudosubstrate site is the C1 domains (C1A and C1B, that bind diacylglycerol (DAG)), and C2 domain (bind anionic phospholipids in a Ca2+-dependent manner). C1a (residues 36-88) domain coordinates a network of domain-domain intramolecular interactions, including direct C1a-C2 contacts. The pseudosubstrate and C1a domains operate as a single functional unit and is necessary to maintain autoinhibition. Additionally, in the absence of the C1a domain there is a significant increase in basal activity. The autoinhibitory region in PRKCB was annotated by sequence similarity of PRKCA (P17252).",Annotated by sequence similarity,,,
PRKCG,18-36,ENSG00000126583,P05129,27135163,697,Kinase,351-614,Uniprot,ENST00000263431,Uniprot,Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13),PRKCG PKCG,697,Homo sapiens (Human),18-36(Pseudosubstrate site),"https://link.springer.com/article/10.1007/BF02703836, 28049730","PRKCG encodes for Protein kinase C (PKC) gamma type, belongs to the PCKs family, is involved in various cellular processes, including cell growth, immune response, muscle contraction, and synaptic plasticity. The well-known autoinhibitory region of PKC family is the pseudosubstrate sequence at around residues 19-36, which directly interacts and blocks catalytic activity of the kinase domain. Subsequence to the pseudosubstrate site is the C1 domains (C1A and C1B, that bind diacylglycerol (DAG)), and C2 domain (bind anionic phospholipids in a Ca2+-dependent manner). C1a (residues 35-92) domain coordinates a network of domain-domain intramolecular interactions, including direct C1a-C2 contacts. The pseudosubstrate and C1a domains operate as a single functional unit and is necessary to maintain autoinhibition. Additionally, in the absence of the C1a domain there is a significant increase in basal activity. The autoinhibitory region in PRKCG was annotated by sequence similarity of PRKCA (P17252).",Annotated by sequence similarity,,,
PRKD2,397-509,ENSG00000105287,Q9BZL6,12637538,878,Kinase,551-807,Uniprot,ENST00000291281,Uniprot,Serine/threonine-protein kinase D2 (EC 2.7.11.13) (nPKC-D2),PRKD2 PKD2 HSPC187,878,Homo sapiens (Human),397-509(PH domain),12637538,Protein kinase D (PKD) is a member of Ser/Thr kinases and plays a major role in Golgi function and organization. The PH domain within the PKD may autoinhibit the function of the PKD.  The autoinhibitory region was annotated by sequence similarity with the PH domain of PRKD1 (Q15139).,Annotated by sequence similarity,,,
PRKD3,416-532,ENSG00000115825,O94806,12637538,890,Kinase,576-832,Uniprot,ENST00000234179,Uniprot,Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu),PRKD3 EPK2 PRKCN,890,Homo sapiens (Human),416-532(PH domain),12637538,Protein kinase D (PKD) is a member of Ser/Thr kinases and plays a major role in Golgi function and organization. The PH domain within the PKD may autoinhibit the function of the PKD.  The autoinhibitory region was annotated by sequence similarity with the PH domain of PRKD1 (Q15139).,Annotated by sequence similarity,,,
PRKG1,50-75,ENSG00000185532,Q13976,Uniprot,671,Kinase,360-619,Uniprot,ENST00000401604,Uniprot,cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI),PRKG1 PRKG1B PRKGR1A PRKGR1B,671,Homo sapiens (Human),50-57(Autoinhibitory region),1653962,Annotation identified by sequence similarity was extracted from UniProt. PKG is a major intracellular receptor of cGMP and modulates diverse cellular signalings. The N-terminal regulatory domain contains a pseudosubstrate sequence that may interact with the catalytic kinase domain. Binding of cGMP to cGMP-binding domains results in a conformational change that activates kinase activity by removing the autoinhibitory domain from the catalytic cleft leaving the catalytic domain free to phosphorylate downstream substrates.,Annotated by sequence similarity,,,
VAV1,131-178,ENSG00000141968,P15498,27135163,845,DH,194-373,"Uniprot,11007481",ENST00000602142,Uniprot,Proto-oncogene vav,VAV1 VAV,845,Homo sapiens (Human),1-119(CH domain);120-193(Acidic domain);402-504(PH domain);782-842(C-terminal SH3),"24736456, 18511940","The Vav family is a group of tyrosine phosphorylation-dependent guanine nucleotide exchange factors (GEFs) that activate members of the Rac and Rho families of guanosine triphosphatases (GTPases) downstream of protein tyrosine kinases. Vav proteins are characterized by the presence of a complex array of structural domains. Its autoinhibition mechanism is complex. Autoinhibited structure in mouse Vav1 (P27870) is formed by the interactions of C-terminal SH3-PH-catalytic DH domain. In addition, AC domain also occludes the GTPase-binding region of the DH domain. N-terminal CH domain stabilizes AC-DH interaction.",Annotated by sequence similarity,,,
,,,P00533,,,,,,,,Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1),EGFR ERBB ERBB1 HER1,1210,Homo sapiens (Human),26-100(Effector-binding domain),14659759,EcoRII is a type IIE restriction endonuclease that interacts with two copies of the DNA recognition sequence CCWGG and cleaves before C-1. EcoRII has two functional domains; N-terminal effector-binding domain and C-terminal catalytic domain. The N-terminal effector-binding domain has an autoinhibition and activation mechanism that could control EcoRII.,Inferred by structure analysis without experimental evidences,,,
,,,P22455,,,,,,,,Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334),FGFR4 JTK2 TKF,802,Homo sapiens (Human),77-138(SH3 domain);242-262(SH2-CD linker);399-426(Activation loop);517-529(C-terminal regulatory tail),15489910,"Tyrosine-protein kinase FGF plays an important role in transmitting signals through surface immunoglobulins and supports the pro-B to pre-B transition, as well as the signaling for growth arrest and apoptosis downstream of B-cell receptor (By similarity). It is included in Src family nonreceptor tyrosine kinases.  Src kinase(family) share a conserved domain structure consisting of consecutive SH3, SH2, tyrosine kinase(SH1). So, it was inferred based on 3d sturcture and sequence similarity.",Inferred by structure analysis without experimental evidences,,,
,,,Q08050,,,,,,,,Forkhead box protein M1 (Forkhead-related protein FKHL16) (Hepatocyte nuclear factor 3 forkhead homolog 11) (HFH-11) (HNF-3/fork-head homolog 11) (M-phase phosphoprotein 2) (MPM-2 reactive phosphoprotein 2) (Transcription factor Trident) (Winged-helix factor from INS-1 cells),FOXM1 FKHL16 HFH11 MPP2 WIN,763,Homo sapiens (Human),42-110(SH3 domain);209-233(SH2-CD linker);492-505(C-terminal regulatory tail),"15489910, 25302671","Tyrosine-protein kinase FRK(FYN-related kinase) plays an important role in transmitting signals through surface immunoglobulins and supports the pro-B to pre-B transition, as well as the signaling for growth arrest and apoptosis downstream of B-cell receptor (By similarity). It is included in Src family non-receptor tyrosine kinases.  Src kinase(family) share a conserved domain structure consisting of consecutive SH3, SH2, tyrosine kinase (SH1). So, it was inferred based on 3D sturcture and sequence similarity.",Inferred by structure analysis without experimental evidences,,,
,,,Q3KK31,,,,,,,,Diguanylate cyclase/phosphodiesterase,lapD Pfl01_0131,648,Pseudomonas fluorescens (strain Pf0-1),61-121(SH3 domain);127-224(SH2-CD linker);381-408(Activation loop);499-509(C-terminal regulatory tail),"15489910, 10962552","Tyrosine-protein kinase Lck plays an important role in transmitting signals through surface immunoglobulins and supports the pro-B to pre-B transition, as well as the signaling for growth arrest and apoptosis downstream of B-cell receptor (By similarity). It is included in Src family nonreceptor tyrosine kinases.  Src kinase(family) share a conserved domain structure consisting of consecutive SH3, SH2, tyrosine kinase(SH1). So, it was inferred based on 3d sturcture and sequence similarity.  ======= Tyrosine-protein kinase Lck is a Src-family non-receptor tyrosine-protein kinase that plays an essential role in the selection and maturation of developing T-cells in the thymus and in the function of mature T-cells. The structural changes that alter the orientation of key residues within the catalytic domain regulate the activity of Src-family non-receptor tyrosine kinases. In case of Lck, the substitution of 5-7 residues amino terminal to the conserved activation loop tyrosine (Y394) increases kinase activity and oncogenic potential regardless of regulatory C-terminal tail phosphorylation levels. ",Inferred by structure analysis without experimental evidences,,,
,,,P70208,,,,,,,,Plexin-A3,Plxna3,1872,Mus musculus (Mouse),36-470(Sema domain);1244-1324(Segment preceding C1 domain);1450-1650(RBD domain),"19717441, 11239433","Plexin cell surface receptors bind to semaphorin ligands and transduce signals for regulating neuronal axon guidance. The autoinhibitory regions including an Rho GTPase-binding domain (RBD) and a segment preceding C1 domain make extensive interactions with the GAP domain (C1 and C2 domains), which may enable it to regulate the GAP conformation in response to semaphorin binding. According to human Plexin-A1 (Q9UIW2) study, the Sema domain in Plexin-A3 may be also involved in autoinhibition.",Inferred by structure analysis without experimental evidences,,,
,,,Q96B97,,,,,,,,SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1),SH3KBP1 CIN85,665,Homo sapiens (Human),337-346(Proline rich motif P1),21446695,"The human CIN85 (Cbl-interacting protein of 85 kDa) is a multifunction adapter or scaffolding protein consisting of three SH3 domains in the N-terminal half of the protein connected by unstructured linkers followed by a proline rich region, a serine rich region, and a coiled coil domain at the C-terminus and plays important roles in both receptor tyrosine kinase downregulation and phosphatidylinositol 3 kinase inhibition. Prevention of the intramolecular interaction of domain C with the proline-rich motif P1 results in the complex formation of CIN85 with specific targets such as Cbl or p85 proteins.",Inferred by structure analysis without experimental evidences,,,
,,,Q9EZJ8,,,,,,,,RNA polymerase sigma factor SigA,sigA,438,Thermus aquaticus,129-201(Flexible loop),"12000971, 11931761","The DNA-dependent RNA polymerase (RNAP) is the principal enzyme of the transcription process, and is a final target in many regulatory pathways that control gene expression in all living organisms. In bacteria, RNAP is responsible for the synthesis of all RNAs in the cell (messenger RNA, ribosomal RNA, transfer RNA, and so on). The bacterial RNAP exists in two forms: core and holoenzyme. The core enzyme has a relative molecular mass of about 400,000, and consists of five subunits: ?-dimer (?2), ?, ?? and ?. They are evolutionarily conserved in sequence, structure and function from bacteria to humans. The binding of initiation factor ? to a RNAP core enzyme results in the formation of a homoenzyme, the active form of RNAP essential for transcription initiation. The atomic model of the ?70 subunit lacks the disordered N-terminal domain (?1-73), which includes the conserved ? region 1.1. This is a self-inhibitory domain, which is known to mask the DNA-binding regions of ? before it binds the core (PubMed12000971). In the autoinhibited state, the polar surface of the region 2.2 helix is partially occluded by a loop within the nonconserved insert between regions 1.2 and 2.1. In the complex of ? with core RNAP, the loop is repositioned to expose the core RNAP binding determinants in region 2.2 (PubMed11931761).",Inferred by structure analysis without experimental evidences,,,
,,,Q72L95,,,,,,,,RNA polymerase sigma factor SigA,sigA rpoD TT_C0164,423,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),1-73(Sigma-70 factor domain-1.1),12000971,"The DNA-dependent RNA polymerase (RNAP) is the principal enzyme of the transcription process, and is a final target in many regulatory pathways that control gene expression in all living organisms. In bacteria, RNAP is responsible for the synthesis of all RNAs in the cell (messenger RNA, ribosomal RNA, transfer RNA, and so on). The bacterial RNAP exists in two forms: core and holoenzyme. The core enzyme has a relative molecular mass of about 400,000, and consists of five subunits: ?-dimer (?2), ?, ?? and ?. They are evolutionarily conserved in sequence, structure and function from bacteria to humans. The binding of initiation factor ? to a RNAP core enzyme results in the formation of a homoenzyme, the active form of RNAP essential for transcription initiation. The atomic model of the ?70 subunit lacks the disordered N-terminal domain (?1-73), which includes the conserved ? region 1.1. This is a self-inhibitory domain, which is known to mask the DNA-binding regions of ? before it binds the core (PubMed12000971).",Inferred by structure analysis without experimental evidences,,,
,,,Q23551,,,,,,,,Twitchin (EC 2.7.11.1) (Uncoordinated protein 22),unc-22 ZK617.1,7158,Caenorhabditis elegans,6203-6260(C-terminal residues),8202162,Twitchin kinase is a regulator of muscle contraction and relaxation by unfolding. The C-terminal tail inhibits the active site on the catalytic core and disrupts the substrates accession. The open of the autoinhibitory C-terminus is achieved by a hinge motion at the adjacent glycine residues (Gly 6021 and Gly 6022) that exposes the active site and enzyme activity.,Inferred by structure analysis without experimental evidences,,,
,,,P07947,,,,,,,,Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes),YES1 YES,543,Homo sapiens (Human),91-152(SH3 domain);256-276(SH2-CD linker);413-440(Activation loop);531-543(C-terminal regultaory tail),15489910,"Tyrosine-protein kinase Yes plays an important role in transmitting signals through surface immunoglobulins and supports the pro-B to pre-B transition, as well as the signaling for growth arrest and apoptosis downstream of B-cell receptor (By similarity). It is included in Src family nonreceptor tyrosine kinases.  Src kinase(family) share a conserved domain structure consisting of consecutive SH3, SH2, tyrosine kinase(SH1). So, it was inferred based on 3d sturcture and sequence similarity.",Inferred by structure analysis without experimental evidences,,,
,,,P17606,,,,,,,,"Malate dehydrogenase [NADP] 1, chloroplastic (EC 1.1.1.82) (NADP-MDH-1)",,429,Sorghum bicolor (Sorghum) (Sorghum vulgare),56-72(N-terminal disulfide motif);405-429(C-terminal disulfide motif),"10194350, 10574915","The chloroplastic NADP-dependent malate dehydrogenase (NADP-MDH) catalyzes the reduction of oxaloacetate into L-malate. The enzyme exhibits extensions at both the N- and C-termini, each of which contains a regulatory disulfide bridge which must be reduced for activation. The N-terminal disulfide motif is inserted in a cleft between the two subunits of the dimer, thereby locking the domains in each subunit. The C-terminal disulfide keeps the C-terminal residues tight to the enzyme surface and blocks access to the active site.",Inferred by structure analysis without experimental evidences,,,
,,,P00520,,,,,,,,Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),Abl1 Abl,1123,Mus musculus (Mouse),1-60(CAP);61-121(SH3 domain);127-217(SH2 domain);218-241(SH2-Tyrosine kinase linker),"10988075, 20841568","Abelson tyrosine kinase (Abl1) is a non-receptor tyrosine kinase that involved in many processes linked to cell growth and survival such as cytockeleton remodeling, cell motility and adhesion, receptor endocytosis, autophagy, DNA damage response and apoptosis. Abl protein contains a CAP-SH3-SH2-TK (Src homology 3-Src homology 2-tyrosine kinase) domain cassette, which confers autoregulated kinase activity. Structural and biochemical studies revealed the multiple autoinhibitory mechanisms. The tyrosine kinase activity of Abl1 is increased by disrupting these autoinhibitory interactions, such as the N-terminal CAP domain mutation, the SH3 domain mutation, the SH2 domain mutations, and the SH2-TK linker-region double mutation. Also, Abl1 has an activation loop in which Tyr393 is the major site of phosphorylation. ",Experimentally validated,,,
,,,O81108,,,,,,,,"Calcium-transporting ATPase 2, plasma membrane-type (EC 7.2.2.10) (Ca(2+)-ATPase isoform 2)",ACA2 At4g37640 F19F18.130,1014,Arabidopsis thaliana (Mouse-ear cress),20-31(N-terminal autoinhibitory region),9422775,"ACA2 is an Arabidopsis Ca2+-ATPase isoform 2. ACA2 catalyzes the translocation of calcium from cytoplasm to endoplasmic reticulum. ACA2 contains an N-terminal autoinhibitory region that interacts with the calmodulin in the same protein, and the interaction inhibit the pump function of ACA2. ",Experimentally validated,,,
,,,Q7XEK4,,,,,,,,"Calcium-transporting ATPase 7, plasma membrane-type (OsACA7) (EC 7.2.2.10) (Ca(2+)-ATPase isoform 7)",ACA7 Os10g0418100 LOC_Os10g28240 OsJ_31537 OSJNBa0061K21.21,1035,Oryza sativa subsp. japonica (Rice),1-68(N-terminal autoinhibitory region),24286292,"Calcium-transporting ATPase 7 (ACA7) catalyzes the hydrolysis of ATP coupled with the translocation of calcium. ACA enzymes contain an N-terminal autoinhibitory region, which binds to the calmodulin within the same protein. The intramolecular interaction between N-terminal autoinhibitory region and calmodulin inhibits the function of ACA7. Removal of the N-terminal region restored the calcium pump activity of ACA7.",Experimentally validated,,,
,,,Q9LF79,,,,,,,,"Calcium-transporting ATPase 8, plasma membrane-type (EC 7.2.2.10) (Ca(2+)-ATPase isoform 8)",ACA8 At5g57110 MUL3.5,1074,Arabidopsis thaliana (Mouse-ear cress),43-54(N-terminus autoinhibitory region),16267044,"Calcium-transporting ATPases (ACAs) catalyze the hydrolysis of ATP coupled with the translocation of calcium. The N-terminal region of ACA8 is responsible for pump autoinhibition and the binding of calmodulin to the N-terminal region results in pump activation. The N-terminal truncated ATPase (?74-aca8) has high basal activity. In other words, the truncation of the N terminus releases autoinhibition of pump activity. ",Experimentally validated,,,
,,,P35609,,,,,,,,Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein),ACTN2,894,Homo sapiens (Human),259-307(Pseudo-Z-repeat),11101506,"ACTN2 is F-actin cross-linking protein. Interaction with the Z-repeat of Titin protein via the C-terminal region of ACTN2 targets ACTN2 to Z-disk. Full-length ACTN2 does not bind Z-repeats. ACTN2 has a region between ABD and R1 acting as a pseudo-Z-repeat, and this region prevents the binding of ACTN2 to the Z-repeat of Titin protein.",Experimentally validated,,,
,,,P19456,,,,,,,,"ATPase 2, plasma membrane-type (EC 7.1.2.1) (Proton pump 2)",AHA2 At4g30190 F9N11.40,948,Arabidopsis thaliana (Mouse-ear cress),863-885(Autoinhibitory domain I);904-919(Autoinhibitory domain II),10353834 ,"The plasma membrane H+-ATPase belongs to the superfamily of P-type ATPases. The H+-ATPase is responsible for the ATP-fuelled ejection of protons from the cell and is an important component in the generation of the trans-membrane H+ gradient in plant cells. The H+-ATPase AHA2 is controlled by an autoinhibitory C-terminal regulatory domain and activated by 14-3-3 proteins which bind to the part of the enzyme. In two regions of the C-terminus, alteration of the residues leads to increased pump activity. One region stretches from K863 to L885 and includes two residues (Q879 and R880) that are conserved between plant and fungal H+-ATPases. The other region, incorporating S904 to L919, is situated in an extension of the C-terminus unique to plant H+-ATPases. ",Experimentally validated,,,
,,,P31751,,,,,,,,RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta),AKT2,481,Homo sapiens (Human),5-108(PH domain);410-481(C-terminal regulatory region),12517337,"Akt belongs to the AGC superfamily of serine/threonine kinases, which also includes SGK and the ribosomal S6 protein kinase. Akt has been implicated as the central mediator of many biological responses associated with the phosphatidylinositol 3-kinase (PI3K) signal transduction pathway. N-terminal PH domain plays a regulatory role in Akt2 activation. In addition, phosphorylation of Ser474 in the C-terminal regulatory domain is required for full activation of Akt2.",Experimentally validated,,,
