Protein name,Gene names,Protein length,Uniprot ID,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB
"NACHT, LRR and PYD domains-containing protein 3",NLRP3,1035,B0FPE9,Macaca mulatta (Rhesus macaque),742-991(Leucine-rich repeats),11786556,PYPAF1 (PYRIN-containing Apaf1-like protein 1) is a novel PYRIN-containing signaling protein that belongs to the nucleotide-binding site/leucine-rich repeat (NBS/LRR) family of signaling proteins. C-terminal leucine-rich repeats (LRRs) may function as a negative regulator of PYPAF1 activity. PYPAF1 and ASC function to regulate the activation of NF-_x0001_B.,Experimentally validated,,
Nucleotide-binding oligomerization domain-containing protein 2 (Caspase recruitment domain-containing protein 15),NOD2 CARD15,1013,Q6E804,Bos taurus (Bovine),658-1019(Leucine-rich repeats),18511561,"NOD2, a NOD-like receptor (NLR), is an intracellular sensor of bacterial muramyl dipeptide (MDP) that promotes secretion of the proinflammatory cytokine IL-1?. NOT2 through its N-terminal caspase recruitment domain directly binds and activates caspase-1 to trigger IL-1? processing and secretion in MDP-stimulated macrophages, wherease the C-terminal leucine-rich repeats (LRR) of NOD2 prevent caspase-1 activation in non-stimulated cells. Removal of the LRR rendered NOD2 a constitutive activator of pro-IL-1? processing and caspase-1.  ",Experimentally validated,,
Nucleotide-binding oligomerization domain-containing protein 2 (Caspase recruitment domain-containing protein 15),Nod2 Card15,1020,Q8K3Z0,Mus musculus (Mouse),791-1032(Leucine-rich repeats),18511561,"NOD2, a NOD-like receptor (NLR), is an intracellular sensor of bacterial muramyl dipeptide (MDP) that promotes secretion of the proinflammatory cytokine IL-1?. NOT2 through its N-terminal caspase recruitment domain directly binds and activates caspase-1 to trigger IL-1? processing and secretion in MDP-stimulated macrophages, wherease the C-terminal leucine-rich repeats (LRR) of NOD2 prevent caspase-1 activation in non-stimulated cells. Removal of the LRR rendered NOD2 a constitutive activator of pro-IL-1? processing and caspase-1.  ",Experimentally validated,,
"Nitric oxide synthase, brain (EC 1.14.13.39) (BNOS) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Peptidyl-cysteine S-nitrosylase NOS1)",Nos1 Bnos,1429,P29476,Rattus norvegicus (Rat),595-639(Autoinhibitory loop),10329664,"Nitric oxide synthase produces nitric oxide (NO) which is implicated in vascular smooth muscle relaxation through a cGMP-mediated signal transduction pathway. The primary sequences of the three mammalian nitric oxide synthase (NOS) isoforms differ by the insertion of a 52-55-amino acid loop into the reductase domains of the endothelial (eNOS) and neuronal (nNOS), but not inducible (iNOS). The loop mediates the autoinhibition in eNOS and nNOS. Deletion of the autoinhibitory loop increases the catalytic acitivity of eNOS.",Experimentally validated,,
"Nitric oxide synthase, endothelial (EC 1.14.13.39) (Constitutive NOS) (cNOS) (EC-NOS) (Endothelial NOS) (eNOS) (NOS type III) (NOSIII)",NOS3,1203,P29474,Homo sapiens (Human),"1449-1571(LNR-A, B, and C)","17401372, 21481777","NOTCH1 is a neurogenic locus notch homolog protein 1 and belongs to NOTCH family of proteins that regulate cell growth, proliferation, differentiation and apoptosis in both embryonic and adult tissues. The negative regulatory region (NRR) of NOTCH1 contains three Lin12/Notch repeats (LNR-A, LNR-B, and LNR-C). The LNR-C hydrophobic residues pack against the heterodimerization (HD) domain core. In addition, the LNR-B, the linker between LNR-A and LNR-B, and the C-terminus of LNR-A wrap around the HD domain, thus masking the metalloprotease site (S2) and preventing exposure to receptor activation. For the activation of NOTCH1, the LNR-A, LNR-AB linker, and LNR-B must be removed.",Experimentally validated,,
Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)],NOTCH1 TAN1,2555,P46531,Homo sapiens (Human),"1425-1544(LNR-A, B, and C)",17401372,"NOTCH2 is a neurogenic locus notch homolog protein 2 and belongs to NOTCH family of proteins that regulate cell growth, proliferation, differentiation and apoptosis in both embryonic and adult tissues. The negative regulatory region (NRR) of NOTCH2 contains three Lin12/Notch repeats (LNR-A, LNR-B, and LNR-C). The LNR-C hydrophobic residues pack against the heterodimerization (HD) domain core. In addition, the LNR-B, the linker between LNR-A and LNR-B, and the C-terminus of LNR-A wrap around the HD domain, thus masking the metalloprotease site (S2) and preventing exposure to receptor activation. For the activation of NOTCH2, the LNR-A, LNR-AB linker, and LNR-B must be removed.",Experimentally validated,,
Neurogenic locus notch homolog protein 2 (Notch 2) (hN2) [Cleaved into: Notch 2 extracellular truncation (N2ECD); Notch 2 intracellular domain (N2ICD)],NOTCH2,2471,Q04721,Homo sapiens (Human),637-661(Regulatory EF-hand-Binding Domain),"20028137, 14982937","Nox5 is a member of the NADPH oxidases (NOX) family and contains the regulatory N-terminus EF-hand domain (NOX5-EF) and the catalytic C-terminal dehydrogenase domain (CDHD). The NOX5-EF interacts directly and in a Ca2+-dependent manner with the CDHD, leading to its activation. The interaction site is composed of two short segments, the 637-660 segment (the regulatory EF-hand-binding domain, REFBD), and the 489-505 segment (the phosphorylation region, PhosR). The REFBD is autoinhibitory and the inhibition is relieved by NOX5-EF.",Experimentally validated,,
NADPH oxidase 5 (EC 1.6.3.-),NOX5,765,Q96PH1,Homo sapiens (Human),403-453(SH3 domain),17602954,"The NADPH oxidases (NOX) play an essential role in the host defense against microbial pathogens. For NOX1, the isoform most highly expressed in the gut, the phox protein homologues NOXA1 and NOXO1 appear to be required for full fuctional activity. A functional SH3 domain plays an inhibition in the formation of the active NOX1 NADPH oxidase complex (inhibit oxidase activity). The target of the single SH3 domain in NOXA1 is the polyproline motif in the C-terminal region of NOXO1. The formation of the bond between the NOXA1 SH3 domain and the NOXO1 PxxP motif may be one of these steps accounting for the slower induction kinetics observed with wild-type NOXA1 compared with the truncated molecules.",Experimentally validated,,
NADPH oxidase activator 1 (NOX activator 1) (Antigen NY-CO-31) (NCF2-like protein) (P67phox-like factor) (p51-nox),NOXA1 P51NOX,476,Q86UR1,Homo sapiens (Human),203-222(N-D1 linker region),23667709,NSF is a member of the type II AAA+ (ATPase associated with various cellular activities) family. It plays a critical role in intracellular membrane trafficking by disassembling soluble NSF attachment protein receptor (SNARE) complexes. Mutations within the N-D1 linker region (203-222) cause significant defects in the disassembly of the SNARE complex and the SNARE/?-SNAP complex binding activity. The middle region mutants of the NSF N-D1 linker have also increased basal ATPase activity.,Experimentally validated,,
Vesicle-fusing ATPase (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein) (Vesicular-fusion protein NSF),NSF At4g04910 T1J1.4,742,Q9M0Y8,Arabidopsis thaliana (Mouse-ear cress),203-222(N-D1 linker region),23667709,NSF is a member of the type II AAA+ (ATPase associated with various cellular activities) family. It plays a critical role in intracellular membrane trafficking by disassembling soluble NSF attachment protein receptor (SNARE) complexes. Mutations within the N-D1 linker region (203-222) cause significant defects in the disassembly of the SNARE complex and the SNARE/?-SNAP complex binding activity. The middle region mutants of the NSF N-D1 linker have also increased basal ATPase activity.,Experimentally validated,,
Vesicle-fusing ATPase 2 (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein 2) (NEM-sensitive fusion protein 2) (Vesicular-fusion protein NSF2) (dNsf-2) (NSF-2),Nsf2 CG33101,752,P54351,Drosophila melanogaster (Fruit fly),299-365(Ig-like C2-type 2),10913174,"NTRK1 is High affinity nerve growth factor receptor, its ligand is the nerve growth factor (NGF), involved in the survival, differentiation, development, and the maturation of the central and peripheral nervous systems, specifically the sensory and sympathetic neurons. Study shows that deletion of second Ig-like domain of NTRK1 leads to spontaneous activation, thus the second Ig-like domain is the autoinhibitory domain, is required to prevent spontaneous activation by receptor dimerization.  Additionally, mutation at the tryptophan residue 317 enhances receptor activation.",Experimentally validated,,
High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA),NTRK1 MTC TRK TRKA,796,P04629,Homo sapiens (Human),365-430(Extracellular juxtamembrane motif),31430955,"NTRK2 encodes for BDNF/NT-3 growth factors receptor, is a receptor for brain-derived neurotrophic factor (BDNF), involved in the survival, differentiation, development, and the maturation of the central and peripheral nervous systems. The autoinhibitory region of NTRK2 is the extracellular juxtamembrane motif (EJM) at residues 430-480. At inactivated form, two intracellular kinase domains (IKDs) are separated by the conformation set by EJM. Deletion of the EJM facilitated the dimer formation, increased the amount of preformed dimer. ",Experimentally validated,,
BDNF/NT-3 growth factors receptor (EC 2.7.10.1) (GP145-TrkB) (Trk-B) (Neurotrophic tyrosine kinase receptor type 2) (TrkB tyrosine kinase) (Tropomyosin-related kinase B),NTRK2 TRKB,822,Q16620,Homo sapiens (Human),1-40(N-terminal disordered autoinhibitory region),19368890,"The unphosphorylated form of OdhI inhibits the activity of 2-oxoglutarate dehydrogenase, a key enzyme of the TCA cycle. The N-terminal disordered region (1-40) contains two phosphorylation sites at 14 and 15. Phosphorylation of the residues induces extensive conformational change of OdhI, which results in the release of autoinhibition.",Experimentally validated,,
Oxoglutarate dehydrogenase inhibitor,odhI Cgl1441 cg1630,143,Q8NQJ3,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),187-193(Cys-loop),27732584,"Deubiquitinating enzymes of the ovarian tumour (OTU) family regulate cellular signalling by targeting distinct linkage types within polyubiquitin. OTUD7B regulates inflammation and NK-kB signaling, T-cell activation, and EGFR trafficking. OTUD7B is autoinhibited by the Cys-loop (187-193) that occupies the channel that binds the C-terminal tail of distal ubiquitin.",Experimentally validated,,
"Protein kinase C and casein kinase substrate in neurons protein 1 (Dynamin proline-rich domain-interacting protein) (Dynamin PRD-interacting protein) (Synaptic, dynamin-associated protein I) (Syndapin-1) (Syndapin-I) (SdpI)",Pacsin1,441,Q9Z0W5,Rattus norvegicus (Rat),385-444(SH3 domain),23236520,The F-BAR domain-containing protein PACSIN contributes to the vesicle formation at plasma membrane and has been shown to induce a spectrum of membrane morphologies including tubules and tube constrictions. Full-length PACSIN1 has reduced activity compared with its isolated F-BAR domain. The autoinhibition is mediated by the SH3 domain interacting with F-BAR domain in PACSIN1. The SH3 domain is able to bind the proline-rich domain (PRD) of proteins in endocytosis. THe interaction between the SH3 and the PRD in other proteins relieve the intramolecular autoinhibition.,Experimentally validated,,
Protein kinase C and casein kinase substrate in neurons protein 1 (Syndapin-1),PACSIN1 KIAA1379,444,Q9BY11,Homo sapiens (Human),379-441(SH3 domain),20404169,Pacsin1 is composed of an N-terminal F-BAR linked to a C-terminal dynamin-binding SH3 domain via a long flexible tether containing NPF motifs and harbors membrane-tubulating activity within its F-BAR domain. Pacsin1 F-BAR-mediated membrane deformation is subject to autoinhibition by its SH3 domain. Release from the clamped conformation is driven by association of Pacsin1 SH3 with the proline-rich domain of dynamin 1. ,Experimentally validated,,
Protein kinase C and casein kinase substrate in neurons protein 1 (Syndapin-1),Pacsin1 Pacsin,441,Q61644,Mus musculus (Mouse),426-486(SH3 domain),"20188097, 19549836",PACSINs plays a central role in synaptic vesicle recycling and receptor-mediated endocytosis and controlling the cell surface expression of transmembrane proteins. The C-terminal SH3 of PACSIN2 is an autoinhibitory domain affecting activation of the F-BAR domain. The competing binding of protein ligands to the SH3 or linker domain or posttranslational modifications of PACSIN2 permits activation of the F-BAR domain. ,Experimentally validated,,
Protein kinase C and casein kinase substrate in neurons 2 protein (Synaptic dynamin-associated protein II) (Syndapin-2) (Syndapin-II) (SdpII),Pacsin2,488,Q9QY17,Rattus norvegicus (Rat),87-136(IS domain),"10975528, 17898078","The p21-activated kinases (PAKs) controls cytoskeletal actin assembly and activate MAP-kinase pathways. The kinase domain in the C terminus of PAKs is inhibited by the IS domain (70-149) via the C lobe, in which the kinase inhibitory (KI) segment (137-149) hinders a part of the kinase domain and stabilizes a disabled catalytic site. The enzyme PAKs is activated by phosphorylation of Thr423 (PT423) enabled by the binding of GTP-loaded Cdc42 (or Rac) to the PAK1 p21 binding domain (PBD), which disrupts the dimer and unfolds the IS domain and releases the activation loop. ",Experimentally validated,,
Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4),PAK4 KIAA1142,591,O96013,Homo sapiens (Human),60-180(Inhibitory fragment),12860998,"The p21-activated protein kinases5 (Paks5), in group II Parks family, are serine/threonine protein kinases activated by binding to Rho family small GTPases, Rac and Cdc42. Pak5 autophosphorylation can be activated by GTP bound form of Cdc42. Pak5 contains an autoinhibitory domain and its activity is regulated by Cdc42. Mutations of Pak5, which disrupted the interaction of Cdc42 and Pak5, also abolished the induction of autophosphorylation.",Experimentally validated,,
Serine/threonine-protein kinase PAK 5 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7),Pak5 Pak7,718,D4A280,Rattus norvegicus (Rat),119-123(Portion of autoinhibitory domain),"11756552, 12860998","The p21-activated protein kinase5 (Pak5), in group II Parks family, is serine/threonine protein kinase activated by binding to Rho family small GTPases, Rac and Cdc42. Pak5 autophosphorylation can be activated by the GTP-bound form of Cdc42. Pak5 contains an autoinhibitory domain and its activity is regulated by Cdc42. Mutations of Pak5, which disrupted the interaction of Cdc42 and Pak5, also abolished the induction of autophosphorylation.",Experimentally validated,,
Serine/threonine-protein kinase PAK 5 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7),Pak5 Pak7,719,Q8C015,Mus musculus (Mouse),380-426(C-terminal tail),"25112874, 32284561","Pannexin-1(Panx1) is structural component of the gap junctions and the hemichannels involved in the ATP release and nucleotide permeation. Cleavage at Asp-379 removes a 46-amino acid C-terminal segment (380-426) that otherwise acts as an autoinhibitory blocker of the conducting pore formed by the Panx1 hexameric complex. Thus, accumulation of active caspase-3 during apoptosis can result in essentially irreversible open-gating of Panx1 channels.",Experimentally validated,,
Pannexin-1,PANX1 MRS1 UNQ2529/PRO6028,426,Q96RD7,Homo sapiens (Human),185-194(PAS-A domain),"12377121, 11459942","PASK is PAS (Per-Arnt-Sim) domain-containing serine/threonine-protein kinase, involved in energy homeostasis and regulation of protein synthesis. The N-terminal domain (PAS-A) directly inhibits its kinase domain, specifically the FG loop at residues 185-194. The FG loop directly binds kinase domain, thus inhibiting its kinase activity. The binding of organic compounds to the hydrophobic core of PAS-A leads to conformational changes and eases the inhibition.",Experimentally validated,,
Proprotein convertase subtilisin/kexin type 9 (EC 3.4.21.-) (Neural apoptosis-regulated convertase 1) (NARC-1) (Proprotein convertase 9) (PC9) (Subtilisin/kexin-like protease PC9),Pcsk9 Narc1,694,Q80W65,Mus musculus (Mouse),31-60(Part of predomain),27896130,"At cell surface, proprotein convertase subtilisin/kexin type 9 (PCSK9) binds to the LDLR and is internalized as a complex with the LDLR. PCSK9 remains bound to the LDLR and prevents the LDLR from folding over itself to adopt a closed conformation. As a consequence, the LDLR fails to recycle back to the cell membrane. PCSK9 has a function to reduce the number of LDLRs and is a key regulator of plasma LDL cholesterol levels. Residues 31–60 negatively affect the ability of PCSK9 to bind to the LDLR and fine-tune the activity of PCSK9 towards the LDLR.",Experimentally validated,,
Proprotein convertase subtilisin/kexin type 9 (EC 3.4.21.-) (Neural apoptosis-regulated convertase 1) (NARC-1) (Proprotein convertase 9) (PC9) (Subtilisin/kexin-like protease PC9),PCSK9 NARC1 PSEC0052,692,Q8NBP7,Homo sapiens (Human),712-720(TSG101 docking site),20929444,"PDCD6IP encodes for a programmed cell death 6-interacting protein and is involved in diverse cellular processes including cytokinesis, apoptosis, and junction integrity maintenance. PDCD6IP is composed of several domains (Bro1 domain containing patch 1 and 2, V domain, and proline-rich domain (PRD)). The autoinhibitory region of PDCD6IP locates in PRD domain, specifically at TSG101-docking site (TDS) (717-720). TDS interacts with the patch 2 site of the Bro1 domain, leading to a closed conformation of PDCD6IP, thus preventing it from interacting with other partner proteins and inhibiting association with the membrane. ",Experimentally validated,,
"cAMP-specific 3',5'-cyclic phosphodiesterase 4B (EC 3.1.4.53) (DPDE4) (PDE32)",PDE4B DPDE4,736,Q07343,Homo sapiens (Human),271-331(Upstream conserved region 2),"20037581, 10744723, 20062038","PDE4D encodes for cAMP-specific 3',5'-cyclic phosphodiesterase 4D, involved in the hydrolysis of cAMP and cGMP that plays important roles in many physiological processes. The autoinhibitory domain of PDE4D positions at the upstream conserved region 2 (UCR2) that inhibits PDE4D activity. Specifically, the ?-helical NQVSE[F/Y]ISXTFLD sequence within UCR2 can fold across the catalytic pocket, thereby gating access to it. Since PDE4B, a homolog of PDE4D, has an additional autoinhibitory region at C-terminus, the C-terminal region of PDE4D may also has an autoinhibitory function.",Experimentally validated,,
"cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43)",PDE4D DPDE3,809,Q08499,Homo sapiens (Human),403-539(GAF b domain),"15677448, 21527734","PDE5A plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides. PDE5A contains a catalytic domain that hydrolyzes cGMP and a regulatory (R) domain (1-539) that contains two GAFs, a and b. The R domain binds cGMP allosterically, provides for dimerization, and is phosphorylated at a site regulated by allosteric cGMP binding. The sequence containing GAF b and its flanking amino acids (403-539) autoinhibits GAF a cGMP-binding affinity.",Experimentally validated,,
"cGMP-specific 3',5'-cyclic phosphodiesterase (EC 3.1.4.35) (cGMP-binding cGMP-specific phosphodiesterase) (CGB-PDE)",PDE5A PDE5,875,O76074,Homo sapiens (Human),550-587(Juxtamembrane region),15173825,"Platelet-derived growth factor receptor ? (PDGF-R?, PDGFR-2) is one of the PDGF receptor family of RTKs (receptor tyrosine kinase). The family share strong sequence similarity throughout the juxtamembrane region, which contains two Tyr autophosphorylation sites in a Y?Y motif. Numerous naturally occurring mutations (typically deletions) in the juxtamembrane regions of PDGFR? result in constitutive kinase activity. Deletions and missense mutations in the juxtamembrane region of PDGF receptor family members would be predicted to disrupt the interactions that stabilize the autoinhibitory conformation of the juxtamembrane region.",Experimentally validated,,
Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a),PDGFRA PDGFR2 RHEPDGFRA,1089,P16234,Homo sapiens (Human),525-562(Juxtamembrane region),15173825,"PDGF receptor-? (PDGFR?) is one of members of the PDGF receptor family of RTKs. The family share strong sequence similarity throughout the juxtamembrane region, which contains two Tyr autophosphorylation sites in a Y?Y motif. Deletions and missense mutations in the juxtamembrane region of PDGF receptor family members would be predicted to disrupt the interactions that stabilize the autoinhibitory conformation of the juxtamembrane region.",Experimentally validated,,
3-phosphoinositide-dependent protein kinase 1 (mPDK1) (EC 2.7.11.1),Pdpk1 Pdk1,559,Q9Z2A0,Mus musculus (Mouse),459-550(PH domain),20978239,"3-Phosphoinositide-dependent protein kinase-1 (PDPK1) plays a central role in activating the protein kinase A, G, and C subfamily. In particular, PDK1 plays an important role in regulating the Akt survival pathway. PDPK1 forms a homodimer via its PH domain, which is an autoinhibited conformation. The ATP-binding site is buried in the structure and the PIF pocket in the kinase domain of one monomer is not accessible because of its occupancy by the ?G helix of the other monomer. Thus, though the PH domain in PDPK1 does not mediate intramolecular interactions, it mediates the homodimerization by PH-PH interaction and results in autoinhibition. Deletion of the PH domain increases the interaction between PDPK1 and PKB.",Experimentally validated,,
Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3),PGR NR3C3,933,P06401,Homo sapiens (Human),375-397(Autoinhibitory region),12114521,"Human progesterone receptor A (PR-A) and B (PR-B) isoforms are members of the nuclear receptor family of ligand-activated transcription factors. The two PR proteins are identical except that PR-B contains an additional 164 N-terminal amino acids in the B upstream segment (BUS). In PR-B, the deletion of the autoinhibitory region (375-397) increases the transcriptional activity by 11 folds. In PR-A, deletion of the same region also increases its transcriptional acitivity by 8 folds.",Experimentally validated,,
Serine/threonine-protein kinase N1 (EC 2.7.11.13) (Protease-activated kinase 1) (PAK-1) (Protein kinase C-like 1) (Protein kinase C-like PKN) (Protein kinase PKN-alpha) (Protein-kinase C-related kinase 1) (Serine-threonine protein kinase N),PKN1 PAK1 PKN PRK1 PRKCL1,942,Q16512,Homo sapiens (Human),455-511(cDNA fragment),10467162,"Serine/threonine-protein kinase N1 (PKN1) is a PKC-related serine/threonine protein kinase involved in specific signal transduction responses such as regulation of the intermediate filaments of the actin cytoskeleton, cell migration, tumor cell invasion and transcription regulation in cells. Its kinase activity is enhanced by fatty acids such as arachidonic acid and small GTP-binding protein Rho in a GTP-dependent manner. The residues 455-511 of PKN selectively inhibits the kinase activity of the catalytic fragment of PKN1 in a concentration-dependent manner. Arachidonic acid relieves the catalytic activity of wild-type PKN from autoinhibition by residues 455-511 of PKN.",Experimentally validated,,
Serine/threonine-protein kinase N2 (EC 2.7.11.13) (PKN gamma) (Protein kinase C-like 2) (Protein-kinase C-related kinase 2),PKN2 PRK2 PRKCL2,984,Q16513,Homo sapiens (Human),455-511(cDNA fragment),10467162,"Serine/threonine-protein kinase N2 (PKN2) is a PKC-related serine/threonine protein kinase involved in specific signal transduction responses such as regulation of the intermediate filaments of the actin cytoskeleton, cell migration, tumor cell invasion and transcription regulation in cells. Its kinase activity is enhanced by fatty acids such as arachidonic acid and small GTP-binding protein Rho in a GTP-dependent manner. The residues 455-511 of PKN selectively inhibits the kinase activity of the catalytic fragment of PKN2. Arachidonic acid relieves the catalytic activity of wild-type PKN from autoinhibition by residues 455-511 of PKN.",Experimentally validated,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 (EC 3.1.4.11) (PLC-154) (Phosphoinositide phospholipase C-beta-1) (Phospholipase C-I) (PLC-I) (Phospholipase C-beta-1) (PLC-beta-1)",PLCB1 KIAA0581,1216,Q9NQ66,Homo sapiens (Human),467-536(X/Y linker),"18691970, 25435326","PLCB1 catalyzes the hydrolysis of 1-phosphatidylinositol 4,5-bisphosphate into diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) and mediates intracellular signaling downstream of G protein-coupled receptors. Autoinhibitory region is a portion of the linker that separates the conserved X and Y boxes comprising the catalytic TIM barrel, at residues 468-539, and occludes the active site of PLCB1. The active site of a PLC isozyme toward phospholipid membranes should force the negatively charged X/Y linker away from the active site, therein relieving autoinhibition of the enzyme.",Experimentally validated,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-2) (Phospholipase C-beta-2) (PLC-beta-2)",PLCB2,1185,Q00722,Homo sapiens (Human),466-537(X/Y linker),18691970,"PLCB2 encodes for 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2, hydrolyzes phosphatidylinositol 4,5-bisphosphate (PtdIns[4,5]P2) into the second messengers diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3). Autoinhibitory region is a portion of the linker that separates the conserved X and Y boxes comprising the catalytic TIM barrel, at residues 466-537, and occludes the active site of PLCB2. Specifically, the ordered region of X/Y linker at residues 516-535 seems to fine-tune access to the active site, in which deletion of this region only gave partially activation of PLCB2. However, the disordered region of X/Y linker at residues 470-515 is the major autoinhibitory region, in which deletion of this region enhanced activity by 10-fold higher basal activity relative to the ordered region.",Experimentally validated,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-3) (Phospholipase C-beta-3) (PLC-beta-3)",PLCB3,1234,Q01970,Homo sapiens (Human),471-585(X/Y linker),"18691970, 25435326","PLCB3 functions the production of the second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) which is mediated by activated phosphatidylinositol-specific phospholipase C enzymes. Autoinhibitory region is a portion of the linker that separates the conserved X and Y boxes comprising the catalytic TIM barrel, at residues 471-585, and occludes the active site of PLCB3. The active site of a PLC isozyme toward phospholipid membranes should force the negatively charged X/Y linker away from the active site, therein relieving autoinhibition of the enzyme.",Experimentally validated,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-1) (Phospholipase C-III) (PLC-III) (Phospholipase C-delta-1) (PLC-delta-1)",PLCD1,756,P51178,Homo sapiens (Human),441-491(X/Y linker),18691970,"PLCD1 functions the production of the second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3), which is mediated by activated phosphatidylinositol-specific phospholipase C enzymes. Autoinhibitory region is a portion of the linker that separates the conserved X and Y boxes comprising the catalytic TIM barrel, at residues 441-491. The disordered X/Y linker is capable of autoinhibition by hindering productive binding of PLC-?1 to membranes and thereby restricting access of PtdIns(4,5)P2 to the active site. The active site of a PLC isozyme toward phospholipid membranes should force the negatively charged X/Y linker away from the active site, therein relieving autoinhibition of the enzyme.",Experimentally validated,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-gamma-1) (PLC-gamma-1)",Plcg1,1290,P10686,Rattus norvegicus (Rat),668-765(C-terminal SH2 domain),"25916191, 25252913, 17116690, 23219468","Phosphoinositide-specific phospholipase C-gamma1 (PLC-gamma1) mediates the production of seondary messenger molecules, diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3), and is involved in the regulation of intracellular signal transduction. The C-terminal SH2 (SH2C) domain (second SH2 domain) is involved in the autoinhibition of PLC-gamma1 protein. The N-terminal portion of PH domain regulates the binding of SH2C. PLC-gamma1 is a substrate of Itk that recognizes the SH2C domain of PLC-gamma1. The linker downstream of SH2C adopts an intramolecular complex with SHC2 domain, which prevents the recognition of SH2C by Itk.",Experimentally validated,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)",PLCG1 PLC1,1290,P19174,Homo sapiens (Human),668-765(C-terminal SH2 domain),"25916191, 25252913, 17116690, 23219468","Phosphoinositide-specific phospholipase C-gamma1 (PLC-gamma1) mediates the production of seondary messenger molecules, diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3), and is involved in the regulation of intracellular signal transduction. The C-terminal SH2 (SH2C) domain (second SH2 domain) is involved in the autoinhibition of PLC-gamma1 protein. The N-terminal portion of PH domain regulates the binding of SH2C. In rat, Plcg1 is a substrate of Itk that recognizes the SH2C domain of PLC-gamma1. The linker downstream of SH2C adopts an intramolecular complex with SHC2 domain, which prevents the recognition of SH2C by Itk.",Experimentally validated,,
Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13),PLK1 PLK,603,P53350,Homo sapiens (Human),367-603(Polo box domain),14592974,"Polo-like kinase Plk1 acts at various stages in cell cycle specifically mitosis and cytokinesis. The kinase activity is regulated by a conserved C-terminal domain, termed the polo box domain (PBD). PBD is composed of the two polo boxes  and an N-terminal extension and each polo box contains a continuous six-stranded antiparallel ?-sheet and an ?-helix. The C-terminal region containing a polo-box domain is involved in autoinhibition via intramolecular intereraction with the kinase domain in PLK1.",Experimentally validated,,
