Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source
TNK2,803-880,ENSG00000061938,Q07912,27135163,1038,Kinase,126-385,Uniprot,ENST00000333602,Uniprot
TP53,364-393,ENSG00000141510,P04637,27135163,393,DBD,102-292,Uniprot,ENST00000269305,Uniprot
TP53BP2,693-901,ENSG00000143514,Q13625,27135163,1128,"ANK,SH3",925-1128,25963096,ENST00000343537,Ensembl
TRAF6,346-522,ENSG00000175104,Q9Y4K3,27135163,522,RING-Zinc,1-273,20512936,ENST00000348124,Uniprot
TRIB1,355-360,ENSG00000173334,Q96RU8,"26455797,UniProt",372,Kinase,1-338,Uniprot,ENST00000311922,Uniprot
TTN,32506-32543,ENSG00000155657,Q8WZ42,18765796,34350,Kinase,32178-32432,"Uniprot,18765796",ENST00000342992,Uniprot
VAV1,131-178,ENSG00000141968,P15498,27135163,845,DH,194-373,"Uniprot,11007481",ENST00000602142,Uniprot
WAS,238-251,ENSG00000015285,P42768,Uniprot,502,WH2,430-447,Uniprot,ENST00000376701,Uniprot
WWP2,20-100,ENSG00000198373,O00308,17719543,870,HECT,536-870,Uniprot,ENST00000359154,Uniprot
ZAP70,"126-155,256-337",ENSG00000115085,P43403,27135163,619,Kinase,338-600,Uniprot,ENST00000264972,Uniprot
ZYX,1-130,ENSG00000159840,Q15942,27135163,572,LIM,384-570,"Uniprot,31921890",ENST00000322764,Uniprot
