uniprot	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	conformation	state	organism	date	notes	percent_disorder_1	ar_disorder	region_1_mean_plddt	region_2_mean_plddt	mean_pae_1_1	mean_pae_1_2	mean_pae_2_2	sasa	pdb
P19174	757-790	668-756	8.68	67.64705882	100	1.174	28.223	Closed	Autoinhibited	Homo sapiens	['2012-05-23']		0	structured	48.08	89.122	13.883	20.153	2.58	12617.22	4fbn
P21333	2142-2235	2236-2325	10.018	84.04255319	100	2.112	21.192	Closed	Autoinhibited	HOMO SAPIENS	['2006-08-23']		0	structured	74.211	74.908	5.375	9.384	3.481	15936.62	2j3s
P21333	2142-2235	2236-2325	15.047	82.9787234	100	1.238	50.342	Open	Active	Homo sapiens	['2014-03-10']		0	structured	74.211	74.908	5.375	9.384	3.481	10101.51	4p3w
P22681	353-380	381-435	24.937	100	98.18181818	5.263	34.316	Closed	Autoinhibited	Homo sapiens	['2000-07-17']		0	structured	76.065	87.666	7.392	10.371	3.862	19410.58	1fbv
P22681	353-380	381-435	16.721	82.14285714	100	1.96	30.187	Closed	Autoinhibited	Homo sapiens	['2008-06-06']		0	structured	76.065	87.666	7.392	10.371	3.862	6432.18	2k4d
P22681	353-380	381-435	23.817	82.14285714	100	3.101	22.284	Closed	Autoinhibited	HOMO SAPIENS	['2010-12-08']		0	structured	76.065	87.666	7.392	10.371	3.862	19391.13	2y1m
P22681	353-380	381-435	24.485	75	100	3.432	25.56	Closed	Autoinhibited	HOMO SAPIENS	['2010-12-08']		0	structured	76.065	87.666	7.392	10.371	3.862	18439.03	2y1n
P22681	353-380	381-435	19.747	67.85714286	89.09090909	1.005	17.974	Closed	Autoinhibited	Homo sapiens	['2016-01-14']		0	structured	76.065	87.666	7.392	10.371	3.862	18222.79	5hkx
P22681	353-380	381-435	23.672	85.71428571	100	2.962	27.744	Closed	Autoinhibited	Homo sapiens	['2016-03-31']		0	structured	76.065	87.666	7.392	10.371	3.862	19160.11	5j3x
P22681	353-380	381-435	1.351	71.42857143	100	1.365	1.498	Open	Active	Homo sapiens	['2011-10-07']		0	structured	76.065	87.666	7.392	10.371	3.862	5146.38	4a49
P22681	353-380	381-435	1.359	92.85714286	100	1.149	2.465	Open	Active	HOMO SAPIENS	['2011-10-08']	The inhibitory and active regions are mislabeled. The active domain is the TKBD, from 47-353, and the inhibitory module is the RING domain, 381-435. These will have to be redefined. 	0	structured	76.065	87.666	7.392	10.371	3.862	19075.31	4a4b
P22681	353-380	381-435	1.37	96.42857143	100	1.157	2.208	Open	Active	HOMO SAPIENS	['2011-10-08']		0	structured	76.065	87.666	7.392	10.371	3.862	19203.18	4a4c
P22681	353-380	381-435	1.828	92.85714286	98.18181818	1.685	2.466	Open	Active	Homo sapiens	['2017-06-08']		0	structured	76.065	87.666	7.392	10.371	3.862	20629.51	5o76
P26358	647-714	1140-1602	7.897	100	98.70410367	1.626	28.409	Closed	Autoinhibited	Homo sapiens	['2010-12-02']		47.059	structured	76.114	92.924	7.561	17.825	5.296	43636.02	3pta
P26358	647-714	1140-1602	1.673	97.05882353	99.56803456	0.974	2.18	Closed	Autoinhibited	Homo sapiens	['2014-11-14']		47.059	structured	76.114	92.924	7.561	17.825	5.296	54317.16	4wxx
P26358	647-714	1140-1602	7.184	100	99.56803456	1.007	27.137	Open	Active	Homo sapiens	['2011-07-14']		47.059	structured	76.114	92.924	7.561	17.825	5.296	45618.56	3swr
P26358	647-714	1140-1602	8.479	66.17647059	100	3.268	36.219	Open	Active	Homo sapiens	['2022-04-12']		47.059	structured	76.114	92.924	7.561	17.825	5.296	39618.37	7xi9
P27577	304-310,416-441	335-415	3.953	93.93939394	100	2.394	4.394	Closed	Autoinhibited	Mus musculus	['2003-09-30']		36.364	structured	86.266	96.696	6.227	9.371	1.952	6941.26	1r36
P27577	304-310,416-441	335-415	9.778	87.87878788	100	1.196	14.492	Open	Active	Mus musculus	['2002-08-06']		36.364	structured	86.266	96.696	6.227	9.371	1.952	8366.55	1md0
P27577	304-310,416-441	335-415	8.249	90.90909091	100	1.402	13.892	Open	Active	Mus musculus	['2018-05-01']	“The SRR both sterically blocks the DNA-recognition interface of the ETS domain and stabilizes helices HI-1 and HI-2 of the IM against unfolding that is allosterically linked to DNA binding.” HI-1 is residues 304-310. 	36.364	structured	86.266	96.696	6.227	9.371	1.952	8142.69	6da1
P27577	304-310,416-441	335-415	8.363	84.84848485	100	1.066	14.391	Open	Active	Mus musculus	['2018-05-02']		36.364	structured	86.266	96.696	6.227	9.371	1.952	8137.94	6dat
P28482	173-196	25-172,197-313	2.422	100	96.60377358	1.22	6.639	Closed	Autoinhibited	Homo sapiens	['1998-06-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16561.95	1pme
P28482	173-196	25-172,197-313	2.497	100	100	1.523	6.633	Closed	Autoinhibited	Homo sapiens	['2004-06-30']		0	structured	66.58	94.114	8.599	14.084	3.528	17432.22	1tvo
P28482	173-196	25-172,197-313	2.515	100	100	1.768	6.306	Closed	Autoinhibited	Homo sapiens	['2005-03-10']		0	structured	66.58	94.114	8.599	14.084	3.528	17465.35	1wzy
P28482	173-196	25-172,197-313	1.967	100	100	1.261	4.431	Closed	Autoinhibited	HOMO SAPIENS	['2011-02-16']		0	structured	66.58	94.114	8.599	14.084	3.528	16927.05	2y9q
P28482	173-196	25-172,197-313	3.34	100	98.86792453	1.286	6.758	Closed	Autoinhibited	Homo sapiens	['2011-06-02']		0	structured	66.58	94.114	8.599	14.084	3.528	17631.71	3sa0
P28482	173-196	25-172,197-313	1.647	70.83333333	98.49056604	1.086	3.565	Closed	Autoinhibited	Homo sapiens	['2011-08-15']		0	structured	66.58	94.114	8.599	14.084	3.528	16810.11	3tei
P28482	173-196	25-172,197-313	2.001	100	100	1.378	4.521	Closed	Autoinhibited	Homo sapiens	['2012-06-18']		0	structured	66.58	94.114	8.599	14.084	3.528	16664.85	4fmq
P28482	173-196	25-172,197-313	2.21	100	99.62264151	1.214	6.543	Closed	Autoinhibited	Homo sapiens	['2012-06-28']		0	structured	66.58	94.114	8.599	14.084	3.528	16775.29	4fux
P28482	173-196	25-172,197-313	2.274	100	96.60377358	1.209	6.625	Closed	Autoinhibited	Homo sapiens	['2012-06-28']		0	structured	66.58	94.114	8.599	14.084	3.528	16678.45	4fuy
P28482	173-196	25-172,197-313	2.225	100	98.86792453	1.161	6.678	Closed	Autoinhibited	Homo sapiens	['2012-06-28']		0	structured	66.58	94.114	8.599	14.084	3.528	16962.68	4fv0
P28482	173-196	25-172,197-313	2.132	100	99.62264151	1.207	6.53	Closed	Autoinhibited	Homo sapiens	['2012-06-28']		0	structured	66.58	94.114	8.599	14.084	3.528	16906.63	4fv1
P28482	173-196	25-172,197-313	2.205	100	99.62264151	1.188	6.595	Closed	Autoinhibited	Homo sapiens	['2012-06-29']		0	structured	66.58	94.114	8.599	14.084	3.528	16880.29	4fv2
P28482	173-196	25-172,197-313	2.19	100	99.62264151	1.212	6.486	Closed	Autoinhibited	Homo sapiens	['2012-06-29']		0	structured	66.58	94.114	8.599	14.084	3.528	16898.04	4fv3
P28482	173-196	25-172,197-313	2.176	100	99.24528302	1.278	6.332	Closed	Autoinhibited	Homo sapiens	['2012-06-29']		0	structured	66.58	94.114	8.599	14.084	3.528	16894.54	4fv7
P28482	173-196	25-172,197-313	2.175	100	99.62264151	1.131	6.631	Closed	Autoinhibited	Homo sapiens	['2012-07-19']		0	structured	66.58	94.114	8.599	14.084	3.528	16941.32	4g6n
P28482	173-196	25-172,197-313	2.112	100	98.49056604	1.125	6.529	Closed	Autoinhibited	Homo sapiens	['2012-07-19']		0	structured	66.58	94.114	8.599	14.084	3.528	16768.66	4g6o
P28482	173-196	25-172,197-313	1.676	70.83333333	99.62264151	1.317	3.311	Closed	Autoinhibited	Homo sapiens	['2012-09-14']		0	structured	66.58	94.114	8.599	14.084	3.528	16442.16	4h3p
P28482	173-196	25-172,197-313	1.929	100	98.86792453	1.171	4.996	Closed	Autoinhibited	Homo sapiens	['2012-09-14']		0	structured	66.58	94.114	8.599	14.084	3.528	16822.36	4h3q
P28482	173-196	25-172,197-313	1.962	95.83333333	100	1.173	4.595	Closed	Autoinhibited	Homo sapiens	['2013-01-29']		0	structured	66.58	94.114	8.599	14.084	3.528	16561.84	4iz5
P28482	173-196	25-172,197-313	1.708	91.66666667	100	1.085	3.837	Closed	Autoinhibited	Homo sapiens	['2013-01-29']		0	structured	66.58	94.114	8.599	14.084	3.528	16699.36	4iza
P28482	173-196	25-172,197-313	2.866	100	98.49056604	1.24	6.715	Closed	Autoinhibited	Homo sapiens	['2013-10-02']		0	structured	66.58	94.114	8.599	14.084	3.528	17237.51	4n0s
P28482	173-196	25-172,197-313	1.841	87.5	100	1.26	4.297	Closed	Autoinhibited	Homo sapiens	['2013-11-06']		0	structured	66.58	94.114	8.599	14.084	3.528	17213.57	4nif
P28482	173-196	25-172,197-313	2.096	100	99.62264151	1.462	5.293	Closed	Autoinhibited	Homo sapiens	['2014-06-22']		0	structured	66.58	94.114	8.599	14.084	3.528	17387.73	4qp1
P28482	173-196	25-172,197-313	2.837	100	98.86792453	1.282	6.749	Closed	Autoinhibited	Homo sapiens	['2015-05-20']		0	structured	66.58	94.114	8.599	14.084	3.528	17077.75	4zxt
P28482	173-196	25-172,197-313	2.25	100	99.24528302	1.17	6.989	Closed	Autoinhibited	HOMO SAPIENS	['2015-04-10']		0	structured	66.58	94.114	8.599	14.084	3.528	16256.08	4zzm
P28482	173-196	25-172,197-313	2.157	100	99.24528302	1.133	6.784	Closed	Autoinhibited	HOMO SAPIENS	['2015-04-10']		0	structured	66.58	94.114	8.599	14.084	3.528	16195.74	4zzn
P28482	173-196	25-172,197-313	2.162	100	99.24528302	1.122	6.989	Closed	Autoinhibited	HOMO SAPIENS	['2015-04-10']		0	structured	66.58	94.114	8.599	14.084	3.528	16325.67	4zzo
P28482	173-196	25-172,197-313	2.045	62.5	95.8490566	1.644	3.952	Closed	Autoinhibited	Homo sapiens	['2015-07-14']		0	structured	66.58	94.114	8.599	14.084	3.528	17395.16	5ax3
P28482	173-196	25-172,197-313	2.226	100	99.62264151	1.132	6.642	Closed	Autoinhibited	Homo sapiens	['2016-06-22']		0	structured	66.58	94.114	8.599	14.084	3.528	17120.46	5lcj
P28482	173-196	25-172,197-313	2.295	100	99.24528302	1.165	6.678	Closed	Autoinhibited	Homo sapiens	['2016-06-22']		0	structured	66.58	94.114	8.599	14.084	3.528	17051.79	5lck
P28482	173-196	25-172,197-313	2.161	100	99.24528302	1.23	6.54	Closed	Autoinhibited	Homo sapiens	['2017-03-20']		0	structured	66.58	94.114	8.599	14.084	3.528	16087.28	5ngu
P28482	173-196	25-172,197-313	2.169	100	99.24528302	1.111	6.623	Closed	Autoinhibited	Homo sapiens	['2017-03-21']		0	structured	66.58	94.114	8.599	14.084	3.528	15843.05	5nhf
P28482	173-196	25-172,197-313	2.155	100	99.62264151	1.228	6.329	Closed	Autoinhibited	Homo sapiens	['2017-03-21']		0	structured	66.58	94.114	8.599	14.084	3.528	16670.38	5nhh
P28482	173-196	25-172,197-313	2.193	100	99.62264151	1.252	6.319	Closed	Autoinhibited	Homo sapiens	['2017-03-21']		0	structured	66.58	94.114	8.599	14.084	3.528	16280.24	5nhj
P28482	173-196	25-172,197-313	2.087	100	99.62264151	1.176	6.236	Closed	Autoinhibited	Homo sapiens	['2017-03-21']		0	structured	66.58	94.114	8.599	14.084	3.528	16062.7	5nhl
P28482	173-196	25-172,197-313	2.144	100	99.62264151	1.249	6.284	Closed	Autoinhibited	Homo sapiens	['2017-03-22']		0	structured	66.58	94.114	8.599	14.084	3.528	16039.32	5nho
P28482	173-196	25-172,197-313	2.06	100	99.62264151	1.148	6.41	Closed	Autoinhibited	Homo sapiens	['2017-03-22']		0	structured	66.58	94.114	8.599	14.084	3.528	15960.09	5nhp
P28482	173-196	25-172,197-313	2.159	100	99.62264151	1.195	6.523	Closed	Autoinhibited	Homo sapiens	['2017-03-22']		0	structured	66.58	94.114	8.599	14.084	3.528	16354.05	5nhv
P28482	173-196	25-172,197-313	2.003	91.66666667	100	1.148	6.093	Closed	Autoinhibited	Homo sapiens	['2017-03-15']		0	structured	66.58	94.114	8.599	14.084	3.528	17173.19	5v60
P28482	173-196	25-172,197-313	2.604	91.66666667	100	1.208	6.02	Closed	Autoinhibited	Homo sapiens	['2017-03-15']		0	structured	66.58	94.114	8.599	14.084	3.528	17156.28	5v61
P28482	173-196	25-172,197-313	2.103	91.66666667	100	1.28	6.052	Closed	Autoinhibited	Homo sapiens	['2017-03-15']		0	structured	66.58	94.114	8.599	14.084	3.528	17532.81	5v62
P28482	173-196	25-172,197-313	2.434	100	98.86792453	1.258	6.888	Closed	Autoinhibited	Homo sapiens	['2017-08-03']		0	structured	66.58	94.114	8.599	14.084	3.528	16696.05	5wp1
P28482	173-196	25-172,197-313	1.923	66.66666667	99.62264151	1.409	4.035	Closed	Autoinhibited	Homo sapiens	['2018-04-19']		0	structured	66.58	94.114	8.599	14.084	3.528	17024.96	6d5y
P28482	173-196	25-172,197-313	2.186	100	99.62264151	1.208	6.475	Closed	Autoinhibited	Homo sapiens	['2018-06-05']		0	structured	66.58	94.114	8.599	14.084	3.528	16826.7	6dmg
P28482	173-196	25-172,197-313	2.21	100	100	1.286	6.304	Closed	Autoinhibited	Homo sapiens	['2018-03-29']		0	structured	66.58	94.114	8.599	14.084	3.528	16731.73	6g54
P28482	173-196	25-172,197-313	2.302	100	99.62264151	1.309	7.127	Closed	Autoinhibited	Homo sapiens	['2018-04-10']		0	structured	66.58	94.114	8.599	14.084	3.528	16787.82	6g8x
P28482	173-196	25-172,197-313	2.138	100	99.62264151	1.153	6.656	Closed	Autoinhibited	Homo sapiens	['2018-04-10']		0	structured	66.58	94.114	8.599	14.084	3.528	16813.73	6g91
P28482	173-196	25-172,197-313	2.188	100	99.62264151	1.19	6.682	Closed	Autoinhibited	Homo sapiens	['2018-04-10']		0	structured	66.58	94.114	8.599	14.084	3.528	16996.84	6g92
P28482	173-196	25-172,197-313	2.111	100	99.62264151	1.238	6.479	Closed	Autoinhibited	Homo sapiens	['2018-04-10']		0	structured	66.58	94.114	8.599	14.084	3.528	16937.25	6g93
P28482	173-196	25-172,197-313	2.152	100	99.62264151	1.308	6.268	Closed	Autoinhibited	Homo sapiens	['2018-04-10']		0	structured	66.58	94.114	8.599	14.084	3.528	16894.11	6g97
P28482	173-196	25-172,197-313	2.144	100	99.62264151	1.309	6.421	Closed	Autoinhibited	Homo sapiens	['2018-04-10']		0	structured	66.58	94.114	8.599	14.084	3.528	16816.9	6g9a
P28482	173-196	25-172,197-313	2.224	100	99.62264151	1.288	6.632	Closed	Autoinhibited	Homo sapiens	['2018-04-10']		0	structured	66.58	94.114	8.599	14.084	3.528	17372.86	6g9d
P28482	173-196	25-172,197-313	2.22	100	99.62264151	1.312	6.557	Closed	Autoinhibited	Homo sapiens	['2018-04-10']		0	structured	66.58	94.114	8.599	14.084	3.528	17196.57	6g9h
P28482	173-196	25-172,197-313	2.292	100	98.86792453	1.335	6.635	Closed	Autoinhibited	Homo sapiens	['2018-04-10']		0	structured	66.58	94.114	8.599	14.084	3.528	17254.38	6g9j
P28482	173-196	25-172,197-313	2.242	100	99.24528302	1.341	6.657	Closed	Autoinhibited	Homo sapiens	['2018-04-11']		0	structured	66.58	94.114	8.599	14.084	3.528	17126.78	6g9k
P28482	173-196	25-172,197-313	2.218	100	99.62264151	1.342	6.619	Closed	Autoinhibited	Homo sapiens	['2018-04-11']		0	structured	66.58	94.114	8.599	14.084	3.528	16609.45	6g9m
P28482	173-196	25-172,197-313	2.373	100	99.62264151	1.35	7.161	Closed	Autoinhibited	Homo sapiens	['2018-04-11']		0	structured	66.58	94.114	8.599	14.084	3.528	16901.66	6g9n
P28482	173-196	25-172,197-313	2.3	100	98.49056604	1.304	6.594	Closed	Autoinhibited	Homo sapiens	['2018-04-24']		0	structured	66.58	94.114	8.599	14.084	3.528	17641.64	6gdm
P28482	173-196	25-172,197-313	2.107	100	99.62264151	1.212	6.524	Closed	Autoinhibited	Homo sapiens	['2018-04-24']		0	structured	66.58	94.114	8.599	14.084	3.528	16801.68	6gdq
P28482	173-196	25-172,197-313	2.251	100	99.24528302	1.292	6.597	Closed	Autoinhibited	Homo sapiens	['2018-04-25']		0	structured	66.58	94.114	8.599	14.084	3.528	17115.48	6ge0
P28482	173-196	25-172,197-313	2.2	100	99.62264151	1.198	6.652	Closed	Autoinhibited	Homo sapiens	['2018-05-16']		0	structured	66.58	94.114	8.599	14.084	3.528	17297.95	6gjb
P28482	173-196	25-172,197-313	2.159	100	99.62264151	1.215	6.629	Closed	Autoinhibited	Homo sapiens	['2018-05-16']		0	structured	66.58	94.114	8.599	14.084	3.528	17076.48	6gjd
P28482	173-196	25-172,197-313	2.188	91.66666667	100	1.286	6.092	Closed	Autoinhibited	Homo sapiens	['2019-04-25']		0	structured	66.58	94.114	8.599	14.084	3.528	17016.66	6opg
P28482	173-196	25-172,197-313	2.135	91.66666667	100	1.232	6.184	Closed	Autoinhibited	Homo sapiens	['2019-04-25']		0	structured	66.58	94.114	8.599	14.084	3.528	17077.82	6oph
P28482	173-196	25-172,197-313	2.263	100	99.62264151	1.321	6.554	Closed	Autoinhibited	Homo sapiens	['2018-12-13']		0	structured	66.58	94.114	8.599	14.084	3.528	17137.46	6q7k
P28482	173-196	25-172,197-313	2.219	100	99.62264151	1.194	6.694	Closed	Autoinhibited	Homo sapiens	['2018-12-13']		0	structured	66.58	94.114	8.599	14.084	3.528	16970.52	6q7s
P28482	173-196	25-172,197-313	2.169	100	99.62264151	1.21	6.632	Closed	Autoinhibited	Homo sapiens	['2018-12-13']		0	structured	66.58	94.114	8.599	14.084	3.528	16632.32	6q7t
P28482	173-196	25-172,197-313	2.28	100	99.62264151	1.292	6.775	Closed	Autoinhibited	Homo sapiens	['2018-12-18']		0	structured	66.58	94.114	8.599	14.084	3.528	17241.86	6qa1
P28482	173-196	25-172,197-313	2.224	100	99.62264151	1.298	6.665	Closed	Autoinhibited	Homo sapiens	['2018-12-18']		0	structured	66.58	94.114	8.599	14.084	3.528	16966.6	6qa3
P28482	173-196	25-172,197-313	2.282	100	98.86792453	1.214	7.127	Closed	Autoinhibited	Homo sapiens	['2018-12-18']		0	structured	66.58	94.114	8.599	14.084	3.528	16821.75	6qa4
P28482	173-196	25-172,197-313	2.186	100	99.62264151	1.333	6.473	Closed	Autoinhibited	Homo sapiens	['2018-12-19']		0	structured	66.58	94.114	8.599	14.084	3.528	16926.53	6qag
P28482	173-196	25-172,197-313	2.187	100	99.24528302	1.261	6.537	Closed	Autoinhibited	Homo sapiens	['2018-12-19']		0	structured	66.58	94.114	8.599	14.084	3.528	16732.39	6qah
P28482	173-196	25-172,197-313	2.318	100	98.49056604	1.202	7.224	Closed	Autoinhibited	Homo sapiens	['2018-12-19']		0	structured	66.58	94.114	8.599	14.084	3.528	17029.09	6qal
P28482	173-196	25-172,197-313	2.252	100	99.62264151	1.336	6.546	Closed	Autoinhibited	Homo sapiens	['2018-12-19']		0	structured	66.58	94.114	8.599	14.084	3.528	17308.9	6qaq
P28482	173-196	25-172,197-313	2.202	100	99.24528302	1.199	6.728	Closed	Autoinhibited	Homo sapiens	['2018-12-19']		0	structured	66.58	94.114	8.599	14.084	3.528	16771.77	6qaw
P28482	173-196	25-172,197-313	2.148	100	99.62264151	1.25	6.526	Closed	Autoinhibited	Homo sapiens	['2019-05-15']		0	structured	66.58	94.114	8.599	14.084	3.528	16642.27	6rq4
P28482	173-196	25-172,197-313	2.065	100	99.62264151	1.169	6.293	Closed	Autoinhibited	Homo sapiens	['2019-08-19']		0	structured	66.58	94.114	8.599	14.084	3.528	15798.81	6slg
P28482	173-196	25-172,197-313	2.351	100	99.62264151	1.369	6.642	Closed	Autoinhibited	Homo sapiens	['2020-11-03']		0	structured	66.58	94.114	8.599	14.084	3.528	17029.05	7auv
P28482	173-196	25-172,197-313	2.352	100	99.62264151	1.273	6.679	Closed	Autoinhibited	Homo sapiens	['2021-02-25']		0	structured	66.58	94.114	8.599	14.084	3.528	17066.41	7E+073
P28482	173-196	25-172,197-313	2.375	100	99.62264151	1.317	6.616	Closed	Autoinhibited	Homo sapiens	['2021-02-25']		0	structured	66.58	94.114	8.599	14.084	3.528	17113.66	7E+075
P28482	173-196	25-172,197-313	2.305	100	99.62264151	1.34	6.714	Closed	Autoinhibited	Homo sapiens	['2021-03-02']		0	structured	66.58	94.114	8.599	14.084	3.528	17168.34	7nqq
P28482	173-196	25-172,197-313	2.307	100	99.62264151	1.316	6.577	Closed	Autoinhibited	Homo sapiens	['2021-03-02']		0	structured	66.58	94.114	8.599	14.084	3.528	16856.34	7nqw
P28482	173-196	25-172,197-313	2.165	100	99.62264151	1.229	6.646	Closed	Autoinhibited	Homo sapiens	['2021-03-02']		0	structured	66.58	94.114	8.599	14.084	3.528	16556.5	7nr3
P28482	173-196	25-172,197-313	2.354	100	99.62264151	1.349	7.147	Closed	Autoinhibited	Homo sapiens	['2021-03-03']		0	structured	66.58	94.114	8.599	14.084	3.528	16999.61	7nr5
P28482	173-196	25-172,197-313	2.409	100	99.62264151	1.433	6.644	Closed	Autoinhibited	Homo sapiens	['2021-03-03']		0	structured	66.58	94.114	8.599	14.084	3.528	16802.85	7nr8
P28482	173-196	25-172,197-313	2.259	100	99.62264151	1.374	6.668	Closed	Autoinhibited	Homo sapiens	['2021-03-03']		0	structured	66.58	94.114	8.599	14.084	3.528	16506.51	7nr9
P28482	173-196	25-172,197-313	2.765	91.66666667	100	1.176	6.015	Closed	Autoinhibited	Homo sapiens	['2021-06-01']		0	structured	66.58	94.114	8.599	14.084	3.528	17482.59	7opm
P28482	173-196	25-172,197-313	2.168	100	99.62264151	1.486	5.362	Closed	Autoinhibited	Homo sapiens	['2021-11-30']		0	structured	66.58	94.114	8.599	14.084	3.528	16958.81	7w5o
P28482	173-196	25-172,197-313	2.183	100	100	1.325	6.162	Closed	Autoinhibited	Homo sapiens	['2022-03-03']		0	structured	66.58	94.114	8.599	14.084	3.528	16821.55	7x4u
P28482	173-196	25-172,197-313	2.182	100	99.62264151	1.447	5.366	Closed	Autoinhibited	Homo sapiens	['2022-03-22']		0	structured	66.58	94.114	8.599	14.084	3.528	17090.28	7xc1
P28482	173-196	25-172,197-313	2.303	100	99.62264151	1.181	7.139	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16800.7	8ao2
P28482	173-196	25-172,197-313	2.172	100	99.24528302	1.172	6.675	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16859.07	8ao3
P28482	173-196	25-172,197-313	2.16	100	99.24528302	1.173	6.657	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16753.17	8ao4
P28482	173-196	25-172,197-313	2.226	100	98.49056604	1.208	6.558	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16420.3	8ao5
P28482	173-196	25-172,197-313	2.173	100	99.24528302	1.176	6.662	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16495.53	8ao6
P28482	173-196	25-172,197-313	2.354	100	99.62264151	1.288	6.737	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	17110.3	8ao7
P28482	173-196	25-172,197-313	2.154	100	99.62264151	1.2	6.557	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16761.16	8ao8
P28482	173-196	25-172,197-313	2.236	100	98.86792453	1.283	6.657	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16815.35	8ao9
P28482	173-196	25-172,197-313	2.316	100	99.62264151	1.181	6.748	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16756.08	8aoa
P28482	173-196	25-172,197-313	2.19	100	96.22641509	1.147	6.665	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16129.69	8aob
P28482	173-196	25-172,197-313	2.324	100	99.24528302	1.227	6.732	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16838	8aoc
P28482	173-196	25-172,197-313	2.348	100	98.11320755	1.457	6.62	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16421.31	8aod
P28482	173-196	25-172,197-313	2.427	100	96.22641509	1.462	6.645	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16728.78	8aoe
P28482	173-196	25-172,197-313	2.434	100	97.73584906	1.476	6.673	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16713.14	8aof
P28482	173-196	25-172,197-313	2.307	100	97.35849057	1.379	6.713	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16597.84	8aog
P28482	173-196	25-172,197-313	2.41	100	98.11320755	1.501	6.837	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16485.67	8aoh
P28482	173-196	25-172,197-313	2.673	100	99.62264151	1.863	6.662	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16992.3	8aoi
P28482	173-196	25-172,197-313	2.175	100	99.62264151	1.328	6.505	Closed	Autoinhibited	Homo sapiens	['2022-08-08']		0	structured	66.58	94.114	8.599	14.084	3.528	16671.41	8aoj
P28482	173-196	25-172,197-313	1.729	75	98.49056604	1.321	3.241	Open	Active	Homo sapiens	['2014-06-22']		0	structured	66.58	94.114	8.599	14.084	3.528	17237.06	4qp2
P28482	173-196	25-172,197-313	1.817	75	98.49056604	1.348	3.391	Open	Active	Homo sapiens	['2014-06-22']		0	structured	66.58	94.114	8.599	14.084	3.528	17370.59	4qp3
P28482	173-196	25-172,197-313	1.956	66.66666667	100	1.49	3.991	Open	Active	Homo sapiens	['2014-06-22']		0	structured	66.58	94.114	8.599	14.084	3.528	17030.65	4qp4
P28482	173-196	25-172,197-313	1.856	75	98.49056604	1.387	3.309	Open	Active	Homo sapiens	['2014-06-22']		0	structured	66.58	94.114	8.599	14.084	3.528	17396.45	4qp6
P28482	173-196	25-172,197-313	1.928	66.66666667	100	1.426	3.994	Open	Active	Homo sapiens	['2014-06-22']		0	structured	66.58	94.114	8.599	14.084	3.528	16983.7	4qp7
P28482	173-196	25-172,197-313	1.957	66.66666667	100	1.488	4.283	Open	Active	Homo sapiens	['2014-06-22']		0	structured	66.58	94.114	8.599	14.084	3.528	16931.79	4qp9
P28482	173-196	25-172,197-313	2.549	87.5	96.60377358	2.252	4.104	Open	Active	Homo sapiens	['2014-06-22']		0	structured	66.58	94.114	8.599	14.084	3.528	17710.06	4qpa
P28482	173-196	25-172,197-313	2.196	100	100	1.328	5.971	Open	Active	Homo sapiens	['2014-07-07']		0	structured	66.58	94.114	8.599	14.084	3.528	16997.63	4qte
P28482	173-196	25-172,197-313	2.133	100	99.24528302	1.492	5.359	Open	Active	Homo sapiens	['2015-01-08']		0	structured	66.58	94.114	8.599	14.084	3.528	17345.47	4xj0
