uniprot	region_1	region_2	region_1_len	region_2_len	pdb	pdb_length	resolution	model	chain	label_offset	pdb residues in region_1	pdb residues in region_2	percent_region_1	percent_region_2	gt_fn	pred_fn
P15873	1-117	135-258	117	124	1plr	258	3.0	0	A	0	117	124	100.0	100.0	1plr.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	1sxj	250	2.85	0	F	25	115	119	98.29059829059828	95.96774193548387	1sxj.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	2od8	255	2.8	0	A	0	117	121	100.0	97.58064516129032	2od8.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	3f1w	253	2.901	0	A	0	117	119	100.0	95.96774193548387	3f1w.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	3gpm	253	3.8	0	A	0	116	120	99.14529914529915	96.7741935483871	3gpm.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	3gpn	252	2.5	0	A	0	116	119	99.14529914529915	95.96774193548387	3gpn.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	3v60	255	2.6	0	B	0	117	122	100.0	98.38709677419355	3v60.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	3v61	253	2.8	0	B	0	117	120	100.0	96.7741935483871	3v61.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	3v62	254	2.9	0	B	0	117	121	100.0	97.58064516129032	3v62.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	4l60	255	3.003	0	A	0	116	122	99.14529914529915	98.38709677419355	4l60.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	4l6p	253	2.68	0	A	6	116	120	99.14529914529915	96.7741935483871	4l6p.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	4yhr	256	2.9502	0	A	8	117	122	100.0	98.38709677419355	4yhr.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	5jne	249	2.85	0	D	0	114	119	97.43589743589743	95.96774193548387	5jne.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	5t9d	248	3.27	0	A	0	114	117	97.43589743589743	94.35483870967742	5t9d.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	5v7k	253	3.05	0	A	7	115	121	98.29059829059828	97.58064516129032	5v7k.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	5v7l	253	3.201	0	A	7	115	121	98.29059829059828	97.58064516129032	5v7l.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	5v7m	252	1.93	0	A	7	117	120	100.0	96.7741935483871	5v7m.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	5zut	255	2.82	0	A	0	117	121	100.0	97.58064516129032	5zut.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	6cx2	253	3.101	0	A	1	117	119	100.0	95.96774193548387	6cx2.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	6cx3	254	3.101	0	A	1	117	120	100.0	96.7741935483871	6cx3.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	6cx4	253	3.081	0	A	1	117	119	100.0	95.96774193548387	6cx4.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	6d0q	257	2.80051015589	0	A	6	116	124	99.14529914529915	100.0	6d0q.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	6d0r	255	2.85856959127	0	A	6	116	122	99.14529914529915	98.38709677419355	6d0r.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	6e49	255	2.9	0	A	14	117	121	100.0	97.58064516129032	6e49.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	6w9w	253	2.65	0	A	2	116	120	99.14529914529915	96.7741935483871	6w9w.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	6wac	251	2.9	0	A	0	117	117	100.0	94.35483870967742	6wac.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	7tfh	250	2.9	0	F	2	115	119	98.29059829059828	95.96774193548387	7tfh.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	7tfi	250	2.9	0	F	2	115	119	98.29059829059828	95.96774193548387	7tfi.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	7tfj	250	2.9	0	F	2	115	119	98.29059829059828	95.96774193548387	7tfj.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	7thj	254	2.9	0	F	6	117	120	100.0	96.7741935483871	7thj.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	7thv	254	2.9	0	F	6	117	120	100.0	96.7741935483871	7thv.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	7ti8	256	2.9	0	F	6	117	122	100.0	98.38709677419355	7ti8.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	7tib	255	2.9	0	F	6	117	121	100.0	97.58064516129032	7tib.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	7tic	254	2.9	0	F	6	117	120	100.0	96.7741935483871	7tic.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	7tid	255	2.9	0	F	6	117	121	100.0	97.58064516129032	7tid.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	7tku	257	2.9	0	F	5	117	123	100.0	99.19354838709677	7tku.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	7u19	255	2.9	0	F	6	117	121	100.0	97.58064516129032	7u19.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	7u1a	255	2.9	0	F	6	117	121	100.0	97.58064516129032	7u1a.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	7u1p	255	2.9	0	F	6	117	121	100.0	97.58064516129032	7u1p.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	8dqx	256	2.9	0	F	1	117	122	100.0	98.38709677419355	8dqx.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	8dqz	256	2.9	0	F	19	117	122	100.0	98.38709677419355	8dqz.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	8dr1	256	2.9	0	F	19	117	122	100.0	98.38709677419355	8dr1.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	8dr3	256	2.9	0	F	19	117	122	100.0	98.38709677419355	8dr3.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	8dr4	256	2.9	0	F	19	117	122	100.0	98.38709677419355	8dr4.cif	AF-P15873-F1-model_v4.cif
P15873	1-117	135-258	117	124	8dr6	256	2.9	0	F	19	117	122	100.0	98.38709677419355	8dr6.cif	AF-P15873-F1-model_v4.cif
Q9WZU0	10-198	199-419	189	221	4a2a	372	1.8	0	A	0	185	184	97.88359788359789	83.2579185520362	4a2a.cif	AF-Q9WZU0-F1-model_v4.cif
Q9WZU0	10-198	199-419	189	221	4a2b	386	1.8	0	A	0	189	194	100.0	87.78280542986425	4a2b.cif	AF-Q9WZU0-F1-model_v4.cif
P97784	3-132	215-430	130	216	4ct0	486	2.45	0	A	0	130	208	100.0	96.29629629629629	4ct0.cif	AF-P97784-F1-model_v4.cif
P97784	3-132	215-430	130	216	4k0r	463	2.65	0	A	0	123	212	94.61538461538461	98.14814814814815	4k0r.cif	AF-P97784-F1-model_v4.cif
P97784	3-132	215-430	130	216	5t5x	470	1.84	0	A	0	121	213	93.07692307692308	98.61111111111111	5t5x.cif	AF-P97784-F1-model_v4.cif
P97784	3-132	215-430	130	216	6kx4	471	2.0	0	A	2	121	208	93.07692307692308	96.29629629629629	6kx4.cif	AF-P97784-F1-model_v4.cif
P97784	3-132	215-430	130	216	6kx5	476	2.0	0	A	2	124	209	95.38461538461539	96.75925925925925	6kx5.cif	AF-P97784-F1-model_v4.cif
P97784	3-132	215-430	130	216	6kx6	468	2.0	0	A	2	124	199	95.38461538461539	92.12962962962963	6kx6.cif	AF-P97784-F1-model_v4.cif
P97784	3-132	215-430	130	216	6kx7	476	2.1	0	A	2	130	201	100.0	93.05555555555556	6kx7.cif	AF-P97784-F1-model_v4.cif
P97784	3-132	215-430	130	216	6lue	469	2.1	0	A	2	123	201	94.61538461538461	93.05555555555556	6lue.cif	AF-P97784-F1-model_v4.cif
P97784	3-132	215-430	130	216	6of7	472	3.11	0	A	0	125	204	96.15384615384616	94.44444444444444	6of7.cif	AF-P97784-F1-model_v4.cif
P97784	3-132	215-430	130	216	7d0m	494	1.95	0	A	2	130	216	100.0	100.0	7d0m.cif	AF-P97784-F1-model_v4.cif
P97784	3-132	215-430	130	216	7d19	482	2.35	0	A	2	130	209	100.0	96.75925925925925	7d19.cif	AF-P97784-F1-model_v4.cif
P97784	3-132	215-430	130	216	7d1c	491	1.91	0	A	2	130	212	100.0	98.14814814814815	7d1c.cif	AF-P97784-F1-model_v4.cif
P97784	3-132	215-430	130	216	7dli	472	2.2	0	A	2	121	211	93.07692307692308	97.68518518518519	7dli.cif	AF-P97784-F1-model_v4.cif
P97784	3-132	215-430	130	216	7wva	480	2.05	0	A	2	125	208	96.15384615384616	96.29629629629629	7wva.cif	AF-P97784-F1-model_v4.cif
Q2G1N7	1-154	157-250	154	94	1p4x	250	2.2	0	A	0	154	94	100.0	100.0	1p4x.cif	AF-Q2G1N7-F1-model_v4.cif
Q9Y221	1-93	94-170	93	77	1sqw	176	1.9	0	A	0	93	77	100.0	100.0	1sqw.cif	AF-Q9Y221-F1-model_v4.cif
Q9Y221	1-93	94-170	93	77	1t5y	165	2.5	0	A	10	90	75	96.7741935483871	97.40259740259741	1t5y.cif	AF-Q9Y221-F1-model_v4.cif
P23258	1-273	287-451	273	165	1z5v	410	2.71	0	A	0	254	146	93.04029304029304	88.48484848484848	1z5v.cif	AF-P23258-F1-model_v4.cif
P23258	1-273	287-451	273	165	1z5w	407	3.0	0	A	0	253	145	92.67399267399267	87.87878787878788	1z5w.cif	AF-P23258-F1-model_v4.cif
P23258	1-273	287-451	273	165	3cb2	430	2.303	0	A	0	270	153	98.9010989010989	92.72727272727272	3cb2.cif	AF-P23258-F1-model_v4.cif
P23258	1-273	287-451	273	165	7qj6	420	2.303	0	Q	0	259	155	94.87179487179486	93.93939393939394	7qj6.cif	AF-P23258-F1-model_v4.cif
