uniprot	pdb	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	state	conformation	organism	date	notes	chain	af_filename
P62826	3gj4	179-216	10-169	22.63	78.9473684210526	99.375	4.611	59.802	Autoinhibited	Closed	Homo sapiens	['2009-03-07']		A	F-P62826-F1-model_v3.cif
P62826	3gj5	179-216	10-169	22.653	78.9473684210526	99.375	4.601	59.871	Autoinhibited	Closed	Homo sapiens	['2009-03-07']		A	F-P62826-F1-model_v3.cif
P62826	3gj6	179-216	10-169	22.599	78.9473684210526	99.375	4.584	59.996	Autoinhibited	Closed	Homo sapiens	['2009-03-07']		A	F-P62826-F1-model_v3.cif
P62826	3gj7	179-216	10-169	22.089	76.3157894736842	99.375	4.574	59.019	Autoinhibited	Closed	Homo sapiens	['2009-03-07']		A	F-P62826-F1-model_v3.cif
P62826	3gj8	179-216	10-169	23.414	81.5789473684211	99.375	4.623	61.269	Autoinhibited	Closed	Homo sapiens	['2009-03-07']		A	F-P62826-F1-model_v3.cif
P62826	4gmx	179-216	10-169	15.797	89.4736842105263	100.0	1.066	39.883	Active	Closed	Homo sapiens	['2012-08-16']		A	F-P62826-F1-model_v3.cif
P62826	4gpt	179-216	10-169	16.189	100.0	100.0	1.076	39.074	Active	Closed	Homo sapiens	['2012-08-21']		A	F-P62826-F1-model_v3.cif
P62826	4hat	179-216	10-169	16.204	100.0	100.0	1.113	39.21	Active	Closed	Homo sapiens	['2012-09-27']		A	F-P62826-F1-model_v3.cif
P62826	4hau	179-216	10-169	15.841	76.3157894736842	100.0	1.095	42.202	Active	Closed	Homo sapiens	['2012-09-27']		A	F-P62826-F1-model_v3.cif
P62826	4hav	179-216	10-169	15.521	68.421052631579	100.0	1.087	43.969	Active	Closed	Homo sapiens	['2012-09-27']		A	F-P62826-F1-model_v3.cif
P62826	4haw	179-216	10-169	15.494	68.421052631579	100.0	1.109	43.889	Active	Closed	Homo sapiens	['2012-09-27']		A	F-P62826-F1-model_v3.cif
P62826	4hay	179-216	10-169	15.857	78.9473684210526	100.0	1.097	41.83	Active	Closed	Homo sapiens	['2012-09-27']		A	F-P62826-F1-model_v3.cif
P62826	4haz	179-216	10-169	15.985	84.2105263157895	100.0	1.086	41.294	Active	Closed	Homo sapiens	['2012-09-27']		A	F-P62826-F1-model_v3.cif
P62826	4hb0	179-216	10-169	16.074	92.1052631578947	100.0	1.108	40.171	Active	Closed	Homo sapiens	['2012-09-27']		A	F-P62826-F1-model_v3.cif
P62826	4hb2	179-216	10-169	15.774	89.4736842105263	100.0	1.058	39.788	Active	Closed	Homo sapiens	['2012-09-27']		A	F-P62826-F1-model_v3.cif
P62826	4hb3	179-216	10-169	15.962	84.2105263157895	100.0	1.077	41.223	Active	Closed	Homo sapiens	['2012-09-27']		A	F-P62826-F1-model_v3.cif
P62826	4hb4	179-216	10-169	16.171	100.0	100.0	1.108	39.135	Active	Closed	Homo sapiens	['2012-09-27']		A	F-P62826-F1-model_v3.cif
P62826	4wvf	179-216	10-169	16.163	100.0	100.0	1.107	39.113	Active	Closed	Homo sapiens	['2014-11-05']		A	F-P62826-F1-model_v3.cif
P62826	5ciq	179-216	10-169	22.116	76.3157894736842	100.0	4.843	58.982	Autoinhibited	Closed	Homo sapiens	['2015-07-13']		A	F-P62826-F1-model_v3.cif
P62826	5cit	179-216	10-169	21.438	73.6842105263158	100.0	4.847	58.062	Autoinhibited	Closed	Homo sapiens	['2015-07-13']		A	F-P62826-F1-model_v3.cif
P62826	5ciw	179-216	10-169	22.122	76.3157894736842	99.375	4.581	58.892	Autoinhibited	Closed	Homo sapiens	['2015-07-13']		A	F-P62826-F1-model_v3.cif
P62826	5cj2	179-216	10-169	19.97	68.421052631579	99.375	4.586	55.712	Autoinhibited	Closed	Homo sapiens	['2015-07-13']		A	F-P62826-F1-model_v3.cif
P62826	5clq	179-216	10-169	12.538	86.8421052631579	99.375	1.892	32.251	Active	Closed	Homo sapiens	['2015-07-16']		A	F-P62826-F1-model_v3.cif
P62826	5dh9	179-216	10-169	16.121	92.1052631578947	100.0	1.03	40.294	Active	Closed	Homo sapiens	['2015-08-30']		A	F-P62826-F1-model_v3.cif
P62826	5dha	179-216	10-169	16.11	94.7368421052632	100.0	0.994	39.767	Active	Closed	Homo sapiens	['2015-08-30']		A	F-P62826-F1-model_v3.cif
P62826	5dhf	179-216	10-169	15.996	92.1052631578947	100.0	0.98	40.048	Active	Closed	Homo sapiens	['2015-08-30']		A	F-P62826-F1-model_v3.cif
P62826	5di9	179-216	10-169	16.124	100.0	100.0	1.01	38.969	Active	Closed	Homo sapiens	['2015-08-31']		A	F-P62826-F1-model_v3.cif
P62826	5dif	179-216	10-169	16.034	100.0	100.0	0.975	38.867	Active	Closed	Homo sapiens	['2015-08-31']		A	F-P62826-F1-model_v3.cif
P62826	5jlj	179-216	10-169	15.919	84.2105263157895	100.0	0.999	41.108	Active	Closed	Homo sapiens	['2016-04-27']		A	F-P62826-F1-model_v3.cif
P62826	5uwh	179-216	10-169	15.898	86.8421052631579	100.0	0.995	40.559	Active	Closed	Homo sapiens	['2017-02-21']		A	F-P62826-F1-model_v3.cif
P62826	5uwi	179-216	10-169	16.114	100.0	100.0	0.989	38.937	Active	Closed	Homo sapiens	['2017-02-21']		A	F-P62826-F1-model_v3.cif
P62826	5uwj	179-216	10-169	16.079	94.7368421052632	100.0	0.975	39.773	Active	Closed	Homo sapiens	['2017-02-21']		A	F-P62826-F1-model_v3.cif
P62826	5uwo	179-216	10-169	16.114	92.1052631578947	100.0	1.014	40.265	Active	Closed	Homo sapiens	['2017-02-21']		A	F-P62826-F1-model_v3.cif
P62826	5uwp	179-216	10-169	16.079	100.0	100.0	0.991	38.993	Active	Closed	Homo sapiens	['2017-02-21']		A	F-P62826-F1-model_v3.cif
P62826	5uwq	179-216	10-169	16.1	94.7368421052632	100.0	0.989	39.806	Active	Closed	Homo sapiens	['2017-02-21']		A	F-P62826-F1-model_v3.cif
P62826	5uwr	179-216	10-169	15.971	89.4736842105263	100.0	1.009	40.435	Active	Closed	Homo sapiens	['2017-02-21']		A	F-P62826-F1-model_v3.cif
P62826	5uws	179-216	10-169	16.098	94.7368421052632	100.0	0.99	39.781	Active	Closed	Homo sapiens	['2017-02-21']		A	F-P62826-F1-model_v3.cif
P62826	5uwt	179-216	10-169	16.116	100.0	100.0	0.993	38.961	Active	Closed	Homo sapiens	['2017-02-21']		A	F-P62826-F1-model_v3.cif
P62826	5uwu	179-216	10-169	16.142	100.0	100.0	0.963	39.033	Active	Closed	Homo sapiens	['2017-02-21']		A	F-P62826-F1-model_v3.cif
P62826	5uww	179-216	10-169	16.096	94.7368421052632	100.0	0.965	39.791	Active	Closed	Homo sapiens	['2017-02-21']		A	F-P62826-F1-model_v3.cif
P62826	5yro	179-216	10-169	16.275	97.3684210526316	100.0	1.107	39.791	Active	Closed	Homo sapiens	['2017-11-09']		A	F-P62826-F1-model_v3.cif
P62826	5yst	179-216	10-169	16.239	97.3684210526316	100.0	1.008	39.663	Active	Closed	Homo sapiens	['2017-11-15']		A	F-P62826-F1-model_v3.cif
P62826	5ysu	179-216	10-169	16.207	97.3684210526316	100.0	1.017	39.566	Active	Closed	Homo sapiens	['2017-11-15']		A	F-P62826-F1-model_v3.cif
P62826	5ytb	179-216	10-169	16.091	97.3684210526316	100.0	1.15	39.61	Active	Closed	Homo sapiens	['2017-11-17']		A	F-P62826-F1-model_v3.cif
P62826	5zpu	179-216	10-169	16.203	81.5789473684211	100.0	1.035	42.482	Active	Closed	Homo sapiens	['2018-04-16']		A	F-P62826-F1-model_v3.cif
P62826	6a38	179-216	10-169	16.014	97.3684210526316	100.0	1.026	39.531	Active	Closed	Homo sapiens	['2018-06-15']		A	F-P62826-F1-model_v3.cif
P62826	6a3a	179-216	10-169	16.015	97.3684210526316	100.0	1.003	39.554	Active	Closed	Homo sapiens	['2018-06-15']		A	F-P62826-F1-model_v3.cif
P62826	6a3b	179-216	10-169	16.059	97.3684210526316	100.0	1.023	39.642	Active	Closed	Homo sapiens	['2018-06-15']		A	F-P62826-F1-model_v3.cif
P62826	6a3c	179-216	10-169	16.032	97.3684210526316	100.0	1.003	39.585	Active	Closed	Homo sapiens	['2018-06-15']		A	F-P62826-F1-model_v3.cif
P62826	6a3e	179-216	10-169	16.048	97.3684210526316	100.0	1.01	39.638	Active	Closed	Homo sapiens	['2018-06-15']		A	F-P62826-F1-model_v3.cif
P62826	6cit	179-216	10-169	16.15	94.7368421052632	100.0	0.96	39.878	Active	Closed	Homo sapiens	['2018-02-25']		A	F-P62826-F1-model_v3.cif
P62826	6kft	179-216	10-169	16.059	97.3684210526316	100.0	1.023	39.642	Active	Closed	Homo sapiens	['2019-07-08']		A	F-P62826-F1-model_v3.cif
P62826	6lq9	179-216	10-169	16.048	100.0	100.0	1.009	38.741	Active	Closed	Homo sapiens	['2020-01-13']		A	F-P62826-F1-model_v3.cif
P62826	6m60	179-216	10-169	16.238	97.3684210526316	99.375	1.038	39.628	Active	Closed	Homo sapiens	['2020-03-12']		A	F-P62826-F1-model_v3.cif
P62826	6m6x	179-216	10-169	16.223	97.3684210526316	99.375	1.052	39.681	Active	Closed	Homo sapiens	['2020-03-16']		A	F-P62826-F1-model_v3.cif
P62826	6x2m	179-216	10-169	16.074	100.0	100.0	1.063	38.9	Active	Closed	Homo sapiens	['2020-05-20']		A	F-P62826-F1-model_v3.cif
P62826	6x2o	179-216	10-169	16.081	100.0	100.0	1.051	38.918	Active	Closed	Homo sapiens	['2020-05-20']		A	F-P62826-F1-model_v3.cif
P62826	6x2p	179-216	10-169	16.192	92.1052631578947	100.0	1.017	40.462	Active	Closed	Homo sapiens	['2020-05-20']		A	F-P62826-F1-model_v3.cif
P62826	6x2r	179-216	10-169	16.089	92.1052631578947	100.0	1.107	40.205	Active	Closed	Homo sapiens	['2020-05-20']		A	F-P62826-F1-model_v3.cif
P62826	6x2s	179-216	10-169	16.212	92.1052631578947	100.0	1.04	40.628	Active	Closed	Homo sapiens	['2020-05-20']		A	F-P62826-F1-model_v3.cif
P62826	6x2u	179-216	10-169	16.188	92.1052631578947	100.0	1.037	40.476	Active	Closed	Homo sapiens	['2020-05-21']		A	F-P62826-F1-model_v3.cif
P62826	6x2v	179-216	10-169	15.814	84.2105263157895	100.0	1.032	41.956	Active	Closed	Homo sapiens	['2020-05-21']		A	F-P62826-F1-model_v3.cif
P62826	6x2w	179-216	10-169	16.202	92.1052631578947	100.0	1.028	40.484	Active	Closed	Homo sapiens	['2020-05-21']		A	F-P62826-F1-model_v3.cif
P62826	6x2x	179-216	10-169	16.189	92.1052631578947	100.0	1.032	40.474	Active	Closed	Homo sapiens	['2020-05-21']		A	F-P62826-F1-model_v3.cif
P62826	6x2y	179-216	10-169	16.114	92.1052631578947	100.0	0.987	40.265	Active	Closed	Homo sapiens	['2020-05-21']		A	F-P62826-F1-model_v3.cif
P62826	6xjp	179-216	10-169	16.155	100.0	100.0	1.063	39.045	Active	Closed	Homo sapiens	['2020-06-24']		A	F-P62826-F1-model_v3.cif
P62826	6xjr	179-216	10-169	16.075	94.7368421052632	100.0	1.079	39.718	Active	Closed	Homo sapiens	['2020-06-24']		A	F-P62826-F1-model_v3.cif
P62826	6xjs	179-216	10-169	16.16	100.0	100.0	1.069	39.069	Active	Closed	Homo sapiens	['2020-06-24']		A	F-P62826-F1-model_v3.cif
P62826	6xjt	179-216	10-169	16.134	100.0	100.0	1.088	39.006	Active	Closed	Homo sapiens	['2020-06-24']		A	F-P62826-F1-model_v3.cif
P62826	6xju	179-216	10-169	16.153	100.0	100.0	1.077	39.052	Active	Closed	Homo sapiens	['2020-06-24']		A	F-P62826-F1-model_v3.cif
P62826	7cnd	179-216	10-169	16.33	97.3684210526316	99.375	1.058	39.763	Active	Closed	Homo sapiens	['2020-07-31']		A	F-P62826-F1-model_v3.cif
P62826	7dbg	179-216	10-169	16.33	97.3684210526316	99.375	1.033	39.838	Active	Closed	Homo sapiens	['2020-10-20']		A	F-P62826-F1-model_v3.cif
P62826	7l5e	179-216	10-169	15.772	81.5789473684211	100.0	1.018	41.726	Active	Closed	Homo sapiens	['2020-12-21']		A	F-P62826-F1-model_v3.cif
P62826	7mnp	179-216	10-169	22.081	76.3157894736842	99.375	4.593	58.995	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mnq	179-216	10-169	22.639	78.9473684210526	99.375	4.826	59.846	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mnr	179-216	10-169	22.55	78.9473684210526	99.375	4.838	59.762	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mns	179-216	10-169	22.613	78.9473684210526	99.375	4.961	59.743	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mnt	179-216	10-169	22.613	78.9473684210526	99.375	5.076	59.618	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mnu	179-216	10-169	21.408	73.6842105263158	99.375	4.984	57.795	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mnv	179-216	10-169	23.383	81.5789473684211	99.375	4.625	61.043	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mnw	179-216	10-169	15.482	100.0	100.0	1.258	37.459	Active	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mnx	179-216	10-169	13.764	92.1052631578947	100.0	1.226	34.558	Active	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mny	179-216	10-169	16.192	100.0	98.75	1.805	38.984	Active	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mnz	179-216	10-169	12.568	86.8421052631579	100.0	0.919	32.533	Active	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mo0	179-216	10-169	15.747	94.7368421052632	99.375	1.885	39.011	Active	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mo1	179-216	10-169	22.539	78.9473684210526	99.375	4.59	59.882	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mo2	179-216	10-169	22.707	78.9473684210526	99.375	4.759	59.961	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mo3	179-216	10-169	24.165	84.2105263157895	99.375	4.591	62.371	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mo4	179-216	10-169	24.13	84.2105263157895	99.375	4.549	62.297	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7mo5	179-216	10-169	22.563	78.9473684210526	99.375	4.58	59.773	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif
P62826	7ypz	179-216	10-169	16.214	97.3684210526316	99.375	1.0	39.574	Autoinhibited	Closed	Homo sapiens	['2022-08-05']		A	F-P62826-F1-model_v3.cif
P43405	4fl2	93-167,245-370	371-631	2.146	64.1791044776119	100.0	2.747	1.579	Autoinhibited	Closed	Homo sapiens	['2012-06-14']		A	F-P43405-F1-model_v3.cif
P43405	4fl3	93-167,245-370	371-631	1.035	61.1940298507463	95.0191570881226	0.822	1.189	Autoinhibited	Closed	Homo sapiens	['2012-06-14']		A	F-P43405-F1-model_v3.cif
Q07889	3ksy	1-198	198-565	2.442	88.8888888888889	96.195652173913	1.697	2.059	Autoinhibited	Closed	Homo sapiens	['2009-11-24']		A	F-Q07889-F1-model_v3.cif
Q9UM73	2xb7	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.069	61.5384615384615	95.6175298804781	1.02	1.022		Closed	HOMO SAPIENS	['2010-04-08']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	2xba	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.736	61.5384615384615	94.4223107569721	1.467	1.047		Closed	HOMO SAPIENS	['2010-04-08']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	2yhv	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.006	76.9230769230769	95.2191235059761	1.728	3.847		Closed	HOMO SAPIENS	['2011-05-06']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	2yjr	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.525	65.3846153846154	94.8207171314741	1.19	2.838		Closed	HOMO SAPIENS	['2011-05-23']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	2yjs	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.819	69.2307692307692	95.2191235059761	1.592	2.173		Closed	HOMO SAPIENS	['2011-05-23']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	3aox	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.964	73.0769230769231	95.6175298804781	1.475	3.725		Closed	Homo sapiens	['2010-10-08']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	3l9p	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.581	96.1538461538462	98.00796812749	1.843	6.57	Autoinhibited	Closed	Homo sapiens	['2010-01-05']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	3lcs	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	3.069	96.1538461538462	100.0	2.6	7.211	Autoinhibited	Closed	Homo sapiens	['2010-01-11']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	3lct	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.813	96.1538461538462	100.0	2.403	6.526	Autoinhibited	Closed	Homo sapiens	['2010-01-11']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4anl	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.979	76.9230769230769	95.6175298804781	1.685	3.786		Closed	HOMO SAPIENS	['2012-03-20']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4anq	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.983	76.9230769230769	95.6175298804781	1.719	3.812		Closed	HOMO SAPIENS	['2012-03-21']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4ans	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.997	76.9230769230769	95.2191235059761	1.738	3.816		Closed	HOMO SAPIENS	['2012-03-22']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4ccb	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.902	69.2307692307692	96.0159362549801	1.556	3.517		Closed	HOMO SAPIENS	['2013-10-21']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4ccu	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.989	76.9230769230769	95.6175298804781	1.548	3.887		Closed	HOMO SAPIENS	['2013-10-28']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4cd0	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.016	76.9230769230769	96.8127490039841	1.813	3.755		Closed	HOMO SAPIENS	['2013-10-29']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4cli	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.02	76.9230769230769	96.8127490039841	1.763	3.953		Closed	HOMO SAPIENS	['2014-01-14']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4clj	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.009	76.9230769230769	96.8127490039841	1.84	3.749		Closed	HOMO SAPIENS	['2014-01-14']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4cmo	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.005	76.9230769230769	96.8127490039841	1.723	3.92		Closed	HOMO SAPIENS	['2014-01-16']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4cmt	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.876	69.2307692307692	94.8207171314741	1.492	3.491		Closed	HOMO SAPIENS	['2014-01-17']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4cmu	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.0	76.9230769230769	96.8127490039841	1.739	3.879		Closed	HOMO SAPIENS	['2014-01-17']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4cnh	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.88	65.3846153846154	94.4223107569721	1.554	3.299		Closed	HOMO SAPIENS	['2014-01-22']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4ctb	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.998	76.9230769230769	95.6175298804781	1.665	3.911		Closed	HOMO SAPIENS	['2014-03-12']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4ctc	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.709	73.0769230769231	94.8207171314741	1.426	2.575		Closed	HOMO SAPIENS	['2014-03-12']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4dce	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.176	69.2307692307692	94.4223107569721	1.052	2.073		Closed	Homo sapiens	['2012-01-17']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4fnw	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.212	69.2307692307692	95.6175298804781	1.453	3.381		Closed	Homo sapiens	['2012-06-20']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4fnx	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.069	65.3846153846154	95.2191235059761	1.75	1.688		Closed	Homo sapiens	['2012-06-20']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4fny	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.935	65.3846153846154	92.0318725099602	1.329	2.96		Closed	Homo sapiens	['2012-06-20']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4fnz	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.138	65.3846153846154	94.4223107569721	0.996	2.004		Closed	Homo sapiens	['2012-06-20']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4fob	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.964	76.9230769230769	96.4143426294821	1.605	3.831		Closed	Homo sapiens	['2012-06-20']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4foc	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.854	69.2307692307692	97.6095617529881	1.517	3.31		Closed	Homo sapiens	['2012-06-20']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4fod	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.034	73.0769230769231	97.6095617529881	1.636	3.709		Closed	Homo sapiens	['2012-06-20']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4mkc	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.534	96.1538461538462	97.6095617529881	1.617	6.7	Autoinhibited	Closed	Homo sapiens	['2013-09-04']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4tt7	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.29	92.3076923076923	94.4223107569721	1.511	5.865	Autoinhibited	Closed	Homo sapiens	['2014-06-19']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	4z55	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.142	92.3076923076923	95.2191235059761	1.466	5.253	Autoinhibited	Closed	Homo sapiens	['2015-04-02']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	5a9u	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.984	76.9230769230769	95.2191235059761	1.596	3.834		Closed	HOMO SAPIENS	['2015-07-22']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	5aa8	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.999	76.9230769230769	94.8207171314741	1.613	3.921		Closed	HOMO SAPIENS	['2015-07-23']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	5aa9	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.036	76.9230769230769	96.4143426294821	1.839	3.819		Closed	HOMO SAPIENS	['2015-07-23']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	5aaa	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.992	76.9230769230769	96.4143426294821	1.767	3.774		Closed	HOMO SAPIENS	['2015-07-23']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	5aab	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.012	76.9230769230769	95.2191235059761	1.63	4.013		Closed	HOMO SAPIENS	['2015-07-23']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	5aac	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.979	76.9230769230769	95.2191235059761	1.59	3.886		Closed	HOMO SAPIENS	['2015-07-23']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	5fto	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.994	73.0769230769231	98.406374501992	2.036	2.788		Closed	HOMO SAPIENS	['2016-01-14']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	5ftq	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.963	69.2307692307692	96.8127490039841	1.873	3.365		Closed	HOMO SAPIENS	['2016-01-14']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	5iug	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.495	69.2307692307692	92.4302788844621	1.356	2.888		Closed	Homo sapiens	['2016-03-18']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	5iuh	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.497	65.3846153846154	92.8286852589642	1.377	2.625		Closed	Homo sapiens	['2016-03-18']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	5iui	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.152	80.7692307692308	98.406374501992	2.103	4.081	Autoinhibited	Closed	Homo sapiens	['2016-03-18']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	5kz0	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.743	73.0769230769231	96.4143426294821	1.645	2.547		Closed	Homo sapiens	['2016-07-22']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	6cdt	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.987	76.9230769230769	96.0159362549801	1.712	3.832		Closed	Homo sapiens	['2018-02-09']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	6e0r	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.908	61.5384615384615	95.2191235059761	1.512	1.404		Closed	Homo sapiens	['2018-07-06']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	6ebw	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.336	61.5384615384615	94.4223107569721	1.208	1.281		Closed	Homo sapiens	['2018-08-07']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	6edl	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.205	65.3846153846154	93.6254980079681	0.973	1.901		Closed	Homo sapiens	['2018-08-09']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	6mx8	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.074	65.3846153846154	93.6254980079681	0.971	1.764		Closed	Homo sapiens	['2018-10-30']		A	F-Q9UM73-F1-model_v3.cif
Q9UM73	7btt	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.409	96.1538461538462	98.00796812749	1.723	5.891	Autoinhibited	Closed	Homo sapiens	['2020-04-02']		A	F-Q9UM73-F1-model_v3.cif
