uniprot,cluster,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
G0WVH3,132,0.094,22,233,0.778,77,99,17.045,34.79,0.053,Incorrect
P0AG30,070,0.667,24,36,0.077,2,26,1.782,25.574,0.394,Acceptable
F2Z6J5,004,0.482,95,197,0.492,92,187,12.369,14.651,0.25,Acceptable
F2Z6J5,047,0.492,97,197,0.464,84,181,8.877,37.183,0.19,Incorrect
P0AG30,190,0.139,5,36,0.783,18,23,7.42,45.743,0.071,Incorrect
E1K248,008,0.443,81,183,0.628,137,218,12.252,11.918,0.265,Acceptable
P23687,203,0.24,71,296,0.601,107,178,7.021,10.863,0.221,Incorrect
F2Z6J5,146,0.523,103,197,0.44,81,184,10.006,15.456,0.259,Acceptable
Q7KLV9,067,0.089,4,45,0.871,27,31,8.555,42.996,0.052,Incorrect
H6SG27,023,0.435,100,230,0.398,66,166,10.826,12.329,0.259,Acceptable
P23687,037,0.26,77,296,0.513,81,158,9.635,7.842,0.275,Acceptable
P14677,071,0.306,34,111,0.227,10,44,20.879,29.567,0.129,Incorrect
F2Z6J5,210,0.503,99,197,0.444,79,178,9.434,23.233,0.215,Incorrect
H6SG27,U100-009,0.843,194,230,0.16,37,231,2.986,6.097,0.568,Medium
H6SG27,311,0.47,108,230,0.345,57,165,13.012,18.004,0.222,Incorrect
P0AG30,189,0.806,29,36,0.31,13,42,1.583,22.075,0.469,Acceptable
P23687,180,0.544,161,296,0.421,117,278,3.037,2.801,0.547,Medium
F2Z6J5,157,0.401,79,197,0.566,103,182,7.623,32.151,0.168,Incorrect
O60729,005,0.777,87,112,0.263,31,118,9.655,18.277,0.326,Acceptable
G0WVH3,067,0.129,30,233,0.615,48,78,19.302,35.297,0.063,Incorrect
F2Z6J5,165,0.518,102,197,0.41,71,173,9.037,36.268,0.199,Incorrect
P23687,240,0.074,22,296,0.621,36,58,11.541,11.837,0.144,Incorrect
E1K248,037,0.492,90,183,0.569,119,209,12.66,17.567,0.232,Acceptable
Q9I5E6,U100-006,0.929,286,308,0.115,37,323,1.07,2.135,0.844,High
F2Z6J5,U100-002,0.924,182,197,0.165,36,218,2.986,2.805,0.676,Medium
O68880,012,0.913,157,172,0.087,15,172,1.331,1.421,0.815,High
F2Z6J5,084,0.503,99,197,0.4,66,165,12.439,31.893,0.194,Incorrect
A0A0A0V031,U10-008,0.689,153,222,0.314,70,223,5.048,5.724,0.486,Acceptable
P14677,035,0.432,48,111,0.111,6,54,4.376,19.294,0.233,Acceptable
P04807,U100-003,0.902,101,112,0.122,14,115,0.952,3.299,0.828,High
H2E7Q8,U100-003,0.783,112,143,0.263,40,152,1.373,2.55,0.748,Medium
E1K248,105,0.464,85,183,0.553,105,190,10.866,11.466,0.279,Acceptable
G0WVH3,138,0.155,36,233,0.664,71,107,20.121,37.222,0.07,Incorrect
Q7KLV9,055,0.444,20,45,0.333,10,30,16.481,56.699,0.158,Incorrect
O68880,054,0.576,99,172,0.288,40,139,3.217,3.81,0.529,Medium
Q7KLV9,071,0.822,37,45,0.213,10,47,10.737,37.878,0.296,Acceptable
P23687,155,0.321,95,296,0.424,70,165,10.245,9.377,0.264,Acceptable
P23687,365,0.203,60,296,0.516,64,124,8.531,11.624,0.194,Incorrect
P23687,U10-005,0.767,227,296,0.22,64,291,1.562,0.962,0.745,Medium
P23687,337,0.527,156,296,0.33,77,233,3.81,4.173,0.489,Acceptable
E1K248,069,0.443,81,183,0.54,95,176,11.356,12.859,0.255,Acceptable
Q9I5E6,056,0.438,135,308,0.489,129,264,6.972,10.496,0.293,Acceptable
F2Z6J5,176,0.518,102,197,0.562,131,233,8.647,9.214,0.336,Acceptable
G0WVH3,095,0.137,32,233,0.778,112,144,17.222,19.0,0.104,Incorrect
P23687,068,0.534,158,296,0.363,90,248,4.522,4.785,0.464,Acceptable
A0A140DJY3,000,0.132,37,280,0.664,73,110,23.978,38.714,0.061,Incorrect
A0A3B6UEQ0,062,0.727,120,165,0.344,63,183,3.325,34.924,0.317,Acceptable
Q51504,U10-000,0.906,163,180,0.133,25,188,2.427,8.422,0.562,Medium
O68880,094,0.767,132,172,0.185,30,162,2.008,1.931,0.692,Medium
O68880,U10-009,0.965,166,172,0.062,11,177,0.548,0.705,0.947,High
H6SG27,097,0.352,81,230,0.481,75,156,19.817,30.462,0.143,Incorrect
F2Z6J5,105,0.467,92,197,0.56,117,209,12.042,41.29,0.174,Incorrect
Q9I5E6,013,0.318,98,308,0.453,81,179,9.331,11.516,0.232,Acceptable
Q9I5E6,092,0.062,19,308,0.796,74,93,20.586,27.709,0.051,Incorrect
G0WVH3,005,0.129,30,233,0.655,57,87,18.196,33.743,0.065,Incorrect
F2Z6J5,078,0.447,88,197,0.56,112,200,9.094,30.536,0.182,Incorrect
Q51504,U10-006,0.95,171,180,0.128,25,196,2.922,14.715,0.47,Acceptable
E1K248,026,0.645,118,183,0.234,36,154,5.898,9.568,0.382,Acceptable
Q72AS4,101,0.406,78,192,0.629,132,210,11.224,14.3,0.228,Incorrect
Q72AS4,178,0.464,89,192,0.551,109,198,11.787,15.048,0.24,Acceptable
P23687,331,0.409,121,296,0.467,106,227,4.443,4.616,0.428,Acceptable
O68880,U10-001,0.971,167,172,0.056,10,177,0.425,0.433,0.965,High
H6SG27,272,0.165,38,230,0.573,51,89,12.485,22.978,0.1,Incorrect
P04807,193,0.777,87,112,0.256,30,117,2.287,4.489,0.62,Medium
P0AG30,247,0.528,19,36,0.345,10,29,1.657,56.193,0.333,Acceptable
E1K248,146,0.41,75,183,0.611,118,193,12.283,12.579,0.246,Acceptable
E1K248,156,0.443,81,183,0.605,124,205,15.21,15.541,0.228,Incorrect
P23687,145,0.392,116,296,0.411,81,197,4.861,5.03,0.407,Acceptable
P04807,199,0.679,76,112,0.429,57,133,5.694,7.572,0.434,Acceptable
H6SG27,302,0.117,27,230,0.534,31,58,18.441,24.472,0.077,Incorrect
P14677,017,0.324,36,111,0.182,8,44,23.729,39.163,0.124,Incorrect
P23687,330,0.041,12,296,0.745,35,47,15.787,16.527,0.086,Incorrect
P0AG30,034,0.889,32,36,0.135,5,37,1.111,53.098,0.52,Medium
P0AG30,057,0.5,18,36,0.053,1,19,1.858,36.658,0.315,Acceptable
P0AG30,278,0.528,19,36,0.321,9,28,2.43,16.903,0.335,Acceptable
H6SG27,049,0.6,138,230,0.34,71,209,4.266,8.612,0.401,Acceptable
P0AG30,221,0.917,33,36,0.108,4,37,1.132,27.203,0.548,Medium
P23687,083,0.476,141,296,0.493,137,278,4.449,4.829,0.445,Acceptable
P04807,189,0.652,73,112,0.392,47,120,4.394,6.633,0.459,Acceptable
P04807,186,0.804,90,112,0.318,42,132,2.097,5.068,0.627,Medium
P0AG30,155,0.889,32,36,0.086,3,35,0.394,1.26,0.934,High
G0WVH3,079,0.086,20,233,0.74,57,77,17.922,37.989,0.047,Incorrect
P14677,084,0.324,36,111,0.163,7,43,25.025,58.203,0.116,Incorrect
P0AG30,005,0.556,20,36,0.2,5,25,2.446,3.103,0.57,Medium
Q72AS4,105,0.37,71,192,0.585,100,171,10.788,13.443,0.225,Incorrect
H6SG27,151,0.678,156,230,0.157,29,185,9.108,18.518,0.293,Acceptable
H6SG27,107,0.583,134,230,0.295,56,190,4.709,10.042,0.364,Acceptable
Q7KLV9,027,0.067,3,45,0.965,82,85,15.115,23.348,0.064,Incorrect
E1K248,230,0.415,76,183,0.614,121,197,9.505,12.818,0.248,Acceptable
Q941M3,U100-007,0.836,209,250,0.054,12,221,1.543,4.031,0.713,Medium
P0AG30,073,0.861,31,36,0.114,4,35,0.589,1.511,0.899,High
A0A0A0V031,011,0.324,72,222,0.55,88,160,19.62,22.767,0.151,Incorrect
P14677,101,0.324,36,111,0.321,17,53,20.721,32.276,0.131,Incorrect
P04807,065,0.723,81,112,0.331,40,121,4.345,5.366,0.515,Medium
A0A0A0V031,012,0.473,105,222,0.413,74,179,14.235,13.931,0.252,Acceptable
E1K248,052,0.399,73,183,0.639,129,202,15.075,14.574,0.221,Incorrect
G0WVH3,031,0.142,33,233,0.612,52,85,19.552,44.89,0.061,Incorrect
Q941M3,002,0.052,13,250,0.827,62,75,23.082,36.714,0.036,Incorrect
F2Z6J5,093,0.589,116,197,0.426,86,202,9.425,36.601,0.222,Incorrect
P0AG30,194,0.861,31,36,0.114,4,35,0.454,1.98,0.909,High
H6SG27,063,0.887,204,230,0.081,18,222,1.002,2.27,0.837,High
P23687,125,0.203,60,296,0.655,114,174,11.627,9.913,0.214,Incorrect
O68880,065,0.698,120,172,0.195,29,149,2.091,2.666,0.649,Medium
A0A3B6UEQ0,060,0.055,9,165,0.882,67,76,18.414,26.641,0.051,Incorrect
E1K248,245,0.546,100,183,0.476,91,191,10.381,9.665,0.334,Acceptable
G0WVH3,026,0.137,32,233,0.619,52,84,19.078,32.334,0.069,Incorrect
Q7KLV9,022,0.889,40,45,0.13,6,46,1.257,10.091,0.63,Medium
E1K248,238,0.388,71,183,0.67,144,215,10.697,12.928,0.236,Acceptable
P0AG30,U10-004,0.806,29,36,0.147,5,34,0.447,0.598,0.906,High
Q72AS4,180,0.484,93,192,0.415,66,159,11.904,16.733,0.235,Acceptable
Q72AS4,130,0.583,112,192,0.451,92,204,8.424,14.12,0.293,Acceptable
G0WVH3,U10-004,0.708,165,233,0.132,25,190,3.042,8.994,0.459,Acceptable
O68880,073,0.878,151,172,0.137,24,175,1.75,2.048,0.749,Medium
H6SG27,065,0.67,154,230,0.267,56,210,5.199,15.996,0.322,Acceptable
G0WVH3,114,0.082,19,233,0.787,70,89,16.645,24.563,0.066,Incorrect
G0WVH3,084,0.103,24,233,0.692,54,78,20.487,42.495,0.049,Incorrect
P04807,175,0.643,72,112,0.327,35,107,6.723,8.715,0.393,Acceptable
P14677,U100-001,0.892,99,111,0.039,4,103,0.617,0.626,0.914,High
Q72AS4,109,0.51,98,192,0.47,87,185,5.955,7.262,0.383,Acceptable
P04807,224,0.67,75,112,0.318,35,110,3.769,3.188,0.561,Medium
H6SG27,068,0.422,97,230,0.423,71,168,14.467,21.9,0.188,Incorrect
P0AG30,097,0.083,3,36,0.0,0,3,12.162,27.971,0.061,Incorrect
P04807,134,0.554,62,112,0.392,40,102,4.946,12.95,0.313,Acceptable
P0AG30,060,0.889,32,36,0.256,11,43,1.355,40.02,0.494,Medium
E1K248,U10-002,0.694,127,183,0.42,92,219,5.739,4.382,0.516,Medium
O68880,021,0.645,111,172,0.25,37,148,3.028,4.82,0.533,Medium
O68880,025,0.93,160,172,0.14,26,186,1.105,1.452,0.85,High
H6SG27,012,0.691,159,230,0.243,51,210,3.95,9.862,0.415,Acceptable
G0WVH3,068,0.292,68,233,0.567,89,157,12.969,25.597,0.135,Incorrect
G0WVH3,U10-000,0.918,214,233,0.045,10,224,1.836,5.586,0.672,Medium
P04807,U100-006,0.875,98,112,0.148,17,115,0.895,2.759,0.839,High
P23687,091,0.453,134,296,0.333,67,201,3.456,3.672,0.485,Acceptable
G0WVH3,039,0.094,22,233,0.735,61,83,23.838,50.314,0.042,Incorrect
G0WVH3,U10-003,0.682,159,233,0.141,26,185,3.879,11.004,0.395,Acceptable
P23687,196,0.368,109,296,0.468,96,205,6.866,5.937,0.362,Acceptable
P14677,091,0.324,36,111,0.321,17,53,17.451,45.925,0.122,Incorrect
P14677,104,0.324,36,111,0.2,9,45,19.781,58.752,0.117,Incorrect
Q51504,U10-001,0.883,159,180,0.159,30,189,2.295,14.235,0.482,Acceptable
Q72AS4,145,0.531,102,192,0.455,85,187,10.424,14.673,0.268,Acceptable
P0AG30,092,0.111,4,36,0.6,6,10,13.925,19.714,0.093,Incorrect
Q9I5E6,063,0.289,89,308,0.546,107,196,16.229,30.149,0.124,Incorrect
F2Z6J5,008,0.604,119,197,0.42,86,205,4.791,8.561,0.397,Acceptable
A0A3B6UEQ0,007,0.279,46,165,0.582,64,110,19.918,31.122,0.118,Incorrect
P23687,U100-009,0.916,271,296,0.117,36,307,0.613,0.462,0.923,High
E1K248,078,0.426,78,183,0.576,106,184,10.568,17.41,0.213,Incorrect
H6SG27,051,0.757,174,230,0.098,19,193,2.538,7.337,0.529,Medium
A0A140DJY3,003,0.114,32,280,0.742,92,124,20.725,24.826,0.075,Incorrect
G0WVH3,019,0.206,48,233,0.647,88,136,17.29,29.866,0.096,Incorrect
P23687,318,0.169,50,296,0.664,99,149,12.804,16.107,0.133,Incorrect
H6SG27,127,0.117,27,230,0.64,48,75,13.629,21.153,0.089,Incorrect
A0A0F7R6G7,U100-009,0.919,205,223,0.085,19,224,0.954,3.641,0.825,High
H6SG27,231,0.348,80,230,0.515,85,165,11.195,19.668,0.174,Incorrect
P23687,U10-001,0.807,239,296,0.201,60,299,1.657,1.097,0.747,Medium
P23687,U10-003,0.791,234,296,0.215,64,298,1.632,1.006,0.745,Medium
E1K248,147,0.705,129,183,0.414,91,220,5.426,3.524,0.543,Medium
F2Z6J5,145,0.487,96,197,0.455,80,176,9.829,26.113,0.202,Incorrect
A0A0A0V031,U10-004,0.725,161,222,0.288,65,226,4.443,6.181,0.494,Medium
Q51504,027,0.156,28,180,0.696,64,92,20.957,46.42,0.064,Incorrect
Q9I5E6,042,0.347,107,308,0.531,121,228,15.153,26.443,0.15,Incorrect
F2Z6J5,098,0.508,100,197,0.408,69,169,10.688,24.513,0.211,Incorrect
F2Z6J5,072,0.411,81,197,0.4,54,135,12.12,14.031,0.232,Acceptable
Q72AS4,088,0.37,71,192,0.618,115,186,12.046,15.186,0.208,Incorrect
H6SG27,228,0.483,111,230,0.331,55,166,13.687,20.18,0.215,Incorrect
A0A3B6UEQ0,027,0.558,92,165,0.374,55,147,8.174,24.101,0.234,Acceptable
P23687,133,0.101,30,296,0.688,66,96,10.159,12.549,0.146,Incorrect
A0A140DJY3,U10-003,0.693,194,280,0.122,27,221,2.273,6.897,0.533,Medium
G0WVH3,131,0.103,24,233,0.753,73,97,19.811,40.252,0.05,Incorrect
P0AG30,151,0.778,28,36,0.222,8,36,1.352,12.058,0.554,Medium
P23687,344,0.264,78,296,0.578,107,185,10.398,15.07,0.175,Incorrect
E1K248,207,0.464,85,183,0.672,174,259,13.14,16.514,0.229,Incorrect
G0WVH3,172,0.223,52,233,0.536,60,112,12.087,19.481,0.133,Incorrect
E1K248,217,0.546,100,183,0.539,117,217,8.183,8.427,0.361,Acceptable
A0A3B6UEQ0,099,0.636,105,165,0.323,50,155,11.777,38.643,0.233,Acceptable
P04807,212,0.625,70,112,0.314,32,102,7.793,9.442,0.369,Acceptable
Q9I5E6,079,0.279,86,308,0.427,64,150,15.785,21.963,0.139,Incorrect
A0A0A0V031,018,0.383,85,222,0.459,72,157,20.107,34.535,0.149,Incorrect
D9N168,U100-000,0.916,98,107,0.039,4,102,0.512,0.687,0.935,High
F2Z6J5,124,0.523,103,197,0.455,86,189,12.122,22.551,0.221,Incorrect
P0AG30,241,0.583,21,36,0.222,6,27,1.453,36.526,0.384,Acceptable
A0A3B6UEQ0,004,0.582,96,165,0.47,85,181,9.868,24.257,0.238,Acceptable
P0AG30,171,0.917,33,36,0.108,4,37,0.403,1.128,0.944,High
P23687,064,0.125,37,296,0.619,60,97,15.956,18.833,0.101,Incorrect
P23687,106,0.23,68,296,0.443,54,122,8.894,11.799,0.2,Incorrect
P04807,085,0.464,52,112,0.485,49,101,11.083,23.454,0.199,Incorrect
F2Z6J5,180,0.594,117,197,0.403,79,196,10.577,18.401,0.263,Acceptable
O68880,108,0.733,126,172,0.227,37,163,2.752,3.843,0.597,Medium
P23687,052,0.047,14,296,0.831,69,83,11.302,15.536,0.098,Incorrect
E1K248,168,0.339,62,183,0.695,141,203,11.161,11.221,0.24,Acceptable
A0A140DJY3,U100-008,0.736,206,280,0.112,26,232,8.625,20.323,0.305,Acceptable
Q72AS4,032,0.422,81,192,0.467,71,152,11.162,14.97,0.228,Incorrect
P23687,230,0.331,98,296,0.568,129,227,10.751,14.673,0.2,Incorrect
A0A0A0V031,U100-007,0.766,170,222,0.15,30,200,3.852,5.073,0.545,Medium
O68880,001,0.919,158,172,0.112,20,178,0.836,0.996,0.889,High
Q51504,U100-007,0.944,170,180,0.101,19,189,1.751,5.055,0.702,Medium
P04807,135,0.482,54,112,0.518,58,112,8.295,12.633,0.275,Acceptable
P0AG30,020,0.639,23,36,0.08,2,25,2.116,24.784,0.36,Acceptable
P04807,089,0.598,67,112,0.468,59,126,3.884,5.123,0.487,Acceptable
H6SG27,208,0.617,142,230,0.388,90,232,6.636,15.212,0.301,Acceptable
H6SG27,125,0.143,33,230,0.476,30,63,20.292,35.665,0.068,Incorrect
A0A3B6UEQ0,041,0.612,101,165,0.353,55,156,11.623,31.816,0.232,Acceptable
P0AG30,266,0.944,34,36,0.081,3,37,1.054,35.894,0.556,Medium
H6SG27,042,0.087,20,230,0.412,14,34,13.685,17.409,0.097,Incorrect
H6SG27,244,0.613,141,230,0.254,48,189,3.738,10.356,0.385,Acceptable
A0A3B6UEQ0,070,0.533,88,165,0.447,71,159,10.813,32.557,0.205,Incorrect
E1K248,072,0.459,84,183,0.514,89,173,10.773,16.174,0.231,Acceptable
H6SG27,276,0.435,100,230,0.387,63,163,10.498,16.404,0.222,Incorrect
H6SG27,011,0.748,172,230,0.118,23,195,2.579,6.945,0.533,Medium
A0A3B6UEQ0,098,0.715,118,165,0.234,36,154,10.023,25.054,0.28,Acceptable
P23687,198,0.341,101,296,0.51,105,206,5.139,5.703,0.37,Acceptable
Q7KLV9,078,0.933,42,45,0.125,6,48,1.434,13.436,0.581,Medium
P0AG30,U10-006,0.889,32,36,0.135,5,37,0.336,0.792,0.944,High
P23687,152,0.199,59,296,0.636,103,162,10.219,8.985,0.231,Acceptable
G0WVH3,054,0.142,33,233,0.554,41,74,14.193,30.071,0.076,Incorrect
P04807,060,0.688,77,112,0.417,55,132,3.821,5.782,0.502,Medium
D9N168,U100-002,0.925,99,107,0.066,7,106,0.517,0.456,0.939,High
Q9I5E6,014,0.403,124,308,0.38,76,200,6.697,9.96,0.291,Acceptable
Q9I5E6,021,0.312,96,308,0.324,46,142,15.332,25.074,0.141,Incorrect
P23687,U100-007,0.946,280,296,0.149,49,329,0.74,0.595,0.915,High
P23687,191,0.571,169,296,0.268,62,231,3.32,3.598,0.53,Medium
P23687,279,0.277,82,296,0.461,70,152,8.546,7.152,0.297,Acceptable
H6SG27,131,0.435,100,230,0.359,56,156,10.557,18.709,0.209,Incorrect
O16025,U100-003,0.574,66,115,0.333,33,99,15.834,45.471,0.206,Incorrect
Q72AS4,013,0.328,63,192,0.672,129,192,13.968,16.914,0.18,Incorrect
Q51504,003,0.094,17,180,0.819,77,94,22.562,39.373,0.048,Incorrect
O60729,008,0.223,25,112,0.684,54,79,25.428,42.467,0.088,Incorrect
P0AG30,U10-007,0.861,31,36,0.162,6,37,0.493,0.798,0.918,High
A0A0F7R6G7,U100-008,0.915,204,223,0.16,39,243,1.78,8.543,0.609,Medium
H6SG27,120,0.804,185,230,0.181,41,226,2.569,4.99,0.601,Medium
P23687,071,0.226,67,296,0.559,85,152,10.265,11.09,0.206,Incorrect
Q7KLV9,064,0.178,8,45,0.75,24,32,6.967,27.085,0.104,Incorrect
P23687,375,0.25,74,296,0.535,85,159,11.454,14.334,0.176,Incorrect
F2Z6J5,080,0.467,92,197,0.483,86,178,9.73,24.512,0.199,Incorrect
E1K248,U10-009,0.672,123,183,0.363,70,193,5.975,4.331,0.508,Medium
A0A3B6UEQ0,097,0.376,62,165,0.56,79,141,11.016,27.267,0.161,Incorrect
Q941M3,U100-000,0.852,213,250,0.049,11,224,1.793,4.843,0.673,Medium
H6SG27,235,0.096,22,230,0.6,33,55,23.869,46.395,0.044,Incorrect
P0AG30,290,0.583,21,36,0.344,11,32,1.989,22.841,0.356,Acceptable
P23687,023,0.392,116,296,0.498,115,231,4.517,5.101,0.409,Acceptable
P04807,082,0.277,31,112,0.77,104,135,10.598,10.516,0.231,Acceptable
G0WVH3,196,0.099,23,233,0.566,30,53,19.63,35.26,0.053,Incorrect
Q72AS4,014,0.526,101,192,0.445,81,182,8.648,13.62,0.279,Acceptable
P0AG30,009,0.639,23,36,0.361,13,36,2.893,19.723,0.336,Acceptable
H6SG27,218,0.522,120,230,0.426,89,209,8.324,16.303,0.256,Acceptable
H6SG27,140,0.191,44,230,0.617,71,115,12.824,20.111,0.119,Incorrect
O68880,103,0.779,134,172,0.124,19,153,1.902,2.383,0.697,Medium
H6SG27,050,0.413,95,230,0.478,87,182,8.128,15.404,0.226,Incorrect
P0AG30,008,0.472,17,36,0.19,4,21,4.306,17.602,0.257,Acceptable
Q72AS4,091,0.745,143,192,0.243,46,189,4.07,9.689,0.433,Acceptable
G0WVH3,070,0.077,18,233,0.66,35,53,16.289,25.553,0.062,Incorrect
P14677,052,0.243,27,111,0.509,28,55,14.886,49.777,0.094,Incorrect
E1K248,202,0.421,77,183,0.624,128,205,11.134,15.785,0.221,Incorrect
A0A3B6UEQ0,117,0.497,82,165,0.442,65,147,10.263,19.3,0.227,Incorrect
Q72AS4,041,0.438,84,192,0.551,103,187,12.091,15.233,0.23,Acceptable
A0A140DJY3,005,0.314,88,280,0.453,73,161,13.336,26.479,0.14,Incorrect
H6SG27,U100-003,0.883,203,230,0.106,24,227,1.7,4.056,0.712,Medium
G0WVH3,076,0.099,23,233,0.657,44,67,18.439,34.858,0.054,Incorrect
P04807,202,0.607,68,112,0.327,33,101,7.236,8.471,0.383,Acceptable
H6SG27,019,0.543,125,230,0.277,48,173,9.922,19.228,0.243,Acceptable
O60729,U100-000,0.821,92,112,0.24,29,121,4.805,26.472,0.335,Acceptable
E1K248,211,0.525,96,183,0.475,87,183,8.611,5.298,0.425,Acceptable
Q51504,U10-003,0.911,164,180,0.104,19,183,1.373,6.421,0.697,Medium
O68880,029,0.686,118,172,0.151,21,139,1.967,2.381,0.66,Medium
P0AG30,177,0.722,26,36,0.316,12,38,1.756,31.058,0.405,Acceptable
O68880,009,0.924,159,172,0.097,17,176,0.651,0.675,0.92,High
H6SG27,060,0.074,17,230,0.813,74,91,20.51,30.544,0.05,Incorrect
H6SG27,237,0.378,87,230,0.341,45,132,11.631,21.507,0.177,Incorrect
P14677,096,0.324,36,111,0.265,13,49,18.283,33.719,0.13,Incorrect
G0WVH3,170,0.082,19,233,0.537,22,41,20.43,24.854,0.064,Incorrect
P14677,043,0.324,36,111,0.217,10,46,18.259,30.927,0.134,Incorrect
P0AG30,307,0.889,32,36,0.059,2,34,0.894,26.38,0.574,Medium
O60729,U100-003,0.866,97,112,0.178,21,118,5.927,16.712,0.377,Acceptable
A0A3B6UEQ0,057,0.891,147,165,0.188,34,181,2.115,36.181,0.426,Acceptable
F2Z6J5,215,0.457,90,197,0.541,106,196,9.31,34.574,0.18,Incorrect
E1K248,018,0.727,133,183,0.417,95,228,6.978,4.869,0.508,Medium
Q72AS4,159,0.609,117,192,0.4,78,195,9.463,11.437,0.33,Acceptable
A0A3B6UEQ0,U100-001,0.939,155,165,0.197,38,193,1.762,23.701,0.491,Medium
F2Z6J5,024,0.411,81,197,0.582,113,194,13.143,21.534,0.186,Incorrect
H6SG27,250,0.083,19,230,0.814,83,102,24.207,34.703,0.048,Incorrect
P14677,074,0.324,36,111,0.163,7,43,16.227,38.999,0.126,Incorrect
P0AG30,143,0.667,24,36,0.25,8,32,1.864,29.476,0.379,Acceptable
E1K248,243,0.497,91,183,0.474,82,173,10.412,11.046,0.297,Acceptable
Q51504,U100-006,0.956,172,180,0.104,20,192,1.352,4.627,0.76,Medium
P0AG30,138,0.889,32,36,0.059,2,34,1.092,34.842,0.533,Medium
O68880,058,0.622,107,172,0.305,47,154,2.788,4.314,0.547,Medium
P23687,264,0.078,23,296,0.716,58,81,10.812,11.322,0.152,Incorrect
P23687,273,0.446,132,296,0.371,78,210,4.82,5.072,0.424,Acceptable
E1K248,129,0.53,97,183,0.449,79,176,8.945,8.339,0.356,Acceptable
P23687,372,0.22,65,296,0.591,94,159,10.329,9.71,0.225,Incorrect
E1K248,186,0.475,87,183,0.547,105,192,9.552,15.343,0.245,Acceptable
P14677,092,0.09,10,111,0.787,37,47,25.275,29.693,0.056,Incorrect
G0WVH3,089,0.107,25,233,0.755,77,102,19.309,33.104,0.058,Incorrect
P14677,053,0.279,31,111,0.311,14,45,25.058,41.465,0.108,Incorrect
E1K248,U100-003,0.907,166,183,0.093,17,183,8.353,9.603,0.459,Acceptable
P14677,004,0.324,36,111,0.163,7,43,28.647,37.519,0.125,Incorrect
O68880,080,0.878,151,172,0.147,26,177,1.201,1.56,0.818,High
P04807,062,0.616,69,112,0.355,38,107,5.756,15.297,0.305,Acceptable
P23687,258,0.041,12,296,0.692,27,39,18.059,25.014,0.05,Incorrect
O60729,004,0.67,75,112,0.279,29,104,22.04,28.393,0.252,Acceptable
P0AG30,291,0.639,23,36,0.303,10,33,2.505,28.842,0.328,Acceptable
H6SG27,132,0.574,132,230,0.371,78,210,8.592,15.969,0.275,Acceptable
P0AG30,102,0.722,26,36,0.188,6,32,1.642,57.322,0.4,Acceptable
P23687,000,0.733,217,296,0.217,60,277,1.754,1.89,0.703,Medium
A0A3B6UEQ0,106,0.382,63,165,0.577,86,149,8.983,28.121,0.164,Incorrect
O69275,U10-009,0.311,33,106,0.492,32,65,4.022,13.244,0.242,Acceptable
H6SG27,090,0.335,77,230,0.601,116,193,13.296,22.146,0.159,Incorrect
Q9I5E6,029,0.269,83,308,0.439,65,148,17.527,24.147,0.129,Incorrect
P14677,029,0.324,36,111,0.294,15,51,19.128,47.325,0.121,Incorrect
E1K248,242,0.667,122,183,0.408,84,206,6.947,5.818,0.464,Acceptable
H6SG27,099,0.491,113,230,0.285,45,158,7.946,18.705,0.232,Acceptable
O68880,022,0.907,156,172,0.128,23,179,0.729,0.651,0.903,High
E1K248,164,0.372,68,183,0.658,131,199,12.916,12.996,0.228,Incorrect
P59676,U10-003,0.745,82,110,0.035,3,85,1.207,2.955,0.748,Medium
Q72AS4,127,0.562,108,192,0.432,82,190,9.256,12.998,0.296,Acceptable
F2Z6J5,044,0.472,93,197,0.53,105,198,11.41,19.116,0.218,Incorrect
P23687,357,0.166,49,296,0.667,98,147,8.786,11.76,0.179,Incorrect
A0A3B6UEQ0,005,0.588,97,165,0.429,73,170,9.902,23.81,0.241,Acceptable
H6SG27,109,0.596,137,230,0.322,65,202,5.252,13.547,0.318,Acceptable
F2Z6J5,021,0.508,100,197,0.487,95,195,8.886,16.698,0.247,Acceptable
P0AG30,100,0.861,31,36,0.061,2,33,1.188,50.565,0.501,Medium
P04807,041,0.634,71,112,0.408,49,120,5.586,7.424,0.423,Acceptable
P0AG30,130,0.722,26,36,0.188,6,32,2.681,38.523,0.336,Acceptable
P0AG30,101,0.111,4,36,0.778,14,18,7.962,30.435,0.073,Incorrect
Q7KLV9,004,0.311,14,45,0.588,20,34,11.98,50.31,0.118,Incorrect
H6SG27,297,0.483,111,230,0.327,54,165,13.806,15.723,0.24,Acceptable
P23687,113,0.223,66,296,0.56,84,150,6.859,9.793,0.233,Acceptable
O68880,098,0.756,130,172,0.182,29,159,1.891,1.893,0.698,Medium
Q72AS4,062,0.307,59,192,0.659,114,173,12.059,13.777,0.199,Incorrect
Q72AS4,068,0.385,74,192,0.546,89,163,9.414,11.419,0.256,Acceptable
P04807,U10-008,0.884,99,112,0.092,10,109,1.1,3.573,0.795,Medium
P0AG30,308,0.306,11,36,0.676,23,34,4.678,43.197,0.145,Incorrect
G0WVH3,173,0.09,21,233,0.632,36,57,17.039,24.391,0.069,Incorrect
Q7KLV9,066,0.378,17,45,0.37,10,27,8.561,63.08,0.142,Incorrect
H6SG27,005,0.422,97,230,0.412,68,165,7.91,14.446,0.238,Acceptable
