uniprot	region	af_filename	complex_mean_plddt	region_mean_plddt
Q04721	26-63,64-102,105-143,144-180,182-219,221-258,260-296,298-336,338-374,375-413,415-454,456-492,494-530,532-568,570-605,607-643,645-680,682-718,720-755,757-793,795-831,833-871,873-909,911-947,949-985,987-1023,1025-1061,1063-1099,1101-1147,1149-1185,1187-1223,1225-1262,1264-1302,1304-1343,1374-1412	AF-Q04721-F1-model_v4.cif	59.729	66.336
P02876	28-69,70-112,113-155,156-198	AF-P02876-F1-model_v4.cif	88.157	96.771
P68436	6-56	AF-P68436-F1-model_v4.cif	95.601	97.733
P03973	28-76,82-130	AF-P03973-F1-model_v4.cif	84.396	91.364
G3V801	85-157,166-267,273-373,386-487,517-760	AF-G3V801-F1-model_v4.cif	76.541	84.75
P56637	20-88	AF-P56637-F1-model_v4.cif	87.289	96.002
P17028	52-134	AF-P17028-F1-model_v4.cif	66.699	82.986
Q8JI39	39-166,202-235	AF-Q8JI39-F1-model_v4.cif	93.501	97.383
Q99075	104-144	AF-Q99075-F1-model_v4.cif	66.597	90.35
P17497	2-83	AF-P17497-F1-model_v4.cif	95.547	95.651
Q05655	1-106,349-603,604-675	AF-Q05655-F1-model_v4.cif	80.816	88.965
O95628	109-189	AF-O95628-F1-model_v4.cif	63.194	91.328
P67966	10-61,118-169	AF-P67966-F1-model_v4.cif	72.57	82.262
P02820	52-98	AF-P02820-F1-model_v4.cif	80.949	88.639
Q9HTK8	1-54	AF-Q9HTK8-F1-model_v4.cif	94.559	95.025
P16589	1-55	AF-P16589-F1-model_v4.cif	58.183	58.183
Q8K0W9	4-60	AF-Q8K0W9-F1-model_v4.cif	84.783	94.141
Q922H1	214-528	AF-Q922H1-F1-model_v4.cif	85.431	95.711
A0A1S6EK91	21-63	AF-A0A1S6EK91-F1-model_v4.cif	81.282	93.128
P07851	5-60	AF-P07851-F1-model_v4.cif	88.317	91.093
I6YFL7	4-55	AF-I6YFL7-F1-model_v4.cif	89.487	93.174
O77091	20-83	AF-O77091-F1-model_v4.cif	86.963	96.349
P86405	21-85	AF-P86405-F1-model_v4.cif	92.168	96.543
P86408	21-83	AF-P86408-F1-model_v4.cif	92.041	97.009
I4E596	2-117,241-275	AF-I4E596-F1-model_v4.cif	93.501	95.74
O43298	33-97	AF-O43298-F1-model_v4.cif	57.196	88.086
Q5TD97	39-100,101-160,161-220,223-283	AF-Q5TD97-F1-model_v4.cif	90.315	91.211
Q8AVA4	38-164,200-233	AF-Q8AVA4-F1-model_v4.cif	91.78	96.817
Q9NP10	28-86	AF-Q9NP10-F1-model_v4.cif	50.481	50.569
O61705	21-83	AF-O61705-F1-model_v4.cif	92.37	97.08
O43291	38-88,133-183	AF-O43291-F1-model_v4.cif	80.122	95.306
Q8WV44	413-630	AF-Q8WV44-F1-model_v4.cif	72.094	78.313
P48307	36-86,96-149,158-208	AF-P48307-F1-model_v4.cif	84.33	92.665
P01494	20-85	AF-P01494-F1-model_v4.cif	90.405	96.318
P01487	2-64	AF-P01487-F1-model_v4.cif	97.384	97.381
Q90999	234-537	AF-Q90999-F1-model_v4.cif	81.753	93.687
Q80TJ7	195-351	AF-Q80TJ7-F1-model_v4.cif	63.976	96.691
C0HK69	1-66	AF-C0HK69-F1-model_v4.cif	90.505	91.524
Q7SIG6	308-400,424-546,896-958	AF-Q7SIG6-F1-model_v4.cif	78.022	90.714
P84875	4-54,56-106,115-165	AF-P84875-F1-model_v4.cif	97.128	97.545
P85966	35-77	AF-P85966-F1-model_v4.cif	73.542	92.228
Q800Y1	53-93	AF-Q800Y1-F1-model_v4.cif	76.364	94.109
P08045	1-58	AF-P08045-F1-model_v4.cif	67.093	59.304
Q9XG40	61-112	AF-Q9XG40-F1-model_v4.cif	76.468	91.757
P60623	31-159,195-228	AF-P60623-F1-model_v4.cif	95.167	97.698
Q9BYV2	271-329	AF-Q9BYV2-F1-model_v4.cif	83.921	87.857
P18065	38-134,224-306	AF-P18065-F1-model_v4.cif	67.237	81.142
P10589	184-410	AF-P10589-F1-model_v4.cif	77.584	88.655
P58328	2-64	AF-P58328-F1-model_v4.cif	97.254	97.247
P45663	20-85	AF-P45663-F1-model_v4.cif	91.197	96.525
P54135	2-64	AF-P54135-F1-model_v4.cif	97.328	97.368
Q805F6	198-394,402-483	AF-Q805F6-F1-model_v4.cif	83.243	88.689
Q805F7	47-111	AF-Q805F7-F1-model_v4.cif	77.719	87.461
P25660	7-57	AF-P25660-F1-model_v4.cif	91.091	96.916
P0C6B5	1-63	AF-P0C6B5-F1-model_v4.cif	93.596	93.596
P0C6B4	1-62	AF-P0C6B4-F1-model_v4.cif	94.647	94.647
P59854	2-64	AF-P59854-F1-model_v4.cif	95.311	95.954
Q9H4T2	41-123	AF-Q9H4T2-F1-model_v4.cif	67.466	87.012
Q8R3P2	7-97,98-174	AF-Q8R3P2-F1-model_v4.cif	73.009	85.87
P00989	31-81	AF-P00989-F1-model_v4.cif	88.439	96.204
P00981	27-77	AF-P00981-F1-model_v4.cif	89.101	97.413
P00980	7-57	AF-P00980-F1-model_v4.cif	94.409	97.052
P29186	2-37	AF-P29186-F1-model_v4.cif	93.012	93.726
Q5ZPJ7	29-79	AF-Q5ZPJ7-F1-model_v4.cif	92.397	98.328
P63255	2-63	AF-P63255-F1-model_v4.cif	82.229	88.432
Q8VZ40	247-321	AF-Q8VZ40-F1-model_v4.cif	85.13	86.861
P63019	1-66	AF-P63019-F1-model_v4.cif	69.97	70.268
P58910	2-62	AF-P58910-F1-model_v4.cif	86.679	87.106
Q90WC0	32-228,236-317	AF-Q90WC0-F1-model_v4.cif	85.376	91.036
P00998	3-56	AF-P00998-F1-model_v4.cif	92.195	93.412
Q9HLD9	9-68,75-133,141-178	AF-Q9HLD9-F1-model_v4.cif	97.433	97.66
P17789	33-98	AF-P17789-F1-model_v4.cif	59.222	94.59
P0DJ46	25-75	AF-P0DJ46-F1-model_v4.cif	93.462	96.849
O61668	20-83	AF-O61668-F1-model_v4.cif	87.289	96.372
Q960X8	13-141,263-282	AF-Q960X8-F1-model_v4.cif	67.81	89.431
P18619	197-395,403-483	AF-P18619-F1-model_v4.cif	83.017	88.518
Q8WQ22	23-57,70-105,109-144	AF-Q8WQ22-F1-model_v4.cif	76.135	86.01
O96790	19-69,72-122,131-181,184-234,240-289,297-347	AF-O96790-F1-model_v4.cif	79.382	83.714
P15358	45-70,100-125	AF-P15358-F1-model_v4.cif	86.056	94.545
P52757	59-127,277-468	AF-P52757-F1-model_v4.cif	84.963	95.055
P58062	26-85	AF-P58062-F1-model_v4.cif	90.221	96.106
P21859	1-70	AF-P21859-F1-model_v4.cif	90.408	90.408
P09981	2-66	AF-P09981-F1-model_v4.cif	97.404	97.444
Q9I704	3-32,46-113	AF-Q9I704-F1-model_v4.cif	78.34	81.513
Q8C9B9	667-787	AF-Q8C9B9-F1-model_v4.cif	46.536	72.867
Q60819	34-98	AF-Q60819-F1-model_v4.cif	65.155	96.685
P00272	2-53,119-170	AF-P00272-F1-model_v4.cif	74.831	87.648
P51865	62-91	AF-P51865-F1-model_v4.cif	67.737	88.948
D3Z3C6	54-129	AF-D3Z3C6-F1-model_v4.cif	54.531	93.499
P80171	5-30	AF-P80171-F1-model_v4.cif	88.886	89.862
P60589	1-50	AF-P60589-F1-model_v4.cif	81.819	81.793
Q26292	22-82	AF-Q26292-F1-model_v4.cif	92.276	97.224
Q95P16	1-50,53-103,109-158,166-216	AF-Q95P16-F1-model_v4.cif	82.35	86.097
Q8WPI2	21-71,89-139	AF-Q8WPI2-F1-model_v4.cif	90.069	97.501
Q9BT23	38-98	AF-Q9BT23-F1-model_v4.cif	73.046	88.131
P83469	1-41	AF-P83469-F1-model_v4.cif	82.989	82.989
Q9Y2K6	145-685,687-780,789-892	AF-Q9Y2K6-F1-model_v4.cif	73.351	74.703
Q9ULJ3	30-96	AF-Q9ULJ3-F1-model_v4.cif	54.584	91.417
Q9UHB6	388-448	AF-Q9UHB6-F1-model_v4.cif	51.955	92.778
P83658	1-64	AF-P83658-F1-model_v4.cif	92.362	92.362
P37109	31-86	AF-P37109-F1-model_v4.cif	84.937	89.798
O80763	18-172,178-321,325-485	AF-O80763-F1-model_v4.cif	90.658	94.639
P58488	2-64	AF-P58488-F1-model_v4.cif	97.121	97.115
P52943	5-57,126-178	AF-P52943-F1-model_v4.cif	73.863	88.716
P84755	2-50	AF-P84755-F1-model_v4.cif	87.365	87.898
Q6UW88	56-96	AF-Q6UW88-F1-model_v4.cif	67.073	78.234
Q6UWN8	24-80	AF-Q6UWN8-F1-model_v4.cif	87.281	91.915
E1UYU0	26-66,69-107	AF-E1UYU0-F1-model_v4.cif	80.254	81.585
Q92021	21-75,413-609	AF-Q92021-F1-model_v4.cif	84.78	94.809
P56682	3-56	AF-P56682-F1-model_v4.cif	91.099	91.916
Q14139	987-1061	AF-Q14139-F1-model_v4.cif	87.589	85.86
P36898	174-203,204-494	AF-P36898-F1-model_v4.cif	85.291	92.665
P68425	37-85	AF-P68425-F1-model_v4.cif	89.735	96.952
Q8TEY7	185-715,717-810,818-921	AF-Q8TEY7-F1-model_v4.cif	70.725	73.761
Q96FX2	4-60	AF-Q96FX2-F1-model_v4.cif	84.6	94.274
Q8BW10	5-108	AF-Q8BW10-F1-model_v4.cif	82.595	93.863
P46443	30-56	AF-P46443-F1-model_v4.cif	87.493	96.885
O94972	276-403	AF-O94972-F1-model_v4.cif	64.614	95.514
Q8WZ73	101-120,250-264	AF-Q8WZ73-F1-model_v4.cif	72.59	95.973
Q13075	464-758	AF-Q13075-F1-model_v4.cif	79.382	82.904
C0HLB2	7-57	AF-C0HLB2-F1-model_v4.cif	90.484	97.39
P56409	1-53,61-116	AF-P56409-F1-model_v4.cif	80.644	83.524
P87126	174-248	AF-P87126-F1-model_v4.cif	74.334	91.934
Q8HYY9	1-47	AF-Q8HYY9-F1-model_v4.cif	84.05	84.815
Q9U405	2-80	AF-Q9U405-F1-model_v4.cif	65.392	78.526
Q9AYP9	45-86,87-127,128-168	AF-Q9AYP9-F1-model_v4.cif	83.424	95.583
Q16938	13-77	AF-Q16938-F1-model_v4.cif	75.563	80.646
Q14766	187-219,399-431,557-609,626-663,677-729,873-910,915-956,957-997,998-1037,1038-1078,1079-1119,1120-1160,1161-1201,1202-1243,1244-1281,1286-1328,1347-1401,1424-1466,1467-1503,1524-1577,1621-1657,1662-1706	AF-Q14766-F1-model_v4.cif	60.592	78.412
O14011	1-71	AF-O14011-F1-model_v4.cif	82.81	84.154
Q680Q4	11-45	AF-Q680Q4-F1-model_v4.cif	63.625	87.339
Q02111	1-107,380-634,635-706	AF-Q02111-F1-model_v4.cif	80.273	88.784
Q9HJ63	15-152	AF-Q9HJ63-F1-model_v4.cif	94.176	96.952
P91818	31-85	AF-P91818-F1-model_v4.cif	77.265	89.93
Q6B519	2-47	AF-Q6B519-F1-model_v4.cif	94.052	94.243
Q9GSQ9	1-173,243-279,285-324	AF-Q9GSQ9-F1-model_v4.cif	77.807	82.864
J9PBR9	7-111	AF-J9PBR9-F1-model_v4.cif	91.133	92.948
Q031W6	2-113,237-271	AF-Q031W6-F1-model_v4.cif	96.253	97.344
Q4VVG2	61-76	AF-Q4VVG2-F1-model_v4.cif	76.65	91.248
A0A345FAI3	1-223,299-335	AF-A0A345FAI3-F1-model_v4.cif	69.729	75.669
Q6NA67	3-102	AF-Q6NA67-F1-model_v4.cif	88.698	89.513
A0A1S2XQ25	56-109	AF-A0A1S2XQ25-F1-model_v4.cif	75.736	97.357
Q9U966	178-250,263-337,421-490,493-563,634-701,707-781,788-860,863-932	AF-Q9U966-F1-model_v4.cif	79.894	88.545
Q9SYR5	23-64,69-111	AF-Q9SYR5-F1-model_v4.cif	86.84	94.996
D0VWV9	6-96,101-149	AF-D0VWV9-F1-model_v4.cif	88.988	91.103
V7BTW4	30-75	AF-V7BTW4-F1-model_v4.cif	84.292	96.237
Q40128	28-73	AF-Q40128-F1-model_v4.cif	80.007	94.155
A0A4V8H030	3-48	AF-A0A4V8H030-F1-model_v4.cif	97.2	97.784
C4P582	59-127	AF-C4P582-F1-model_v4.cif	78.593	96.884
A0A509GUM8	1-30	AF-A0A509GUM8-F1-model_v4.cif	84.613	84.613
Q90248	28-84	AF-Q90248-F1-model_v4.cif	83.551	90.404
Q25659	1-226,297-332,339-378	AF-Q25659-F1-model_v4.cif	73.905	77.842
