Gene_name	Uniprot_ID	Protein_length	region_1	region_2	PDB
KDR	P35968	1356.0	790-833	834-1162	 1vr2.A 1y6a.A 1y6b.A 1ywn.A 2oh4.A 2p2h.A 2qu5.A 2rl5.A 2x1x.B 2xir.A 3be2.A 3c7q.A 3cjf.A 3cjg.A 3ewh.A 3kvq.A 3s35.C 3s36.C 3s37.C 3u6j.A 3v2a.A 3v6b.B 3vhe.A 3vhk.A 3vid.A 3vnt.A 3vo3.A 3wzd.A 3wze.A 4ag8.A 4agc.A 4agd.A 4asd.A 4ase.A 6gqo.A 6gqp.A 6gqq.A 6xvj.A 6xvk.A
NTRK1	P04629	796.0	287-384	510-781	 1he7.A 1shc.B 4crp.A 4gt5.A 4pmm.A 4pmp.A 4pms.A 4pmt.A 4yne.A 4yps.A 5h3q.A 5i8a.A 5jfs.A 5jfv.A 5jfw.A 5jfx.A 5kmi.A 5kmj.A 5kmk.A 5kml.A 5kmm.A 5kmn.A 5kmo.A 5kvt.A 5wr7.A 6d1y.A 6d1z.A 6d20.A 6d22.A 6dkb.A 6dkg.A 6dki.A 6j5l.A 6npt.A 6nsp.A 6nss.A 6pl1.A 6pl2.A 6pl3.A 6pl4.A 6pma.A 6pmb.A 6pmc.A 7vkm.A 7vkn.A 7vko.A 7xaf.A
TMEM173	Q86WV6	379.0	340-379	153-339	 4ef5.A 4f5e.A 4f5w.A 4f9e.A 4ksy.A 4qxo.A 5bqx.A 6cff.A 6cy7.A 6dnk.A 6dxg.A 6rm0.A 6s27.A 6ukm.A 6uku.A 6uky.A 6ul0.A 6y99.A 6ydb.A 6ydz.A 6yea.A 6ywb.A 6z0z.A 6z15.A 7a90.A 7kvx.A 7kvz.A 7kw1.A 7mhc.A 7ob3.A 7r4h.E 7sho.A 7ssm.A 7x9q.A
FYN	P06241	537.0	149-246,247-270	82-143,525-537	 1a0n.B 1aot.A 1aou.A 1avz.C 1azg.B 1fyn.A 1m27.C 1nyf.A 1nyg.A 1zbj.A 2dq7.A 2mqi.A 2mrj.A 3h0f.A 3h0h.A 4eik.A 4u1p.A 5zau.A 6edf.A 6ipy.A 6ipz.A 7a2o.A 7a2p.A 7a2q.A 7a2r.A 7a2s.A 7a2t.A 7a2u.A 7a2v.A 7a2w.A 7a2x.A 7a2y.A 7a2z.A
FGFR2	P21802	821.0	125-144	154-247,481-770	 1djs.A 1gjo.A 1nun.B 1oec.A 1wvz.A 3caf.A 3cly.A 3ojm.B 4j23.A 5eg3.A
NOS3	P29474	1203.0	580-635	520-703	 2ll7.B 2mg5.B 2n8j.B
TBP	P20226	339.0	1-55	165-241,255-332	 1cdw.C 1jfi.E 1nvp.C 1tgh.C 4roc.B 4rod.B 4roe.B 5fur.A 5iy6.P 5iy7.P 5iy8.P 5iy9.P 5iya.P 5iyb.P 5iyc.P 5iyd.P 6mzd.K 6mzl.T 6mzm.L 6o9l.P 7edx.L 7eg7.L 7eg8.L 7eg9.L 7ega.L 7egb.V 7egc.V 7egd.L 7ege.K 7egf.A 7egi.L 7egj.L 7ena.E 7enc.C 7lbm.T 7nvr.Y 7nvs.O 7nvt.O 7nvu.O 7nvy.W 7nvz.W 7nw0.W
PCSK9	Q8NBP7	692.0	31-60	155-461	 5vla.A 5vlh.A 5vlk.A 5vll.A 5vlp.A 6e4y.C 6e4z.C 6mv5.C 6olz.D 6om0.E 6om7.E 6u2f.A 6u3i.A 7anq.A
INSR	P06213	1382.0	980-1017	1023-1298	 1gag.A 1i44.A 1ir3.A 1irk.A 1p14.A 2auh.A 2mfr.A 2z8c.A 3bu3.A 3bu5.A 3bu6.A 3ekk.A 3ekn.A 4xlv.A 4xss.B 4xst.A 4zxb.E 5e1s.A 5hhw.A 5j3h.D 5u1m.B 7s0q.B 7s8v.B
NEIL1	Q96FI4	390.0	244-245	220-280	 1tdh.A 4nrv.A 5itq.A
PDE4B	Q07343	736.0	166-281	330-649	 1xos.A 2chm.A 2qyl.A 3d3p.A 3frg.A 3gwt.A 3o0j.A 3o56.A 3o57.A 4kp6.A 4myq.A 4nw7.A 5k6j.A 5laq.A
PAK4	O96013	591.0	1-130	321-572	 2cdz.A 2j0i.A 2q0n.A 2x4z.A 4app.A 4fih.A 4fij.A 4jdh.A 4jdi.A 4jdj.A 4jdk.A 4njd.A 4o0v.A 4o0x.A 4o0y.A 4xbr.A 4xbu.A 5bms.A 5i0b.A 5upl.A 5ved.A 5vee.A 5vef.A 5xva.A 5xvf.A 5xvg.A 5zjw.A 6wlx.A 6wly.A 7cmb.A 7cp3.A 7cp4.A 8ahg.A 8ahh.A 8ahi.A
PDE5A	O76074	875.0	403-539	156-331	 1rkp.A 1t9r.A 1tbf.A 1udt.A 1uho.A 1xoz.A 1xp0.A 2chm.A 2h40.A 2h44.A 3bjc.A 3hc8.A 3hdz.A 3shy.A 3shz.A 3tge.A 3tgg.A 4g2w.A 4g2y.A 4i9z.A 4ia0.A 4md6.A 4oew.A 4oex.A 5jo3.A 5zz2.A 6acb.A 6iwi.A 6l6e.A 7faq.A 7far.A
ERBB2	P04626	1255.0	676-684	720-987	 1mfg.B 1mfl.B 1mw4.B 1n8z.C 2a91.A 2ks1.A 2l4k.B 3be1.A 3mzw.A 3n85.A 3wsq.A 4gfu.B 4hrl.A 5k33.B 5kwg.A 5my6.A 5o4g.A 6att.A 6bgt.A 6j71.A 6lbx.B 6oge.A 7mn5.C 7mn6.B 7mn8.C 7pcd.A
HSPA8	P11142	646.0	263-287	225-262	 3esk.B 3fzf.A 3fzh.A 3fzk.A 3fzl.A 3fzm.A 3ldq.A 3m3z.A 4h5t.A 4h5v.A 4hwi.A 5aqh.A 5aqk.A 5aqt.A 5aqu.A 5aqv.A
DLG4	P31016	724.0	428-498	534-709	 1be9.A 1bfe.A 1iu0.A 1iu2.A 1jxm.A 1kjw.A 1qlc.A 1rgr.A 1tp3.A 1tp5.A 1tq3.A 2ka9.A 2mho.A 3wp0.A 3wp1.A 5b64.A 5gnv.A 5hdy.A 5heb.A 5hed.A 5het.A 5hey.A 5hf1.A 5hf4.A 5hfb.A 5hfc.A 5hfd.A 5hfe.A 5hff.A 5w72.A 5ypr.A 7cqf.A
HCK	P08631	526.0	142-239,240-259	76-136,514-425	 1qcf.A 2hk5.A 2oi3.A 2oj2.A 3hck.A 3nhn.A 4hck.A 4orz.A 5h09.A 5h0b.A 5h0e.A 5h0g.A 5h0h.A 5hck.A
SIRT2	Q8IXJ6	389.0	320-352	65-319	 4rmg.A 4rmh.A 4rmi.A 4x3o.A 4x3p.A 5dy4.A 5dy5.A 5y5n.A 5yql.A 5yqm.A 5yqn.A 5yqo.A 6l65.A 6l66.A 6l71.A 6l72.A 7bos.A 7bot.A
EP300	Q09472	2414.0	1520-1581	1287-1663	 1l3e.B 1p4q.B 2k8f.A 2mh0.B 2mzd.A 3biy.A 3io2.A 3p57.M 3t92.A 4pzr.A 4pzs.A 4pzt.A 5bt3.A 5kj2.A 5lkt.A 5lku.A 5lkx.A 5lkz.A 5xzc.A 6ds6.A 6fgn.A 6fgs.A 6k4n.A 6v8b.A 6v8k.A 6v8n.A 6v90.A 7w9v.K
MDM4	O15151	490.0	190-210	26-106	 2cr8.A 2mwy.A 2n06.A 2n0u.A 2n0w.A 2n14.A 3fdo.A 3fe7.A 3fea.A 3jzo.A 3jzp.A 3lbj.A 3mqr.B 6q9u.A 7c3q.A 7c3y.A 7c44.A 7el4.A 7kjn.A 7mla.A
VCL	P18206	1134.0	878-890	896-1066	 1rkc.A 1syq.A 1ydi.A 2gww.A 2hsq.A 2ibf.A 3jbk.C 3myi.A 3tj5.A 3tj6.A 3vf0.A 4dj9.A 4ehp.A 4ln2.B 4lnp.B 5l0h.A 5l0i.A 5o2q.A 6fuy.A 7ktt.A 7ktu.A 7ktv.A 7ktw.A
ITK	Q08881	620.0	4-111	363-615	 2e6i.A 2lmj.A 2yuq.A 3mj1.A 3mj2.A 3t9t.A 4hct.A 4hcu.A 4hcv.A 4m0y.A 4m0z.A 4m12.A 4m13.A 4m14.A 4m15.A 4pqn.A 4rfm.A
PTK2	Q05397	1052.0	35-355	422-680	 1k04.A 1mp8.A 3bz3.A 4ebv.A 4ebw.A 4i4e.A 4i4f.A 4k9y.A 4q9s.A 6i8z.A 6pw8.A 6yoj.A 7pi4.D
AKT1	P31749	480.0	5-108	150-408	 1h10.A 1unp.A 1unq.A 1unr.A 2uvm.A 2uzr.A 2uzs.A 3cqu.A 3cqw.A 3mv5.A 3mvh.A 3o96.A 3qkk.A 3qkl.A 3qkm.A 4ejn.A 4ekl.A 4gv1.A 5kcv.A 6ccy.A 6hhf.A 6hhg.A 6hhh.A 6hhi.A 6hhj.A 6s9w.A 6s9x.A 7apj.A 7nh4.A 7nh5.A
PTK2	Q00944	1053.0	35-362	422-680	 1ktm.A 1pv3.A 1qvx.A 2j0j.A 2j0l.A 2jkk.A 2jkm.A 2jko.A 2jkq.A 2l6f.A 2l6g.A 2l6h.A 4brx.A 4c7t.A 4d55.A 6gcr.A 6gcx.A
RET	P07949	1114.0	900-909	724-899,910-1016	 2ivt.A 2ivu.A 2ivv.A 2x2k.A 2x2l.A 2x2u.A 4cki.A 4ckj.A 5amn.A 5fm2.A 5fm3.A 6fek.A 6i83.A 6ne7.A 6nja.A 6vhg.A 7nzn.A
MELK	Q14680	651.0	602-651	11-263	 4bky.A 4bkz.A 4bl1.A 4ixp.A 4umq.A 4umr.A 4umt.A 4umu.A 5ih8.A 5ih9.A 5iha.A 5ihc.A 5k00.A 5m5a.A 5maf.A 5mag.A 5mah.A 5mai.A 5tvt.A 5twl.A 5twz.A 6vxr.A
CSNK1D	P48730	415.0	317-342	9-277	 5ih4.A 5ih5.A 5ih6.A 6rcg.A
CBL	P22681	906.0	353-380	381-435	 1fbv.A 1yvh.A 2cbl.A 2juj.A 2k4d.A 3bum.B 3bun.B 3ob1.B 3ob2.B 4a49.A 4a4b.A 4a4c.A 4gpl.B 5hkx.A 5hky.A 5hkz.A 5hl0.A 6o02.A
FGFR4	P22455	802.0	120-145	150-240,467-755	 4qq5.A 4qqc.A 4qqj.A 4qqt.A 4qrc.A 4r6v.A 4tye.A 4tyg.A 4tyi.A 4tyj.A 4uxq.A 4xcu.A 5jkg.A 5xff.A 5xfj.A 6iuo.A 6iup.A 6jpe.A 6jpj.A 6nvg.A 6nvh.A 6nvi.A 6nvj.A 6nvk.A 6v9c.A 7dtz.A 7f3m.A 7wct.A 7wcw.A 7wcx.A
MAPRE1	Q15691	268.0	249-268	14-116	 1pa7.A 1txq.B 1ueg.A 1yib.A 2hkq.A 2hl3.C 3tq7.A 5jvs.A 5jx1.A 5wlq.A
PAK1	Q13153	545.0	83-149	270-521	 1yhv.A 1yhw.A 1zsg.B 2hy8.A 2qme.B 3fxz.A 3fy0.A 3q52.A 3q53.A 4daw.A 4eqc.A 5dfp.A
IGF1R	P08069	1367.0	930-960	999-1274	 1igr.A 1k3a.A 2oj9.A 3d94.A 3i81.A 3nw5.A 3nw6.A 3nw7.A 3o23.A 4d2r.A 4xss.C 5fxq.A 5fxr.A 5fxs.A 5u8q.A 5u8r.A 7ph8.A 7s0q.A 7s8v.A
RAF1	P04049	648.0	51-186	349-609	 1c1y.B 1faq.A 1far.A 1gua.B 1rfa.A 3iqj.B 3iqu.B 3iqv.B 3kuc.B 3kud.B 3o8i.B 4fj3.C 4g0n.B 4g3x.B 4iea.B 4ihl.C 6ntc.B 6ntd.B 6pts.D 6ptw.D 6vjj.B 6xgu.B 6xgv.B 6xha.B 6xhb.B 6xi7.B 7jhp.B 7z37.C 7z38.C
SMYD3	Q9H7B4	428.0	280-428	4-240	 3mek.A 3oxg.A 3oxl.A 3pdn.A 3qwp.A 5ccl.A 5ccm.A 5ex0.A 5ex3.A 5hi7.A 5v37.A 5xxd.A 5xxg.A 5xxj.A 5yjo.A 6ijl.A 6o9o.A 6p6g.A 6p6k.A 6p7z.A 6paf.A 6yuh.A 6zrb.A 7bj1.A 7o2a.A 7o2b.A 7o2c.A
KIT	P10721	976.0	544-583	589-937	 1t45.A 1t46.A 2ec8.A 2iuh.B 2vif.B 3g0e.A 4hvs.A 4k94.C 4k9e.C 4u0i.A 6hh1.A 6itv.A 6kla.A 6mob.A 7khg.A
DDX58	O95786	925.0	794-925	1-87,92-172	 2lwd.A 2lwe.A 2rmj.A 2ykg.A 3zd6.A 3zd7.A 4ay2.A 4bpb.A 5e3h.A 6gpg.C 7jl1.A
MAPKAPK2	P49137	400.0	328-364	64-325	 1ny3.A 2jbo.A 2oza.A 2p3g.A 3fpm.A 3fyj.A 3fyk.A 3ka0.A 3kga.A 3m2w.A 3m42.A 3r2y.A 3r30.A 4tyh.A 7nry.A
CCNT1	O60563	726.0	1-249,402-701	250-262	 3blh.B 3blq.B 3blr.B 3lq5.B 3mi9.B 3mia.B 3my1.B 3tn8.B 3tnh.B 3tni.B 4bcf.B 4bcg.B 4bch.B 4bci.B 4bcj.B 4ec8.B 4ec9.B 5l1z.B 6cyt.B 6gzh.B 6w9e.B 6z45.B 7nwk.B
SETD2	Q9BYW2	2564.0	2353-2382	2383-2430	 2a7o.A 2mdc.A 2mdi.A 2mdj.A 4fmu.A 4h12.A 5jjy.A 5jlb.A 5jle.A 5lss.A 5lsx.A 5lsy.A 5lsz.A 5lt7.A 5lt8.A 5v21.A 5v22.A 6j9j.A 6vdb.A 7ea8.A 7lzb.A 7lzd.A 7lzf.A 7ty2.A 7ty3.A
MAPK8IP1	Q9UQF2	711.0	495-544	0-0	 3oxi.B 3ptg.B 3vud.B 3vug.B 3vuh.B 3vui.B 3vuk.B 3vul.B 3vum.B 4e73.B 4g1w.B 4h39.B 4hys.B 4hyu.B 4izy.B 6fuz.A
NSD3	Q9BZ95	1437.0	1145-1258	1258-1273	 2daq.A 2ncz.B 2nd1.B 4gne.A 4gnf.A 4rxj.A 5upd.A 6cen.A 6g24.A 6g25.A 6g27.A 6g29.A 6g2b.A 6g2c.A 6g2e.A 6g2f.A 6g2o.A 7crp.K 7crr.K 7jyn.B
ABL1	P00520	1123.0	1-60,61-121,127-217,218-241,383-400	242-493	 1abq.A 1opk.A 2hzn.A 2z60.A 3oxz.A
NOTCH1	P46531	2555.0	1571-1734	0-0	 1pb5.A 1toz.A 2f8x.D 2vj3.A 4cud.A 4cue.A 4cuf.A 4d0e.A 4d0f.A 5fm9.A 5kzo.A 5l0r.B 5ub5.B 6idf.E
FLNB	O75369	2602.0	2091-2185	2188-2280	 2di8.A 2di9.A 2dia.A 2dib.A 2dic.A 2dj4.A 2dlg.A 2dmb.A 2dmc.A 2e9i.A 2e9j.A 2ee6.A 2ee9.A 2eea.A 2eeb.A 2eec.A 2eed.A 2wa5.A 2wa6.A 2wa7.A
CAMKK2	Q96RR4	588.0	472-477	165-446	 2zv2.A 5uy6.A 5uyj.A 5vt1.A 5yv8.A 5yv9.A 5yva.A 5yvb.A 5yvc.A 6bku.A 6ble.A 6bql.A 6bqp.A 6bqq.A 6y3o.B 6y8a.B
BIRC2	Q13490	618.0	453-543	571-606	 1qbh.A 2l9m.A 3d9u.A 3t6p.A 3uw4.A 4kmn.A 6hpr.A 6w74.A
FLNA	P21333	2647.0	2142-2235	2236-2325	 2aav.A 2jf1.A 2k3t.A 2k7p.A 2k7q.A 2mtp.A 4m9p.A 5xr1.A 6ew1.A
CSF1R	P07333	972.0	542-574	582-910	 2i0v.A 2i0y.A 2i1m.A 2ogv.A 3bea.A 3dpk.A 3krj.A 3krl.A 3lcd.A 3lco.A 4dkd.C 4hw7.A 4liq.A 4r7h.A 4r7i.A 4wrm.A 6ig8.A 6n33.A 6t2w.A 6wxj.A 7mfc.A 7tnh.A
PRKAR1A	P00514	380.0	1-101	137-380	 1ne4.A 1ne6.A 1rgs.A 2qcs.B 3fhi.B 3iia.A 3im3.A 3plq.A 3pvb.B 4jv4.A 4x6r.B
MLKL	Q8NB16	471.0	133-150	1-124	 2msv.A 4m67.A 4mwi.A 5ko1.A 6bwk.A 6d74.A 6lk5.A 6lk6.A 6ux8.A 6zle.A 6zpr.A 7jw7.A 7mon.A 7nm2.A 7nm4.A 7nm5.A
ETS1	P14921	441.0	280-330	335-415	 2stt.C 2stw.C 3wu1.B 4l0y.B 4l0z.B 4lg0.B 5zmc.C
PRKAA1	P54645	559.0	313-335	27-279	 2v8q.A 2v92.A 2v9j.A 2y8l.A 2y8q.A 2ya3.A 4eai.A 4eaj.A 4eak.A 4eal.A 4f2l.A 4qfg.A 4qfr.A 4qfs.A 5kq5.A 5t5t.A 5ufu.A 6e4t.A 6e4u.A 6e4w.A
SLC9A3R1	O14745	358.0	242-328	14-94,154-234	 1g9o.A 1gq4.A 1gq5.A 1i92.A 1sgh.B 2jxo.A 2kjd.A 2krg.A 2m0t.A 2m0u.A 2m0v.A 2ozf.A 4jl7.A 4lmm.A 4mpa.A 4n6x.A 4pqw.A
RPS6KB1	P23443	525.0	424-525	91-352	 3a61.A 3a62.A 3we4.A 3wf5.A 3wf6.A 3wf7.A 3wf8.A 3wf9.A 4l3j.A 4l3l.A 4l42.A 4l43.A 4l44.A 4l45.A 4l46.A 4rlp.A 5wbh.F 5wbk.B
GGA1	Q9UJY5	639.0	358-362	17-147	 1j2j.B 1jwf.A 1naf.A 1nwm.A 1o3x.A 1oxz.A 1x79.A
PGR	P06401	933.0	375-397	1-164,456-564	 2ovh.A 2ovm.A 4oar.A
SARM1	Q6SZW1	724.0	560-703,382-385,375-399,281-331	244-269,134-173,162-197,402-476,412-484	 6o1b.A
PRKG1	Q13976	671.0	50-75	360-619	 4ku7.A 4qx5.A 4qxk.A 5jax.A 5jd7.A 5l0n.A 6c0t.A 7ssb.A
PDCD6IP	Q8WUM4	868.0	709-745	3-392	 2oev.A 2oew.A 2ojq.A 2r02.A 2r03.A 2r05.A 2xs1.A 2xs8.A 3c3o.A 3c3q.A 3c3r.A 3e1r.C 5v3r.A 5wa1.A 6kp3.A
RPS6KA1	Q15418	735.0	687-706	62-321,418-675	 2z7q.A 2z7r.A 2z7s.A 3tei.B 5csf.C 5csi.C 5csj.C 5csn.C 5n7d.C 5n7f.C 5n7g.C 5v61.B 5v62.B 6twy.C 7p74.B
PPP5C	P53041	499.0	28-129,487-499	184-486	 1a17.A 2bug.A 4zx2.A 5hpe.A 5wg8.A
DNMT3A	Q9Y6K1	912.0	476-626	634-912	 3a1a.A 3a1b.A 3svm.B 4qbs.A 4u7p.A
	Q9EZJ8	438.0	1-73	249-438	 1ku3.A 1l9z.H 1rio.C 3lev.A 3ugo.A 3ugp.A 5tjg.F
IRF3	Q14653	427.0	380-427	98-240	 2o61.C 5jel.A 5jeo.B 6siv.A 6sja.A
PARP2	Q9UGN5	583.0	231-348	356-538	 4zzy.A 5d5k.B 6f1k.A 6tx3.A 7aeo.A
PPP3CA	Q08209	521.0	467-491	1-348	 1aui.A 1mf8.A 2jog.A 2jzi.B 4f0z.A 4q5u.B 5sve.A 6nuc.A 6nuf.A 6nuu.A 6uuq.A
MAP4K1	Q92918	833.0	474-687	17-274	 6cqf.A 7r9l.A
AKT2	P31751	481.0	5-108,410-481	152-409	 1gzk.A 1gzn.A 1gzo.A 1mrv.A 1mry.A 1o6k.A 1o6l.A 1p6s.A 2jdo.A 2jdr.A 2uw9.A 2x39.A 2xh5.A
TP63	Q9H3D4	680.0	610-680	394-443	 1rg6.A 2rmn.A 2y9t.A 2y9u.A 3zy1.A 6fgn.A 6ru6.C 7z72.A 7z7e.A
TEK	Q02763	1124.0	770-807,832-836,982-1008,1110-1124	924-1096	 2gy5.A 2gy7.B 2oo8.A 2osc.A 2wqb.A 3bea.A 3l8p.A 4k0v.A 4x3j.A
MINDY1	Q8N5J2	469.0	130-138	388-426	 5jkn.A 5jqs.A 5mn9.C 6tuv.A 6txb.A 6y6r.A 6yjg.A 6z90.A
VCL	P12003	1135.0	878-890	891-1135	 1st6.A 1t01.A 1u6h.A 1xwj.A 1zvz.A 1zw2.A 1zw3.A 2gdc.A 3jbi.C 3zdl.A 4e17.A 4e18.A 6fq4.A 6nr7.A
NSF	P18708	744.0	203-222	0-0	 1d2n.A 1nsf.A 1qcs.A
ZAP70	P43403	619.0	126-155,256-337	338-600	 1fbv.B 1m61.A 1u59.A 2cbl.B 2oq1.A 2ozo.A 4a4b.B 4a4c.B 4k2r.A 4xz0.A 4xz1.A
SDCBP	O00560	298.0	1-113,276-298	114-273	 1nte.A 1obx.A 1r6j.A
NFKB1	P19838	968.0	434-968	42-367	 1mdi.B 1mdj.B 1mdk.B 1svc.B 2dbf.A 2o61.D 7leq.B 7let.B 7lfc.B 7rg4.B 7rg5.B
DNMT1	P26358	1616.0	647-714	1140-1602	 3pta.A 3swr.A 4yoc.A 4z96.B 4z97.B 5wvo.C 5ydr.B 6l1f.A 6x9i.A 6x9j.A 6x9k.A 7sfc.A 7sfd.A 7sfe.A 7sff.A 7sfg.A
BID	P55957	195.0	21-51	60-195	 1zy3.B 2bid.A 2kbw.B 2m5b.B 2m5i.A 4bd2.B 4qve.B 4zeq.B 4zig.B 4zii.B 5ajj.B 5c3f.B 7m5a.B
KPNA4	O00629	521.0	2-57	137-229,306-394	 4uae.A 5xzx.A 6bvv.A 6bvz.A 6bw9.A 6bwa.A 6bwb.A 7jjl.A 7lfc.A 7rfy.A 7rg5.A
	Q9X1X0	385.0	359-385	0-0	 3thn.A 3tho.B
OTULIN	Q96BN8	352.0	330-340	129-341	 3znv.A 3znx.A 3znz.A 4ksj.A 5oe7.A 6i9c.A
PTPN6	P29350	595.0	1-105	244-515	 1fpr.A 1gwz.A 1x6c.A 2b3o.A 2rmx.A 2yu7.A 3ps5.A 4gry.A 4grz.A 4hjp.A 6sm5.A
NEDD4	P46934	1319.0	1-140	984-1318	 2kpz.A 2kq0.A 2m3o.A 2xbf.A 4bbn.A 4be8.A 4n7h.A 5aht.A 5c91.A
DDX3X	O00571	662.0	132-181	211-575	 2i4i.A 4o2c.C 4pxa.A 5e7j.A 5e7m.A 6cz5.A
DCLK1	O15075	740.0	647-740	390-646	 1mfw.A 1mg4.A 1uf0.A
TRAF6	Q9Y4K3	522.0	346-522	1-273	 1lb4.A 1lb5.A 1lb6.A 2eci.A 2jmd.A 3hct.A 5zuj.A 6a33.A
TNK2	Q07912	1038.0	803-880	126-385	 1cf4.B 4id7.A
PRKAA2	P54646	552.0	291-376	16-268	 2h6d.A 2ltu.A 2yza.A 3aqv.A 6b2e.A 6bx6.A
ITCH	Q96J02	903.0	5-99	569-903	 2dmv.A 2kyk.A 2nq3.A 2p4r.B 2ysf.A 3tug.A 5c7m.A 5cq2.A
FLT1	P17948	1338.0	1159-1338	827-1158	 1qsv.A 1qsz.A 3hng.A 4ckv.A 5ex3.B
ACTN2	P35609	894.0	259-307	753-824	 1h8b.A 1quu.A 4d1e.A 6swt.A 7a8t.A 7a8u.A 7b55.B 7b56.B 7b57.B
BAIAP2	Q9UQB8	552.0	1-178	238-292	 2ykt.A 3rnj.A 4js0.B 6bd2.C
CRK	Q64010	304.0	132-192	235-296	 1b07.A 1cka.A 1ckb.A 1ju5.B 1m30.A 1m3a.A 1m3b.A 1m3c.A 2ggr.A 5jn0.A 5l23.A
SEC22B	O08547	215.0	1-130	134-194	 5vne.C 5vnf.C 5vng.C 5vnh.C 5vni.C 5vnj.C 5vnk.C 5vnl.C 5vnm.C 5vnn.C 5vno.C
HMGB1	P09429	215.0	186-215	76-95	 2ly4.A 2rtu.A 2yrq.A 6cg0.K 6cij.G 6cik.E 6cil.E 6cim.E 6oeo.I
PRKAA1	Q13131	559.0	313-392	27-279	 4rer.A 4rew.A 6c9f.A 6c9g.A 6c9h.A 6c9j.A 7jhg.A 7jhh.A 7jij.B 7m74.A
CYTH2	Q99418	400.0	387-395	72-201	 1pbv.A 1r8m.A 1r8s.B 1s9d.B 4jmi.A 4jmo.A 4jwl.A 4jxh.A 4l5m.A 4z21.A
PREX1	Q8TCU6	1659.0	409-499	49-240,271-392	 3qik.A 4yon.A 5d27.A 5fi1.A 6pcv.A 6vsk.A 7rx9.A 7syf.A
DNMT1	P13864	1620.0	649-695	1142-1601	 3av4.A 3av5.A 3av6.A 3pt9.A 5gut.A 5guv.A 5wy1.A
KPNA2	P52292	529.0	2-58	142-238,315-403	 1efx.C 1qgk.B 1qgr.B 3fex.C 3fey.C 4wv6.A 5h43.A 7n8j.A 7n9h.A
MYLK	P11799	1906.0	1716-1728	1453-1708	 1qtx.B 1vrk.B 2k0f.B 2o5g.B 3ek7.A 3ek8.A 3ekh.A 3ekj.A 3evr.A 3evu.A 3evv.A 3o77.A 3sg2.A 3sg3.A 3sg4.A 3sg5.A 3sg6.A 3sg7.A 3wlc.A 3wld.A 4oy4.A
STK3	Q13188	491.0	279-435	27-278	 6ao5.A
RPS6KA3	P51812	740.0	694-711	68-327,422-679	 4d9t.A 4d9u.A 4jg6.A 4jg7.A 4jg8.A 4nus.A 4nw5.A 4nw6.A 5d9l.A
ETV6	P41212	452.0	410-452	339-409	 2dao.A 5l0p.A 7n1o.A 7tw7.A 7tw8.A 7tw9.A
ERBB4	Q15303	1308.0	676-684	718-935	 3u2p.A
EIF4G1	Q04637	1599.0	607-618	682-1085	 5ehc.B 5ei3.B 5eir.B 5zk5.B 6zmw.E
CRK	P46108	304.0	239-294	132-192	 1ju5.A 2dvj.A 2eyv.A 2eyw.A 2eyx.A 2eyy.A 2eyz.A 2ms4.B 5ul6.A 6atv.A
ARIH1	Q9Y4X5	557.0	408-557	339-392	 1wd2.A 2m9y.A 4kc9.A 5tte.A 7b5l.B 7b5m.B 7b5n.B 7b5s.B
DIAPH1	O08808	1255.0	131-378	1180-1199	 2f31.B 2v8f.C
ETS1	P27577	440.0	304-310,416-441	335-415	 1mdm.D 1r36.A 2jv3.A 2kmd.A
	P0AES4	875.0	838-875	1-450	 1ab4.A 3nuh.A
	P53686	357.0	300-320	1-280	 1q14.A 1q1a.A 1szc.A 1szd.A 2od2.A 2od7.A 2od9.A 2qqf.A 2qqg.A 7f4e.A 7f51.A
MAVS	Q7Z434	540.0	141-200,251-300	401-450	 2ms8.A 2vgq.A 3j6c.A 3rc5.B
PRKCI	P41743	596.0	123-140	254-522	 1vd2.A 1wmh.A 1zrz.A 5li1.A 5li9.A
PTEN	P60484	403.0	350-400	14-185,258-268,321-324	 1d5r.A 2kyl.B 4o1v.B 7jtx.A 7juk.A 7jul.A 7jvx.A
VAV1	P15498	845.0	131-178	194-373	 2crh.A 2lct.A 2mc1.A 2ror.A 6new.A 6nf1.A 6nfa.A
PDGFRA	P16234	1089.0	550-587	593-954	 5grn.A 5k5x.A 6a32.A 6joi.A 6joj.A 6jok.A 6jol.A 7lbf.D 7ram.D
NFKB2	Q00653	900.0	455-900	38-343	 2d96.A 3do7.E 4ot9.A 5zmc.D
NCK2	O43639	380.0	60-109	111-170	 1u5s.A 1wx6.A 1z3k.A 2b86.A 2cia.A 2frw.A 2fry.A 2jxb.A
NCF1	P14598	390.0	226-390	4-125	 1gd5.A 1k4u.B 1kq6.A 1ng2.A 1uec.A 1wlp.B 7yxw.B
DGCR8	Q8WYQ5	773.0	276-498	511-578,620-685	 1x47.A 2yt4.A 3le4.A 7cnc.B
DAPK2	Q9UIK4	370.0	292-301	23-285	 1wrz.B 1zuz.B
ARHGEF11	O15085	1522.0	672-730	734-1079	 1htj.A 2dls.A 5e6p.B
ARHGAP1	Q07960	439.0	1-48,169-197	244-431	 1grn.B 1ow3.A 1rgp.A 1tx4.A 2ngr.B 6r3v.A
CLIP1	P30622	1438.0	1417-1434	232-274	 2cp5.A 2cp6.A 2e3h.A 2e3i.A 2e4h.A 2qk0.A
CYTH3	O08967	399.0	251-265,383-395	77-206	 1fgy.A 1fgz.A 1u2b.A 6bbp.A 6bbq.A
