uniprot	pdb	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	conformation	state	organism	date	notes
P28482	5nhv	173-196	25-172,197-313	2.159	100	99.62264151	1.195	6.523	Closed	Autoinhibited	Homo sapiens	['2017-03-22']	
P28482	5v60	173-196	25-172,197-313	2.003	91.66666667	100	1.148	6.093	Closed	Autoinhibited	Homo sapiens	['2017-03-15']	
P28482	5v61	173-196	25-172,197-313	2.604	91.66666667	100	1.208	6.02	Closed	Autoinhibited	Homo sapiens	['2017-03-15']	
P28482	5v62	173-196	25-172,197-313	2.103	91.66666667	100	1.28	6.052	Closed	Autoinhibited	Homo sapiens	['2017-03-15']	
P28482	5wp1	173-196	25-172,197-313	2.434	100	98.86792453	1.258	6.888	Closed	Autoinhibited	Homo sapiens	['2017-08-03']	
P28482	6d5y	173-196	25-172,197-313	1.923	66.66666667	99.62264151	1.409	4.035	Closed	Autoinhibited	Homo sapiens	['2018-04-19']	
P28482	6dmg	173-196	25-172,197-313	2.186	100	99.62264151	1.208	6.475	Closed	Autoinhibited	Homo sapiens	['2018-06-05']	
P28482	6g54	173-196	25-172,197-313	2.21	100	100	1.286	6.304	Closed	Autoinhibited	Homo sapiens	['2018-03-29']	
P28482	6g8x	173-196	25-172,197-313	2.302	100	99.62264151	1.309	7.127	Closed	Autoinhibited	Homo sapiens	['2018-04-10']	
P28482	6g91	173-196	25-172,197-313	2.138	100	99.62264151	1.153	6.656	Closed	Autoinhibited	Homo sapiens	['2018-04-10']	
P28482	6g92	173-196	25-172,197-313	2.188	100	99.62264151	1.19	6.682	Closed	Autoinhibited	Homo sapiens	['2018-04-10']	
P28482	6g93	173-196	25-172,197-313	2.111	100	99.62264151	1.238	6.479	Closed	Autoinhibited	Homo sapiens	['2018-04-10']	
P28482	6g97	173-196	25-172,197-313	2.152	100	99.62264151	1.308	6.268	Closed	Autoinhibited	Homo sapiens	['2018-04-10']	
P28482	6g9a	173-196	25-172,197-313	2.144	100	99.62264151	1.309	6.421	Closed	Autoinhibited	Homo sapiens	['2018-04-10']	
P28482	6g9d	173-196	25-172,197-313	2.224	100	99.62264151	1.288	6.632	Closed	Autoinhibited	Homo sapiens	['2018-04-10']	
P28482	6g9h	173-196	25-172,197-313	2.22	100	99.62264151	1.312	6.557	Closed	Autoinhibited	Homo sapiens	['2018-04-10']	
P28482	6g9j	173-196	25-172,197-313	2.292	100	98.86792453	1.335	6.635	Closed	Autoinhibited	Homo sapiens	['2018-04-10']	
P28482	6g9k	173-196	25-172,197-313	2.242	100	99.24528302	1.341	6.657	Closed	Autoinhibited	Homo sapiens	['2018-04-11']	
P28482	6g9m	173-196	25-172,197-313	2.218	100	99.62264151	1.342	6.619	Closed	Autoinhibited	Homo sapiens	['2018-04-11']	
P28482	6g9n	173-196	25-172,197-313	2.373	100	99.62264151	1.35	7.161	Closed	Autoinhibited	Homo sapiens	['2018-04-11']	
P28482	6gdm	173-196	25-172,197-313	2.3	100	98.49056604	1.304	6.594	Closed	Autoinhibited	Homo sapiens	['2018-04-24']	
P28482	6gdq	173-196	25-172,197-313	2.107	100	99.62264151	1.212	6.524	Closed	Autoinhibited	Homo sapiens	['2018-04-24']	
P28482	6ge0	173-196	25-172,197-313	2.251	100	99.24528302	1.292	6.597	Closed	Autoinhibited	Homo sapiens	['2018-04-25']	
P28482	6gjb	173-196	25-172,197-313	2.2	100	99.62264151	1.198	6.652	Closed	Autoinhibited	Homo sapiens	['2018-05-16']	
P28482	6gjd	173-196	25-172,197-313	2.159	100	99.62264151	1.215	6.629	Closed	Autoinhibited	Homo sapiens	['2018-05-16']	
P28482	6opg	173-196	25-172,197-313	2.188	91.66666667	100	1.286	6.092	Closed	Autoinhibited	Homo sapiens	['2019-04-25']	
P28482	6oph	173-196	25-172,197-313	2.135	91.66666667	100	1.232	6.184	Closed	Autoinhibited	Homo sapiens	['2019-04-25']	
P28482	6q7k	173-196	25-172,197-313	2.263	100	99.62264151	1.321	6.554	Closed	Autoinhibited	Homo sapiens	['2018-12-13']	
P28482	6q7s	173-196	25-172,197-313	2.219	100	99.62264151	1.194	6.694	Closed	Autoinhibited	Homo sapiens	['2018-12-13']	
P28482	6q7t	173-196	25-172,197-313	2.169	100	99.62264151	1.21	6.632	Closed	Autoinhibited	Homo sapiens	['2018-12-13']	
P28482	6qa1	173-196	25-172,197-313	2.28	100	99.62264151	1.292	6.775	Closed	Autoinhibited	Homo sapiens	['2018-12-18']	
P28482	6qa3	173-196	25-172,197-313	2.224	100	99.62264151	1.298	6.665	Closed	Autoinhibited	Homo sapiens	['2018-12-18']	
P28482	6qa4	173-196	25-172,197-313	2.282	100	98.86792453	1.214	7.127	Closed	Autoinhibited	Homo sapiens	['2018-12-18']	
P28482	6qag	173-196	25-172,197-313	2.186	100	99.62264151	1.333	6.473	Closed	Autoinhibited	Homo sapiens	['2018-12-19']	
P28482	6qah	173-196	25-172,197-313	2.187	100	99.24528302	1.261	6.537	Closed	Autoinhibited	Homo sapiens	['2018-12-19']	
P28482	6qal	173-196	25-172,197-313	2.318	100	98.49056604	1.202	7.224	Closed	Autoinhibited	Homo sapiens	['2018-12-19']	
P28482	6qaq	173-196	25-172,197-313	2.252	100	99.62264151	1.336	6.546	Closed	Autoinhibited	Homo sapiens	['2018-12-19']	
P28482	6qaw	173-196	25-172,197-313	2.202	100	99.24528302	1.199	6.728	Closed	Autoinhibited	Homo sapiens	['2018-12-19']	
P28482	6rq4	173-196	25-172,197-313	2.148	100	99.62264151	1.25	6.526	Closed	Autoinhibited	Homo sapiens	['2019-05-15']	
P28482	6slg	173-196	25-172,197-313	2.065	100	99.62264151	1.169	6.293	Closed	Autoinhibited	Homo sapiens	['2019-08-19']	
P28482	7auv	173-196	25-172,197-313	2.351	100	99.62264151	1.369	6.642	Closed	Autoinhibited	Homo sapiens	['2020-11-03']	
P28482	7e73	173-196	25-172,197-313	2.352	100	99.62264151	1.273	6.679	Closed	Autoinhibited	Homo sapiens	['2021-02-25']	
P28482	7e75	173-196	25-172,197-313	2.375	100	99.62264151	1.317	6.616	Closed	Autoinhibited	Homo sapiens	['2021-02-25']	
P28482	7nqq	173-196	25-172,197-313	2.305	100	99.62264151	1.34	6.714	Closed	Autoinhibited	Homo sapiens	['2021-03-02']	
P28482	7nqw	173-196	25-172,197-313	2.307	100	99.62264151	1.316	6.577	Closed	Autoinhibited	Homo sapiens	['2021-03-02']	
P28482	7nr3	173-196	25-172,197-313	2.165	100	99.62264151	1.229	6.646	Closed	Autoinhibited	Homo sapiens	['2021-03-02']	
P28482	7nr5	173-196	25-172,197-313	2.354	100	99.62264151	1.349	7.147	Closed	Autoinhibited	Homo sapiens	['2021-03-03']	
P28482	7nr8	173-196	25-172,197-313	2.409	100	99.62264151	1.433	6.644	Closed	Autoinhibited	Homo sapiens	['2021-03-03']	
P28482	7nr9	173-196	25-172,197-313	2.259	100	99.62264151	1.374	6.668	Closed	Autoinhibited	Homo sapiens	['2021-03-03']	
P28482	7opm	173-196	25-172,197-313	2.765	91.66666667	100	1.176	6.015	Closed	Autoinhibited	Homo sapiens	['2021-06-01']	
P28482	7w5o	173-196	25-172,197-313	2.168	100	99.62264151	1.486	5.362	Closed	Autoinhibited	Homo sapiens	['2021-11-30']	
P28482	7x4u	173-196	25-172,197-313	2.183	100	100	1.325	6.162	Closed	Autoinhibited	Homo sapiens	['2022-03-03']	
P28482	7xc1	173-196	25-172,197-313	2.182	100	99.62264151	1.447	5.366	Closed	Autoinhibited	Homo sapiens	['2022-03-22']	
P28482	8ao2	173-196	25-172,197-313	2.303	100	99.62264151	1.181	7.139	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8ao3	173-196	25-172,197-313	2.172	100	99.24528302	1.172	6.675	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8ao4	173-196	25-172,197-313	2.16	100	99.24528302	1.173	6.657	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8ao5	173-196	25-172,197-313	2.226	100	98.49056604	1.208	6.558	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8ao6	173-196	25-172,197-313	2.173	100	99.24528302	1.176	6.662	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8ao7	173-196	25-172,197-313	2.354	100	99.62264151	1.288	6.737	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8ao8	173-196	25-172,197-313	2.154	100	99.62264151	1.2	6.557	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8ao9	173-196	25-172,197-313	2.236	100	98.86792453	1.283	6.657	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8aoa	173-196	25-172,197-313	2.316	100	99.62264151	1.181	6.748	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8aob	173-196	25-172,197-313	2.19	100	96.22641509	1.147	6.665	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8aoc	173-196	25-172,197-313	2.324	100	99.24528302	1.227	6.732	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8aod	173-196	25-172,197-313	2.348	100	98.11320755	1.457	6.62	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8aoe	173-196	25-172,197-313	2.427	100	96.22641509	1.462	6.645	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8aof	173-196	25-172,197-313	2.434	100	97.73584906	1.476	6.673	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8aog	173-196	25-172,197-313	2.307	100	97.35849057	1.379	6.713	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8aoh	173-196	25-172,197-313	2.41	100	98.11320755	1.501	6.837	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8aoi	173-196	25-172,197-313	2.673	100	99.62264151	1.863	6.662	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	8aoj	173-196	25-172,197-313	2.175	100	99.62264151	1.328	6.505	Closed	Autoinhibited	Homo sapiens	['2022-08-08']	
P28482	4qp2	173-196	25-172,197-313	1.729	75	98.49056604	1.321	3.241	Open	Active	Homo sapiens	['2014-06-22']	
P28482	4qp3	173-196	25-172,197-313	1.817	75	98.49056604	1.348	3.391	Open	Active	Homo sapiens	['2014-06-22']	
P28482	4qp4	173-196	25-172,197-313	1.956	66.66666667	100	1.49	3.991	Open	Active	Homo sapiens	['2014-06-22']	
P28482	4qp6	173-196	25-172,197-313	1.856	75	98.49056604	1.387	3.309	Open	Active	Homo sapiens	['2014-06-22']	
P28482	4qp7	173-196	25-172,197-313	1.928	66.66666667	100	1.426	3.994	Open	Active	Homo sapiens	['2014-06-22']	
P28482	4qp9	173-196	25-172,197-313	1.957	66.66666667	100	1.488	4.283	Open	Active	Homo sapiens	['2014-06-22']	
P28482	4qpa	173-196	25-172,197-313	2.549	87.5	96.60377358	2.252	4.104	Open	Active	Homo sapiens	['2014-06-22']	
P28482	4qte	173-196	25-172,197-313	2.196	100	100	1.328	5.971	Open	Active	Homo sapiens	['2014-07-07']	
P28482	4xj0	173-196	25-172,197-313	2.133	100	99.24528302	1.492	5.359	Open	Active	Homo sapiens	['2015-01-08']	
P29350	2b3o	1-105	244-515	25.878	99.04761905	100	1.124	57.427	Closed	Autoinhibited	Homo sapiens	['2005-09-20']	
P29350	3ps5	1-105	244-515	1.444	100	99.63235294	1.021	1.765	Open	Active	Homo sapiens	['2010-11-30']	
P31016	1jxm	428-498	534-709	1.597	77.46478873	100	1.122	2.827	Closed	Active	Rattus norvegicus	['2001-09-07']	
P31016	1jxo	428-498	534-709	2.153	85.91549296	93.75	1.073	3.415	Closed	Active	Rattus norvegicus	['2001-09-07']	
P31016	1kjw	428-498	534-709	2.554	97.18309859	100	1.224	3.761	Closed	Active	Rattus norvegicus	['2001-12-05']	“The structure of the PSD-95 GK domain superimposes better (RMSD = 1.49 Å) with the open (apo) form of the yeast guanylate kinase structure than the closed conformation (RMSD = 1.94 Å)” (11779504)
P31016	5ypr	428-498	534-709	1.735	90.14084507	100	1.54	2.441	Closed	Active	Rattus norvegicus	['2017-11-02']	
P31749	3o96	5-108	150-408	10.469	94.23076923	90.73359073	3.31	20.039	Closed	Autoinhibited	Homo sapiens	['2010-08-03']	
P31749	4ejn	5-108	150-408	10.9	93.26923077	93.05019305	3.865	20.485	Closed	Autoinhibited	Homo sapiens	['2012-04-06']	
P31749	5kcv	5-108	150-408	10.541	87.5	87.25868726	2.215	20.433	Closed	Autoinhibited	Homo sapiens	['2016-06-07']	
P31749	6hhf	5-108	150-408	10.314	92.30769231	87.64478764	2.996	20.857	Closed	Autoinhibited	Homo sapiens	['2018-08-28']	
P31749	6hhg	5-108	150-408	10.14	96.15384615	91.89189189	5.724	20.114	Closed	Autoinhibited	Homo sapiens	['2018-08-28']	
P31749	6hhh	5-108	150-408	10.021	97.11538462	90.34749035	3.879	19.995	Closed	Autoinhibited	Homo sapiens	['2018-08-28']	
P31749	6hhi	5-108	150-408	10.426	97.11538462	92.66409266	5.685	20.244	Closed	Autoinhibited	Homo sapiens	['2018-08-28']	
P31749	6hhj	5-108	150-408	10.233	98.07692308	100	7.485	19.946	Closed	Autoinhibited	Homo sapiens	['2018-08-28']	
P31749	6s9w	5-108	150-408	9.942	100	99.22779923	6.98	19.899	Closed	Autoinhibited	Homo sapiens	['2019-07-15']	
P31749	6s9x	5-108	150-408	9.927	96.15384615	91.11969112	4.842	20.095	Closed	Autoinhibited	Homo sapiens	['2019-07-15']	
P31749	7nh4	5-108	150-408	9.385	97.11538462	90.73359073	4.46	20.053	Closed	Autoinhibited	Homo sapiens	['2021-02-10']	
P31749	7nh5	5-108	150-408	9.627	96.15384615	90.73359073	4.526	19.893	Closed	Autoinhibited	Homo sapiens	['2021-02-10']	
P31751	8q61	5-108,410-481	152-409	9.63	70.45454545	94.96124031	6.231	21.917	Closed	Autoinhibited	Homo sapiens	['2023-08-10']	“The flipped DFG motif moves the aspartate away from the ATP binding site by ∼5 Å, leading to a catalytically incompetent state termed the “DFG-out” state.” ( 25478866) “ALM301 binds in an allosteric pocket created by the combined movement of the PH domain and the catalytic domain, resulting in a DFG out conformation.” (36127435) On visual investigation, it appears a loop at ~ residue 81 occludes the active site in the native structure and pushes the DFG into an “out” state as well as displaces the alpha helix with residue 195.
P32527	2lwx	348-364	365-433	1.45	100	100	1.347	1.799	Closed	Autoinhibited	Saccharomyces cerevisiae	['2012-08-08']	
P35520	4coo	414-551	40-413	19.316	74.63768116	99.19786096	2.645	41.805	Closed	Autoinhibited	HOMO SAPIENS	['2014-01-29']	
P35520	4l0d	414-551	40-413	19.409	74.63768116	99.46524064	2.816	42.158	Closed	Autoinhibited	Homo sapiens	['2013-05-31']	
P35520	4l28	414-551	40-413	18.155	87.68115942	99.19786096	2.808	38.98	Closed	Autoinhibited	Homo sapiens	['2013-06-04']	
P35520	7qgt	414-551	40-413	19.6	75.36231884	99.73262032	2.919	42.457	Closed	Autoinhibited	Homo sapiens	['2021-12-10']	
P35520	4pcu	414-551	40-413	6.628	74.63768116	97.86096257	2.462	13.809	Open	Active	Homo sapiens	['2014-04-16']	Enzyme forms a dimer in vivo and the Bateman modules (region 1) interact in a trans fashion with the enzyme’s active site. (25197074)
P35609	4d1e	259-307	753-824	113.774	100	100	4.342	220.629	Closed	Autoinhibited	HOMO SAPIENS	['2014-05-01']	
P36507	1s9i	75-102	72-74,103-369	2.172	100	88.51851852	1.994	1.486	Closed	Active	Homo sapiens	['2004-02-04']	Importantly, this is actually in an inhibitor-induced conformation where the molecule is not catalytically active. “As a result of the change in position of helix C, the side chain of the highly conserved glutamate residue Glu114 (equivalent to Glu91 in PKA) is shifted away from the active site and is unable to form a critical ion pair with the conserved catalytic Lys97 (equivalent to Lys72 in PKA)” (15543157). This is also the only structure of MEK2 in the PDB that is not more than a few residues long.
P39687	2je0	121-163	1-120	1.139	67.44186047	100	1.065	1.394	Open	Active	HOMO SAPIENS	['2007-01-12']	
P39687	2je1	121-163	1-120	1.179	67.44186047	100	1.116	1.405	Open	Active	HOMO SAPIENS	['2007-01-12']	
P39687	4xos	121-163	1-120	1.43	67.44186047	100	1.407	1.541	Open	Active	Homo sapiens	['2015-01-16']	In comparison to 6zxq, which looks more complete but was somehow missed by the pipeline.
P41212	2dao	410-452	339-409	2.747	76.74418605	100	1.84	4.119	Closed	Autoinhibited	Homo sapiens	['2005-12-14']	See Figure 3 in  20400516.
P43405	4fl2	93-167,245-370	371-631	2.146	64.17910448	100	2.747	1.579	Closed	Autoinhibited	Homo sapiens	['2012-06-14']	
P43405	4fl3	93-167,245-370	371-631	1.035	61.19402985	95.01915709	0.822	1.189	Closed	Autoinhibited	Homo sapiens	['2012-06-14']	
P45985	3aln	109-136	102-108,137-367	4.746	100	84.45378151	1.55	2.075	Closed	Autoinhibited	Homo sapiens	['2010-08-04']	
P45985	3alo	109-136	102-108,137-367	5.721	100	97.4789916	3.537	1.108	Closed	Autoinhibited	Homo sapiens	['2010-08-04']	
P46108	2eyz	239-294	132-192	22.296	100	100	2.479	28.031	Open	Active	Homo sapiens	['2005-11-10']	
P46109	2lqn	129-175	14-102	25.93	100	100	1.782	47.604	Open	Autoinhibited	Homo sapiens	['2012-03-09']	
P46109	2lqw	129-175	14-102	25.158	100	100	2.549	46.938	Open	Autoinhibited	Homo sapiens	['2012-03-16']	
P49137	2oza	328-364	64-325	4.214	100	96.94656489	4.833	1.352	Closed	Autoinhibited	Homo sapiens	['2007-02-25']	
P49137	3ka0	328-364	64-325	2.111	100	85.11450382	2.257	1.227	Closed	Autoinhibited	Homo sapiens	['2009-10-16']	
P49137	4tyh	328-364	64-325	3.957	100	95.80152672	4.581	1.257	Closed	Autoinhibited	Homo sapiens	['2014-07-08']	
P49137	1kwp	328-364	64-325	6.399	100	91.98473282	3.784	1.578	Closed	Autoinhibited	Homo sapiens	['2002-01-30']	
P49137	3gok	328-364	64-325	3.084	62.16216216	92.36641221	3.286	1.468	Closed	Autoinhibited	Homo sapiens	['2009-03-19']	
P49137	6tca	328-364	64-325	4.395	100	98.47328244	4.949	1.272	Closed	Autoinhibited	Homo sapiens	['2019-11-05']	
P49137	2jbp	328-364	64-325	2.408	62.16216216	91.60305344	2.51	1.325	Closed	Autoinhibited	Homo sapiens	['2006-12-09']	
P52564	3fme	251-277	53-314	2.567	100	82.0610687	2.66	3.528	Closed	Autoinhibited	Homo sapiens	['2008-12-21']	
P52564	3vn9	251-277	53-314	3.212	100	89.69465649	3.197	3.58	Closed	Autoinhibited	Homo sapiens	['2012-01-05']	
P52564	3enm	251-277	53-314	5.904	100	81.67938931	5.992	3.043	Closed	Autoinhibited	Homo sapiens	['2008-09-25']	
P52564	8a8m	251-277	53-314	6.274	100	84.73282443	4.385	3.31	Closed	Autoinhibited	Homo sapiens	['2022-06-23']	
P52564	8p7j	251-277	53-314	3.529	100	85.11450382	3.614	2.126	Closed	Autoinhibited	Homo sapiens	['2023-05-30']	
P53041	8gae	28-129,487-499	184-486	25.904	88.69565217	98.01980198	2.339	88.629	Open	Active	Homo sapiens	['2023-02-22']	
P53041	8gft	28-129,487-499	184-486	24.876	88.69565217	98.01980198	2.358	85.444	Open	Active	Homo sapiens	['2023-03-08']	
P53042	4ja7	28-129	495-499,200-494	1.38	100	99.33333333	1.348	12.407	Closed	Autoinhibited	Rattus norvegicus	['2013-02-18']	
P53042	4ja9	28-129	495-499,200-494	1.488	100	99.66666667	1.369	8.268	Closed	Active	Rattus norvegicus	['2013-02-18']	
P53686	1q14	300-320	1-280	4.476	61.9047619	92.14285714	3.446	13.816	Closed	Autoinhibited	Saccharomyces cerevisiae	['2003-07-18']	
P54578	2ayo	329-351,429-433	105-483	2.54	100	84.43271768	2.263	3.213	Open	Active	Homo sapiens	['2005-09-07']	
P54578	2ayn	329-351,429-433	105-483	2.205	100	80.47493404	2.195	2.379	Open	Active	Homo sapiens	['2005-09-07']	
P54578	6iik	329-351,429-433	105-483	1.186	75	81.53034301	1.168	2.191	Open	Active	Homo sapiens	['2018-10-06']	
P54578	6iil	329-351,429-433	105-483	1.357	75	82.58575198	1.25	2.131	Open	Active	Homo sapiens	['2018-10-07']	
P54578	6iim	329-351,429-433	105-483	1.589	89.28571429	81.26649077	1.566	3.954	Open	Active	Homo sapiens	['2018-10-07']	
P54578	6iin	329-351,429-433	105-483	1.341	78.57142857	81.26649077	1.313	2.18	Open	Active	Homo sapiens	['2018-10-07']	
P54646	5ezv	291-376	16-268	4.323	65.11627907	99.60474308	1.157	8.895	Open	Active	Homo sapiens	['2015-11-26']	
P54646	5iso	291-376	16-268	3.558	81.39534884	100	1.47	7.444	Open	Active	Homo sapiens	['2016-03-15']	
P54646	6b1u	291-376	16-268	3.244	70.93023256	99.60474308	1.117	7.255	Open	Active	Homo sapiens	['2017-09-19']	
P54646	6b2e	291-376	16-268	2.398	74.41860465	99.60474308	1.16	5.145	Open	Active	Homo sapiens	['2017-09-19']	
P54763	1jpa	595-621	621-884	1.147	92.59259259	89.77272727	1.07	1.584	Closed	Autoinhibited	Mus musculus	['2001-08-01']	
P55957	2bid	21-51	60-195	9.619	100	100	7.368	9.332	Closed	Autoinhibited	Homo sapiens	['1999-01-27']	
P57764	6n9o	280-484	1-275	7.018	96.09756098	63.27272727	9.987	4.068	Closed	Autoinhibited	Homo sapiens	['2018-12-03']	
P60240	4s20	1-110	147-416,441-659	11.12	99.09090909	99.79550102	3.08	29.595	Closed	Autoinhibited	Escherichia coli	['2015-01-16']	
P60240	7m8e	1-110	147-416,441-659	5.106	99.09090909	100	2.338	11.303	Open	Active	Escherichia coli	['2021-03-29']	
P62826	2mmc	179-216	10-169	28.197	100	100	4.801	68.008	Closed	Autoinhibited	Homo sapiens	['2014-03-13']	
P62826	2n1b	179-216	10-169	28.799	100	100	5.17	69.52	Closed	Autoinhibited	Homo sapiens	['2015-03-26']	
P62826	2mmg	179-216	10-169	18.737	100	100	2.388	45.46	Open	Active	Homo sapiens	['2014-03-15']	
P62826	4gmx	179-216	10-169	15.797	89.47368421	100	1.066	39.883	Open	Active	Homo sapiens	['2012-08-16']	
P62826	4gpt	179-216	10-169	16.189	100	100	1.076	39.074	Open	Active	Homo sapiens	['2012-08-21']	
P62826	4hat	179-216	10-169	16.204	100	100	1.113	39.21	Open	Active	Homo sapiens	['2012-09-27']	
P62826	4haz	179-216	10-169	15.985	84.21052632	100	1.086	41.294	Open	Active	Homo sapiens	['2012-09-27']	
P62826	4hb0	179-216	10-169	16.074	92.10526316	100	1.108	40.171	Open	Active	Homo sapiens	['2012-09-27']	
P62826	4hb2	179-216	10-169	15.774	89.47368421	100	1.058	39.788	Open	Active	Homo sapiens	['2012-09-27']	
P62826	4hb3	179-216	10-169	15.962	84.21052632	100	1.077	41.223	Open	Active	Homo sapiens	['2012-09-27']	
P62826	4hb4	179-216	10-169	16.171	100	100	1.108	39.135	Open	Active	Homo sapiens	['2012-09-27']	
P62826	4wvf	179-216	10-169	16.163	100	100	1.107	39.113	Open	Active	Homo sapiens	['2014-11-05']	
P62826	5dh9	179-216	10-169	16.121	92.10526316	100	1.03	40.294	Open	Active	Homo sapiens	['2015-08-30']	
P62826	5dha	179-216	10-169	16.11	94.73684211	100	0.994	39.767	Open	Active	Homo sapiens	['2015-08-30']	
P62826	5dhf	179-216	10-169	15.996	92.10526316	100	0.98	40.048	Open	Active	Homo sapiens	['2015-08-30']	
P62826	5di9	179-216	10-169	16.124	100	100	1.01	38.969	Open	Active	Homo sapiens	['2015-08-31']	
P62826	5dif	179-216	10-169	16.034	100	100	0.975	38.867	Open	Active	Homo sapiens	['2015-08-31']	
P62826	5jlj	179-216	10-169	15.919	84.21052632	100	0.999	41.108	Open	Active	Homo sapiens	['2016-04-27']	
P62826	5uwh	179-216	10-169	15.898	86.84210526	100	0.995	40.559	Open	Active	Homo sapiens	['2017-02-21']	
P62826	5uwi	179-216	10-169	16.114	100	100	0.989	38.937	Open	Active	Homo sapiens	['2017-02-21']	
P62826	5uwj	179-216	10-169	16.079	94.73684211	100	0.975	39.773	Open	Active	Homo sapiens	['2017-02-21']	
P62826	5uwo	179-216	10-169	16.114	92.10526316	100	1.014	40.265	Open	Active	Homo sapiens	['2017-02-21']	
P62826	5uwp	179-216	10-169	16.079	100	100	0.991	38.993	Open	Active	Homo sapiens	['2017-02-21']	
P62826	5uwq	179-216	10-169	16.1	94.73684211	100	0.989	39.806	Open	Active	Homo sapiens	['2017-02-21']	
P62826	5uwr	179-216	10-169	15.971	89.47368421	100	1.009	40.435	Open	Active	Homo sapiens	['2017-02-21']	
P62826	5uws	179-216	10-169	16.098	94.73684211	100	0.99	39.781	Open	Active	Homo sapiens	['2017-02-21']	
P62826	5uwt	179-216	10-169	16.116	100	100	0.993	38.961	Open	Active	Homo sapiens	['2017-02-21']	
P62826	5uwu	179-216	10-169	16.142	100	100	0.963	39.033	Open	Active	Homo sapiens	['2017-02-21']	
P62826	5uww	179-216	10-169	16.096	94.73684211	100	0.965	39.791	Open	Active	Homo sapiens	['2017-02-21']	
P62826	5yro	179-216	10-169	16.275	97.36842105	100	1.107	39.791	Open	Active	Homo sapiens	['2017-11-09']	
P62826	5yst	179-216	10-169	16.239	97.36842105	100	1.008	39.663	Open	Active	Homo sapiens	['2017-11-15']	
P62826	5ysu	179-216	10-169	16.207	97.36842105	100	1.017	39.566	Open	Active	Homo sapiens	['2017-11-15']	
P62826	5ytb	179-216	10-169	16.091	97.36842105	100	1.15	39.61	Open	Active	Homo sapiens	['2017-11-17']	
P62826	5zpu	179-216	10-169	16.203	81.57894737	100	1.035	42.482	Open	Active	Homo sapiens	['2018-04-16']	
P62826	6a38	179-216	10-169	16.014	97.36842105	100	1.026	39.531	Open	Active	Homo sapiens	['2018-06-15']	
P62826	6a3a	179-216	10-169	16.015	97.36842105	100	1.003	39.554	Open	Active	Homo sapiens	['2018-06-15']	
P62826	6a3b	179-216	10-169	16.059	97.36842105	100	1.023	39.642	Open	Active	Homo sapiens	['2018-06-15']	
P62826	6a3c	179-216	10-169	16.032	97.36842105	100	1.003	39.585	Open	Active	Homo sapiens	['2018-06-15']	
P62826	6a3e	179-216	10-169	16.048	97.36842105	100	1.01	39.638	Open	Active	Homo sapiens	['2018-06-15']	
P62826	6cit	179-216	10-169	16.15	94.73684211	100	0.96	39.878	Open	Active	Homo sapiens	['2018-02-25']	
P62826	6kft	179-216	10-169	16.059	97.36842105	100	1.023	39.642	Open	Active	Homo sapiens	['2019-07-08']	
P62826	6lq9	179-216	10-169	16.048	100	100	1.009	38.741	Open	Active	Homo sapiens	['2020-01-13']	
P62826	6m60	179-216	10-169	16.238	97.36842105	99.375	1.038	39.628	Open	Active	Homo sapiens	['2020-03-12']	
P62826	6m6x	179-216	10-169	16.223	97.36842105	99.375	1.052	39.681	Open	Active	Homo sapiens	['2020-03-16']	
P62826	6x2m	179-216	10-169	16.074	100	100	1.063	38.9	Open	Active	Homo sapiens	['2020-05-20']	
P62826	6x2o	179-216	10-169	16.081	100	100	1.051	38.918	Open	Active	Homo sapiens	['2020-05-20']	
P62826	6x2p	179-216	10-169	16.192	92.10526316	100	1.017	40.462	Open	Active	Homo sapiens	['2020-05-20']	
P62826	6x2r	179-216	10-169	16.089	92.10526316	100	1.107	40.205	Open	Active	Homo sapiens	['2020-05-20']	
P62826	6x2s	179-216	10-169	16.212	92.10526316	100	1.04	40.628	Open	Active	Homo sapiens	['2020-05-20']	
P62826	6x2u	179-216	10-169	16.188	92.10526316	100	1.037	40.476	Open	Active	Homo sapiens	['2020-05-21']	
P62826	6x2v	179-216	10-169	15.814	84.21052632	100	1.032	41.956	Open	Active	Homo sapiens	['2020-05-21']	
