Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source,Protein name,Gene names,Protein length,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB,Number of PDBs
,,,Q6AQX8,,,,,,,,Uncharacterized protein,DP0517,651,Desulfotalea psychrophila (strain LSv54 / DSM 12343),699-733(CXXC-BAH1 linker),21163962,"The mouse DNA methyltransferase-1 (DNMT1), composed of a replication foci-targeting domain (RFD), a DBA-binding CXXC domain, a pair of bromo-adjacent homology (BAH) domains, and a C-terminal catalytic domain bound to DNA-containing unmethylated CpG sites, mediates maintenance of genomic methylation patterns. The CXXC specifically binds to unmethylated CpG dinucleotide and positions the CXXC-BAH1 linker between the DNA and the active site of DNMT1, preventing de novo methylation. Therefore, unmethylated CpG dinucleotides are occluded from the active site to ensure that only hemimethylated CpG dinucleotides undergo methylation. ",Experimentally validated,,,0
,,,Q7XJ60,,,,,,,,Microtubule-associated protein RP/EB family member 1A (APC-binding protein EB1A) (End-binding protein 1A) (AtEB1A) (Protein ATEB1 homolog 2) (AtEB1H2),EB1A At3g47690 T23J7.20,276,Arabidopsis thaliana (Mouse-ear cress),610-626(ADD-CD linker),25383530,"DNMT3A is required for genome-wide de novo methylation and is essential for the establishment of DNA methylation patterns during development. . The ADD domain of DNMT3A interacts with and inhibits enzymatic activity of the catalytic domain (CD) through blocking its DNA-binding affinity. Although the ADD domain(476-609) and linker(610-626) are both important for the autoinhibition of DNMT3A and ADD and ADD-linker showed comparable binding affinity to the CD domaine, only ADD-linker (ADD-626) maintained the inhibitory function, while all other truncated proteins markedly decreased their inhibition in the activity of the CD domain.",Experimentally validated,,,0
,,,C8ZE58,,,,,,,,Leu3p,EC1118_1L7_3389g,886,Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) (Baker's yeast),265-293(C-terminal tail),20067996,"End-binding 1 (EB1) proteins are plus-end-tracking proteins that localize to growing microtubule (MT) plus ends. In Arabidopsis thaliana, EB1 proteins contain an N-terminal calponin homology (CH) domain and a composite C-terminal (CC) domain, which mediate MT binding and dimerization, respectively. Furthermore, the C-terminal tail of the EB1B subgroup is autoinhibitory in the MT assembly capacity of EB1, possibly by interacting with the N-terminal MT-binding CH domain. ",Experimentally validated,,,0
,,,Q3UPW2-2,,,,,,,,ETS-related transcription factor Elf-3 (E74-like factor 3) (Epithelial-restricted with serine box) (Epithelium-restricted Ets protein ESX) (Epithelium-specific Ets transcription factor 1) (ESE-1),Elf3 Ert Esx Jen,391,Mus musculus (Mouse),607-617(EIF4E-binding),23901100,"EIF4G is a probable component of the protein complex eIF4F, which is involved in the recognition of the mRNA cap, ATP-dependent unwinding of 5'-terminal secondary structure and recruitment of mRNA to the ribosome. The eIF4E-binding site in eukaryotic initiation factor 4G (eIF4G) functions as an autoinhibitory domain to modulate its ability to stimulate eIF4A helicase activity.  Binding of eIF4E counteracts this autoinhibition, enabling eIF4G to stimulate eIF4A helicase activity.",Experimentally validated,,,0
,,,P41971,,,,,,,,ETS domain-containing protein Elk-3 (ETS-related protein ERP) (ETS-related protein NET),Elk3 Erp Net,409,Mus musculus (Mouse),1-42(N-terminal autoinhibitory region),10506207,"ELF5 is a Ets transcription factor expressed in differentiated keratinocytes and glandular epithelium. In contrast to ELF3, full-length ELF5 binds poorly to DNA due to the autoinhibition by N-terminal region.",Experimentally validated,,,0
,,,P41970,,,,,,,,ETS domain-containing protein Elk-3 (ETS-related protein ERP) (ETS-related protein NET) (Serum response factor accessory protein 2) (SAP-2) (SRF accessory protein 2),ELK3 NET SAP2,407,Homo sapiens (Human),148-168(R motif),14693367,ELK1 belongs to a subfamily of ETS domain transcription factors. Its characteristic property is the ability to form a ternary nucleoprotein complex with the serum response factor (SRF) over the serum response element (SRE) of the c-fos promoter. The R motif is a repressor domain that dampens the activity of the C-terminal activation domain.,Experimentally validated,,,0
,,,P70424,,,,,,,,Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (p185erbB2) (CD antigen CD340),Erbb2 Kiaa3023 Neu,1256,Mus musculus (Mouse),595-621(Juxtamembrane domain),"15173825, 15173825, 11572780","Ephrin type-B receptor 2 is a membrane-associated protein that mediates axon guidance, cell migration and morphogenesis. The Eph receptor tyrosine kinase family is regulated by autophosphorylation within the juxtamembrane region and the kinase activation segment. The structure, supported by mutagenesis data, reveals that the juxtamembrane segment adopts a helical conformation that distorts the small lobe of the kinase domain, and blocks the activation segment from attaining an activated conformation. Phosphorylation of the conserved juxtamembrane tyrosines would relieve this autoinhibition by disturbing the association of the juxtamembrane segment with the kinase domain, while liberating phosphotyrosine sites for binding SH2 domains of target proteins.",Experimentally validated,,,0
,,,A2BGR3,,,,,,,,DNA excision repair protein ERCC-6-like (EC 3.6.4.12) (ATP-dependent helicase ERCC6-like),ercc6l si:ch211-278b8.3,1451,Danio rerio (Zebrafish) (Brachydanio rerio),272-289(NID); 378-388(CID),23898196,"The Ets-Related Gene (ERG) belongs to the Ets family of transcription factors and is critically important for maintenance of the hematopoietic stem cell population. In the presence of the NID(N-terminal inhibitory domain, 272-289) and CID (C-terminal inhibitory domain, 378-388), the conformational exchange processes vanish, indicating that in the autoinhibited state.",Experimentally validated,,,0
,,,O88933,,,,,,,,"Extraembryonic, spermatogenesis, homeobox 1 (Homeobox protein SPX1) (Homeodomain protein EPX)",Esx1 Epx,382,Mus musculus (Mouse),304-310(Alpha-helix HI-1 in N-terminal inhibitory region);416-440(C-terminal inhibitory region),"12221090, 20534573","Ets1 is a transcription factor directly controling the expression of cytokine and chemokine genes in a wide variety of different cellular contexts. Truncation of either the N-terminal inhibitory region (residues 280-330) or the C-terminal inhibitory region (residues 416-440) increases the DNA binding affinity of Ets-1 by 10- to 20-fold, indicating that the two inhibitory regions act in concert to impair DNA binding",Experimentally validated,,,0
,,,A2A5C2,,,,,,,,ETS translocation variant 4,Etv4,480,Mus musculus (Mouse),165-336(N-terminal inhibitory domain); 337-436(C-terminal inhibitory domain),28161714,ETS translocation variant 4 is transcriptional activator that plays a vital role in keratinocyte differentiation. Inhibitory segments that hinders DNA binding site belongs in regions N- and C-terminal of the ETS domain. Acetylation of selected lysines within the N-terminal inhibitory domain activates DNA binding.,Experimentally validated,,,0
,,,Q76LL6,,,,,,,,FH1/FH2 domain-containing protein 3 (Formin homolog overexpressed in spleen 2) (mFHOS2),Fhod3 Fhos2 Kiaa1695,1578,Mus musculus (Mouse),1-32(N-terminal tail),24145868,"FK506 binding protein 38 (FKBP38) is a multi-domain protein containing PPlase domain followed by TPR, CaM-binding domain and transmembrane domain. FKBP38 regulates apoptosis through unique interactions with multiple regulators including Bcl-2. the N-terminal extension (residues 1-32) preceding the catalytic domain of FKBP38 has an autoinhibitory activity. The core isomerase activity of FKBP38 is inhibited by transient interactions involving the flexible N-terminal extension that precedes the catalytic domain.",Experimentally validated,,,0
,,,Q54N00,,,,,,,,Formin-H (Diaphanous-related formin dia2) (dDia2),forH dia2 drf2 DDB_G0285589,1087,Dictyostelium discoideum (Slime mold),1-189(N-terminal autorepressor domain),"18285455, 16504183",Forkhead transcription factor FoxM1 is an important regulator of gene expression during the G2 phase. Truncated form of FoxM1 that is lacking the N-terminal autorepressor domain (negative regulatory domain) is active throughout the cell cycle and no longer depends on cyclin A for its activation. FoxM1 activity is kept low due to repression by its own N-terminal domain through direct binding to the C-terminal transactivation domain.,Experimentally validated,,,0
,,,P42685,,,,,,,,Tyrosine-protein kinase FRK (EC 2.7.10.2) (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5),FRK PTK5 RAK,505,Homo sapiens (Human),125-373(GBD and DID domains);1136-1169(DAD domain),26801180,"The diaphanous-related formin, Frl, the single fly member of the FMNL (formin related in leukocytes/formin-like) formin subfamily affects ommatidial rotation in the Drosophila eye and is controlled by the Rho family GTPase Cdc42. Full-length Frl is autoinhibited by the interaction between DAD domain and N-terminal region (probably DID domain as identified in other Flamins). Binding of Cdc42 to the GBD domain alleviates autoinhibition.",Experimentally validated,,,0
,,,Q8R0H9,,,,,,,,"ADP-ribosylation factor-binding protein GGA1 (Gamma-adaptin-related protein 1) (Golgi-localized, gamma ear-containing, ARF-binding protein 1)",Gga1,635,Mus musculus (Mouse),355-362(Autoinhibitory site in hinge region),20015111,"The cytosolic adaptors GGA1-3 mediate sorting of transmembrane proteins. GGA1 contains an autoinhibitory region in hinge region between GAT and GAE domains that is activated by the phosphorylation of a serine positioned three residues upstream of the DXXLL motif. Autoinhibition is achieved by the interaction between DXXLL site and the VHS domain in CGGA1, and the phosphoserine upstream of the DXXLL motif facilitates this interaction.",Experimentally validated,,,0
,,,Q8BMI3,,,,,,,,"ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)",Gga3 Kiaa0154,718,Mus musculus (Mouse),388-395(Autoinhibitory site in hinge region),20015111,"The cytosolic adaptors GGA1-3 mediate sorting of transmembrane proteins. GGA1 contains an autoinhibitory region that is activated by the phosphorylation of a serine positioned three residues upstream of the DXXLL motif. Autoinhibition is achieved by the interaction between DXXLL site and the VHS domain in CGGA1, and the phosphoserine upstream of the DXXLL motif facilitates this interaction.",Experimentally validated,,,0
,,,A0A1B4XPY9,,,,,,,,MerR family transcriptional regulator,glnR BZG32_10360 CGZ46_09910 CUM81_00025 DAI13_10870 EU507_03975 EY666_18050 GTI81_09585 H9Q64_09770 JFI91_12355 KUB3007_C17730,127,Enterococcus faecalis (Streptococcus faecalis),96-123(C-terminal autoinhibitory region),18331450,"GlnR is a repressor that regulates gene expression in response to changes in nitrogen availability. The C-terminal autoinhibitory region was identified by sequence similarity with GlnR (P37582), which impedes the dimerization of GlnR and consequently prevents the binding of GlnR N-terminal domain to DNA.",Experimentally validated,,,0
,,,A0AI99,,,,,,,,Transcriptional repressor GlnR,glnR lwe1313,122,Listeria welshimeri serovar 6b (strain ATCC 35897 / DSM 20650 / CIP 8149 / NCTC 11857 / SLCC 5334 / V8),1174-1295(negative regulatory domain),1881436,"The glp-1 protein is essential signaling protein which has a major role in the induction of germ-line proliferation and for embryogenesis. Truncation of the C-terminal region that changes the triplet encoding arginine at position 1174 to a stop codon activates glp-1 protein to speicfy vulval fates in caenorhabditis elegans. In addition, C-terminal truncation may either destroy a more specific negative regulatory domain, thereby depressing normal glp-1 activity, or alter the specificity such that the mutant of glp-1 can interact with factors that the normal glp-1 product cannot.",Experimentally validated,,,0
,,,P13508,,,,,,,,Protein glp-1 [Cleaved into: glp-1/Notch intracellular domain],glp-1 emb-33 F02A9.6,1295,Caenorhabditis elegans,290-330(RBD),25077970,"Mre11 and Rad50 form a stable complex (MR) at the C-terminal Rad50 binding domain (RBD), which works cooperatively in repairing DNA double-strand breaks. In the absence of Rad50, the RBD (308-339) of Mre11 is autoinhibitory caused by the negatively charged linker (289-307) bound to the capping domain, which hinders the DNA-binding site. Deletion of the entire flexible linker of Mre11 and the RBD (290-339) enhances the nuclease activity of Mre11.",Experimentally validated,,,0
,,,Q99NB5,,,,,,,,"Gasdermin-C (Gasdermin-C1) (Melanoma-derived leucine zipper-containing extranuclear factor) (mMLZE) [Cleaved into: Gasdermin-C, N-terminal (GSDMC-NT); Gasdermin-C, C-terminal (GSDMC-CT)]",Gsdmc Gsdmc1 Mlze,468,Mus musculus (Mouse),313-482(C-terminal  gasdermin domain),"26375003, 27281216 ","Gasdermin proteins are a pore-forming protein causing membrane permeabilization and pyroptosis, and functions downstream of the inflammatory caspases. In human Gasdermin-D protein (GSDMD, P57764), its C-terminal  gasdermin domain adopts an intramolecular complex with the N-terminal domain, which inhibits the activation of the N-terminal gasdermin domain. The N- and C-terminal gasdermin domains of GSDMC can interact each other, implying similar autoinhibitory mechanism. The C-terminal gasdermin domain was annotated by sequence similarity with mouse Gsdmc (Q99NB5).",Experimentally validated,,,0
,,,Q3TR54,,,,,,,,"Gasdermin-C4 [Cleaved into: Gasdermin-C4, N-terminal (GSDMC4-NT); Gasdermin-C4, C-terminal (GSDMC4-CT)]",Gsdmc4,480,Mus musculus (Mouse),284-456(C-terminal  gasdermin domain),"26375003, 27281216 ","Gasdermin-D (GSDMD) is a pore-forming protein causing membrane permeabilization and pyroptosis, and functions downstream of the inflammatory caspases. In LPS-stimulated cells, N-terminal gasdermin domain is released from full-length Gsdmd by caspases-induced cleavage, and this N-terminal domain induces pyroptosis. The C-terminal  gasdermin domain adopts an intramolecular complex with the N-terminal domain, which inhibits the activation of the N-terminal gasdermin domain. ",Experimentally validated,,,0
,,,P51136,,,,,,,,Glycogen synthase kinase-3 (GSK-3) (EC 2.7.11.26),gskA gsk3 DDB_G0272110,467,Dictyostelium discoideum (Slime mold),78-138(SH3 domain);144-241(SH2 domain);242-515(SH2-CD linker);516-526(C-terminal regulatory tail),"25302671, 15489910, 18563293","The Src-family kinases include Src, Hck, Fyn, Lyn, Lck, Yes, Fgr, Blk and Frk. They are involved in diverse cellular functions such as immune responses and cell survival and proliferation. Autoinhibition of Hck is achieved by the intramolecular interaction between SH3 domain and the linker between SH2 domain and catalytic domain, and another intramolecular interaction between SH2 domain and C-terminal tail.",Experimentally validated,,,0
,,,Q95M30,,,,,,,,Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p56-HCK),HCK,504,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),935-1050(Autoinhibitory domain),17245128,Homeodomain interacting protein kinase 2 (HIPK2) is an evolutionary conserved serine/threonine kinase that regulates gene expression by phosphorylation of transcription factors and accessory components of the transcription machinery. HIPK2 is activated in response to DNA-damaging agents or morphogenic signals and accordingly HIPK2-guided gene expression programs trigger differentiation and development or alternatively apoptosis. Truncation of the autoinhibitory domain between 935 and 1050 increases the activity of HIPK2 to phosphorylate p53 and to stimulate p53-dependent target gene expression and cell death.,Experimentally validated,,,0
,,,Q9QZR5,,,,,,,,Homeodomain-interacting protein kinase 2 (EC 2.7.11.1) (Nuclear body-associated kinase 1) (Sialophorin tail-associated nuclear serine/threonine-protein kinase),Hipk2 Nbak1 Stank,1196,Mus musculus (Mouse),263-287(Autoinhibitory region within a nucleotide-binding domain(or ATPase domain)),20457599,"HSPA8 (or hsc70) is a heat shock cognate protein involved in many cellular processes. During recovery from stress, HSPA8, initially accumulateing in the nucleoplasm for folding/re-folding of proteins, transiently concentrates in nucleoli for nucleolar morphology and function restoration. The inhibitory region is positioned at one of the three domains of HSPA8 protein, which is the N-terminal ATPase domain, specifically in residues 263-287 of domain IIB. Under normal growth conditions, the constitutive nucleolar targeting function that is provided by residues 225-262 is diminished by the autoinhibitory element located in residues 263-287. When cells recover from stress, the autoinhibitory element is inactivated, and the constitutive nucleolar targeting function restores.",Experimentally validated,,,0
,,,Q0GNC1,,,,,,,,Inverted formin-2,Inf2,1273,Mus musculus (Mouse),1-420(DID domain);1000-1022(DAD domain),23921379,"INF2 is an unusual formin protein that accelerates both actin polymerization and depolymerization. INF2 binds actin monomers through its diaphanous autoregulatory domain (DAD). DAD also participates in an autoinhibitory interaction with the N-terminal diaphanous inhibitory domain (DID). Actin monomer binding to the DAD of INF2 competes with the DID/DAD interaction, thereby activating actin polymerization, and mutation of a key DID residue also results in constitutive INF2 activity. ",Experimentally validated,,,0
,,,Q3YTH5,,,,,,,,E3 ubiquitin-protein ligase ipaH9.8 (EC 2.3.2.27) (Invasion plasmid antigen ipaH9.8) (RING-type E3 ubiquitin transferase ipaH9.8),ipaH9.8 SSON_P167,545,Shigella sonnei (strain Ss046),1276-1657(C2 fragments),"15355962, 17972901","Ras GTPase-activating-like protein IQGAP1 plays a crucial role in regulating the dynamics and assembly of the actin cytoskeleton. IQGAP1 binds directly nucleotide-depleted Cdc42 (Cdc42-ND) and may serve as a negative effector or sequester nucleotide-free Cdc42 to prevent signaling. The regions C1 (956-1274) and C2 (1276-1657) of IQGAP1 can either interact with nucleotide-free Cdc42, or interact together, depending on the phosphorylation state of Ser-1443. When Ser-1443 is not phosphorylated, C1 and C2 interact, which prevents binding of nucleotide-free Cdc42 and promotes binding of GTP-bound Cdc42. The phosphorylation of Ser-1443 prevents interaction between C1 and C2, which opens the structure of the C-terminus and allows binding and sequestration of nucleotide-free Cdc42 on both C1 and C2.  ",Experimentally validated,,,0
,,,Q764M6,,,,,,,,Interferon regulatory factor 3 (IRF-3),IRF3,419,Sus scrofa (Pig),380-427(C-terminal autoinhibitory region),"10082512, 26289783,25636800",IRF3 is a key transcriptional regulator of type I interferon (IFN)-dependent immune responses and is present in an inactive cytoplasmic form. The C-terminal domain of IRF-3 located between 380 and 427 residues participates in the autoinhibition of IRF-3 activity via an intramolecular association with the N-terminal region between 98 and 240 residues overlapping with an atypical transactivation domain. The C-terminal region (380-427) contains phosphorylation sites (395-407) and the phosphorylation of the sites converts IRF3 into a constitutively active form.,Experimentally validated,,,0
,,,Q58DJ0,,,,,,,,Interferon regulatory factor 5 (IRF-5),IRF5,499,Bos taurus (Bovine),283-466(Autoinhibitory region),20980251,IRF7 is the master regulator of type I interferon-dependent immune responses controlling both innate and adaptive immunity. Deletion of the autoinhibitory region makes IRF-7 constutively super-active. Structural analysis revealed that the ?-helices H3 (408-418) and H4 (457-469) in the autoinhibitory region mediate intramolecular interactions that keep the protein in an inactive form.,Experimentally validated,,,0
,,,A9QM74,,,,,,,,Importin subunit alpha-8 (Karyopherin subunit alpha-7),KPNA7,516,Homo sapiens (Human),385-410(Hexapeptide),8665855,lab is a member of Homeotic complex (HOX) family of homeoproteins that are required for specifying cell fates and morphological differences along the anterior-posterior axes of most animals. The lab hexapeptide(also called YPWM motif or pentapeptide) inhibits lab function and activates inbappropriate target genes in vivo by inhibiting DNA binding. LAB-EXD interactions functions to remove the inhibitory effect of the hexapeptide and to enhance DNA binding to relevant target sequences by cooperative interactions.,Experimentally validated,,,0
,,,P10105,,,,,,,,Homeotic protein labial (F24) (F90-2),lab CG1264,635,Drosophila melanogaster (Fruit fly),308-402(IC domain),9307971,"LAG-2 is a putative ligand for LIN-12 and GLP-1 receptors and regulates cell fates during development. It has been discovered that the deletions of EGF-like repeats (173-391) or IC domain (308-402) recovered the activity of LAG-2. However, the mutant with IC domain deleted showed a dorminant gain-of-function phenotype. The roles for EGF-like repeats are not cleared, but it is suggested that EGF-like repeats and IC domain have some function in common.",Experimentally validated,,,0
,,,P45442,,,,,,,,Protein lag-2 (Lethal protein 461),lag-2 let-461 Y73C8B.4,402,Caenorhabditis elegans,171-399(HAMP and GGDEF domains),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648), with the S helix (LapD 171-238) in HAMP domain and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by release the S helix and the GGDEF domain facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Experimentally validated,,,0
,,,O08648,,,,,,,,Mitogen-activated protein kinase kinase kinase 4 (EC 2.7.11.25) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4),Map3k4 Mekk4,1597,Mus musculus (Mouse),1-648(N-terminal autoinhibitory region);941-1375(C-terminal autoinhibitory region),"15117824, 10849426, 21771788, 24448648",MAP3K5 mediates signaling for determination of cell fate such as differentiation and survival. Truncation experiments showed that an autoinhibitory region is included in N-terminal region and mutation of S1034A further increased the activity of N-terminal-truncated MAP3K5. These results represent the existence of autoinhibitory regions within N- and C-terminal regions.  ,Experimentally validated,,,0
,,,O35099,,,,,,,,Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5),Map3k5 Ask1 Mekk5,1380,Mus musculus (Mouse),1-22(N-terminal autoinhibitory region),8533096,TAK1 is a serine/threonine kinase involved in MAP kinase signal transduction pathway. Removal of N-terminal 22 amino acids recovers TAK1 activity.,Experimentally validated,,,0
,,,Q62073,,,,,,,,Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1),Map3k7 Tak1,579,Mus musculus (Mouse),425-467(C-terminal autoinhibitory domain),"14517305, 22535895, 9087424, 21135874","MAP3K8 is a mitogen-activated protein kinase kinase kinase 8, involved in cellular activation as well as cell proliferation. The C-terminal autoinhibitory domain represses MAP3K8 kinase activity by folding back onto the kinase domain.",Experimentally validated,,,0
,,,P49138,,,,,,,,MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1),Mapkapk2 Rps6kc1,386,Mus musculus (Mouse),308-350(Putative autoinhibitory ?-helix),12242275,"MAPKAPK5 is a MAP kinase-activated protein kinase 5, activated by stress-related extracellular stimuli, and is able to shuttle between the nucleus (unstimulated cells) and the cytoplasm (stimulated cells). The proposed autoinhibitory region is within the C-terminal domain of MAPKAPK5, contains autoinhibitory ?-helix overlapping with a leucine-rich nuclear export signal (NES), and also lies close to the nuclear localization signal (NLS). The closed conformation of MAPKAPK5 prevents exportin binding to NES. Phosphorylation of MAPKAPK5 at threonine 182 by p38 MAPK induces a conformational change, thus unmasks and increases the activity of NES.",Experimentally validated,,,0
,,,O54992,,,,,,,,MAP kinase-activated protein kinase 5 (MAPK-activated protein kinase 5) (MAPKAP kinase 5) (MAPKAPK-5) (EC 2.7.11.1),Mapkapk5,473,Mus musculus (Mouse),249-268(EB1 autoinhibitory tail),23128140,"EB1 including a CH domain and the C-terminal dimerization domain is a plus-end tracking protein that binds to the plus-end of microtubules (MT) and regulates the dynamics of the microtubule cytoskeleton. The CH domain is responsible for MT-binding and inhibited by the binding of the CH domain and the central region of the C-terminal domain at the FYF motif. SxIP competes with the CH domain and binds on the FYF motif of the C-terminal domain, and activates the CH domain.",Experimentally validated,,,0
,,,A0A4W3GZU3,,,,,,,,Double minute 4 protein (Mdm2-like p53-binding protein) (Protein Mdm4) (p53-binding protein Mdm4),mdm4,492,Callorhinchus milii (Ghost shark),190-210(Tryptohpan-rich segment),24127580,"MDM4 is a  homologous protein that binds to p53 and regulates its activity. Residues 190-210 in that intrinsically disordered region constitute an inhibitory module. It competes with the p53TAD for binding to the NTD of MDM4, thus lowering the affinity of MDMX for p53. Efficient binding of MDM4 to p53 requires a mechanism to relieve the allosteric self-inhibition.",Experimentally validated,,,0
,,,P11799-2,,,,,,,,"Myosin light chain kinase, smooth muscle (MLCK) (EC 2.7.11.18) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]",Mylk,1906,Gallus gallus (Chicken),964-992(Autoinhibitory pseudosubstrate),"8253787, 10842170","Myosin light chain kinases (MLCK) are members of the family of Ca2+-calmodulin-dependent protein kinases. The autoinhibitory pseudosubstrate sequence was identified by sequence similarity with the chicken smooth muscle MLCK (P11799-2). However, the mutational changes of acidic residues in the catalytic core of the kinase domain, which may interact with the basic residues in the pseudosubstrate sequence, increased the catalytic activity of the kinase domain.",Experimentally validated,,,0
,,,P29294,,,,,,,,"Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]",MYLK,1147,Oryctolagus cuniculus (Rabbit),787-806(Autoinhibitory pseudosubstrate),1439761,"Myosin light chain kinases (MLCK) are members of the family of Ca2+-calmodulin-dependent protein kinases. The autoinhibitory pseudosubstrate sequence was identified by sequence similarity with the chicken smooth muscle MLCK (P11799-2). However, the mutational changes of acidic residues in the catalytic core of the kinase domain, which may interact with the basic residues in the pseudosubstrate sequence, increased the catalytic activity of the kinase domain.",Experimentally validated,,,0
,,,Q6PDN3,,,,,,,,"Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Kinase-related protein) (KRP) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]",Mylk,1941,Mus musculus (Mouse),537-565(Autoinhibitory pseudosubstrate),21284933,"Myosin light chain kinases (MLCK) are members of the family of Ca2+-calmodulin-dependent protein kinases. This enzyme contains an autoinhibitory pseudosubstrate sequence that blocks the substrate-binding site of the kinase. The autoinhibitory sequence makes an extensive network of contacts on the surface of the larger C-domain of the catalytic core extending towards the catalytic cleft with the CaM-binding sequence to block RLC, but not ATP binding in the catalytic core N-domain.",Experimentally validated,,,0
,,,Q09014,,,,,,,,Neutrophil cytosol factor 1 (NCF-1) (47 kDa neutrophil oxidase factor) (NCF-47K) (Neutrophil NADPH oxidase factor 1) (p47-phox),Ncf1,390,Mus musculus (Mouse),287-329(Polybasic and autoinhibitory region),"15147273, 12876358","Phagocyte NADPH oxidase is a multisubunit enzyme responsible for the production of reactive oxygen species. NCF1 (p47phox) is a cytosolic component of the NADPH oxidase and plays an important role in the assembly of the activated complex. NCF1 is composed of several domains including a PX domain, tandem SH3 domains (N-SH3 and C-SH3), a polybasic/autoinhibitory region(PBR/AIR), and a proline-rich region (PRR). In an inactive state, the binding surface of the tandem SH3 domains for the binding to the PRR region of p22phox (CYBA) is masked through the intramolecular interaction with PBR/AIR. Phosphorylations of the Ser residues in PBR/AIR by PKC or Akt cause a conformational change in NCF1 and activation of the NADPH oxidase.",Experimentally validated,,,0
,,,P59895,,,,,,,,Serine/threonine-protein kinase Nek6 (EC 2.7.11.1) (Never in mitosis A-related kinase 6) (NimA-related protein kinase 6),Nek6,313,Rattus norvegicus (Rat),108-114(Tyrosine motif),19941817,"Nek6 is a NIMA-related kinase essential for proper mitotic spindle assembly and has a catalytic domain with a 30-40 amino acid N-terminal extension. Nek6 is subject to autoinhibition by the tyrosine motif, Tyr108. This is because the Y108A mutation is more active than wild-type Nek6. In addition, the activity of Nek6 is increased by interaction with the Nek9 noncatalytic C-terminal domain, which may release tyrosine from the autoinhibitory position.",Experimentally validated,,,0
,,,Q9ES74,,,,,,,,Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7),Nek7,302,Mus musculus (Mouse),97-103(?4 sheet containing tyrosine motif),"19941817, 26522158","Nek7 is a NIMA-related kinase essential for proper mitotic spindle assembly. Nek7 is subject to autoinhibition by a tyrosine motif, Tyr97, like Nek6 (Tyr108). This is because the Y97A mutation is more active than wild-type Nek7. ",Experimentally validated,,,0
,,,O88942,,,,,,,,"Nuclear factor of activated T-cells, cytoplasmic 1 (NF-ATc1) (NFATc1) (NFAT transcription complex cytosolic component) (NF-ATc) (NFATc)",Nfatc1 Nfat2 Nfatc,717,Mus musculus (Mouse),543-751(Ankyrin-repeat motifs (ANK)),"19302050, 17183360, 31024544","NFKB1 is a nuclear factor NF-kappa-B p105 subunit (p50 and its precursor p105), and plays pivotal role in the regulation of the inflammatory response to pathogens, autoimmune diseases, and cancerous cells. The C-terminal ankyrin repeats (also called I?B?-I?B-like function) of p105 selectively bind p50, RelA (transcription factor p65), and c-Rel (NFKB family of transcription factors) and keep them in the cytoplasm. Simulated cells by cytokines promoting phosphorylation of p105 and complete proteasomal proteolysis, thus the release of p105-bound Rel subunits that can now migrate to the nucleus.",Experimentally validated,,,0
